img_id;text_output;pred_bbox;target_bbox;iou
0;' [162, 521, 569, 888]\n ```;[156, 36, 266, 128];[213, 39, 254.85, 109];0.2894762845849802
1;```json\n [301,307,332,366]\n ```;[230, 301, 274, 332];[249, 283, 317.33, 302.17];0.011060122789672423
2;```json\n [308,628,374,708]\n ```;[439, 172, 495, 209];[410, 213, 425.45, 241.18];0.0
3;```json\n [577,376,694,888]\n ```;[93, 117, 221, 140];[123, 120, 221, 138];0.5991847826086957
4;```json\n [480, 470, 540, 538]\n ```;[321, 185, 367, 208];[311, 237, 333.86, 249.14];0.0
5;```json\n [504,574,615,767]\n ```;[430, 378, 575, 461];[329, 340, 592.12, 591.25];0.18204810547445202
6;```json\n [146,407,210,478]\n ```;[488, 131, 573, 189];[543, 184, 609.4300000000001, 214];0.02214708618169469
7;```json\n [108,560,501,907]\n ```;[302, 38, 489, 180];[364, 76, 419.89, 147.76];0.15103812608269937
8;```json\n [465,440,518,500]\n ```;[528, 558, 600, 621];[511, 600, 549, 694];0.05751923829398722
9;```json\n [610,680,796,896]\n ```;[816, 732, 1075, 955];[864, 774, 1064, 949];0.6059871530723548
10;```json\n [206,345,486,566]\n ```;[276, 109, 452, 258];[271, 107, 426.83000000000004, 308.66999999999996];0.6388818606145871
11;```json\n [586,646,690,730]\n ```;[390, 199, 440, 234];[331, 162, 343.19, 197.94];0.0
12;```json\n [398, 503, 461, 557]\n ```;[125, 66, 139, 76];[114, 78, 125.62, 84.49];0.0
13;```json\n [539,438,946,580]\n ```;[525, 646, 696, 1135];[532, 695, 686, 1092];0.7311496191057056
14;```json\n [216,413,292,515]\n ```;[495, 154, 618, 208];[524, 279, 635.88, 334.63];0.0
15;```json\n [500,569,576,646]\n ```;[319, 240, 362, 276];[317, 245, 335.85, 270.38];0.26749043008331486
16;```json\n [200, 385, 253, 449]\n ```;[77, 36, 89, 45];[79, 71, 92.97, 81.73];0.0
17;```json\n [366,366,420,427]\n ```;[259, 259, 303, 298];[283, 270, 316.89, 315];0.20887338915723322
18;```json\n [343,480,411,546]\n ```;[230, 109, 262, 131];[227, 114, 252, 136.63];0.41752721183365893
19;```json\n [402,466,476,529]\n ```;[596, 289, 677, 342];[530, 359, 561.88, 405.25];0.0
20;```json\n [208,299,268,407]\n ```;[358, 249, 488, 321];[589, 691, 610, 776];0.0
21;```json\n [406, 65, 876, 659]\n ```;[40, 141, 408, 305];[192, 182, 330.13, 259.82];0.1781096997613998
22;```json\n [436,417,691,971]\n ```;[166, 160, 388, 254];[176, 162, 360.7, 256.40999999999997];0.7972739054198852
23;```json\n [422,350,808,796]\n ```;[140, 168, 318, 323];[181, 205, 309.34000000000003, 332];0.5268425252895629
24;```json\n [696, 36, 941, 283]\n ```;[14, 278, 113, 376];[118, 115, 313.33000000000004, 281];0.0
25;```json\n [470,467,816,698]\n ```;[417, 280, 624, 486];[437, 289, 626, 491];0.8376116959596189
26;```json\n [386, 99, 806, 506]\n ```;[128, 382, 657, 799];[169, 469, 559, 739.8399999999999];0.478834777168813
27;```json\n [431, 28, 625, 120]\n ```;[33, 517, 144, 750];[184, 631, 1170, 722];0.0
28;```json\n [67,458,488,542]\n ```;[494, 48, 585, 351];[500, 62, 588.89, 299.78];0.7092190816914566
29;```json\n [145,270,429,466]\n ```;[81, 24, 139, 72];[93, 33, 125.82, 68.16];0.41449396551724127
30;```json\n [279, 477, 505, 860]\n ```;[428, 334, 773, 606];[306, 403, 691, 700];0.34489909299981913
31;```json\n [384,587,426,644]\n ```;[704, 460, 772, 511];[678, 620, 742, 646];0.0
32;```json\n [88,409,602,579]\n ```;[134, 53, 190, 368];[129, 54, 195, 368];0.8461982675649663
33;```json\n [61,328,342,756]\n ```;[802, 199, 1850, 1116];[805, 195, 1862.5, 567.5];0.3970527469519197
34;```json\n [270,466,347,546]\n ```;[120, 52, 141, 67];[110, 97, 137.34, 123.1];0.0
35;```json\n [146,236,586,506]\n ```;[120, 166, 259, 666];[140, 282, 222, 579];0.3504172661870504
36;```json\n [81,635,507,746]\n ```;[650, 62, 763, 389];[664, 104, 750.87, 354];0.5877378149441151
37;```json\n [301,330,439,709]\n ```;[997, 910, 2144, 1327];[1388, 1045, 2438, 1485];0.2932058142749279
38;```json\n [13,318,288,833]\n ```;[217, 13, 568, 288];[217, 14, 581.1700000000001, 105.66];0.3291921438733912
39;```json\n [286,453,382,536]\n ```;[277, 115, 328, 154];[276, 141, 313.33, 162];0.2052863551011892
40;```json\n [76,388,132,457]\n ```;[388, 50, 457, 88];[407, 116, 423.67, 177.66];0.0
41;```json\n [462,353,521,439]\n ```;[285, 498, 355, 562];[290, 487, 424.15999999999997, 537];0.29296197850456496
42;```json\n [375,536,784,679]\n ```;[321, 300, 407, 627];[341, 379, 381.63, 592.13];0.30792517957471016
43;```json\n [546,430,920,580]\n ```;[300, 698, 405, 1177];[308, 686, 411, 1165];0.8337290412824618
44;```json\n [162,383,233,513]\n ```;[344, 194, 461, 279];[430, 230, 483, 298];0.12626766417290108
45;```json\n [426, 469, 789, 560]\n ```;[422, 511, 504, 946];[432, 500, 518, 967];0.7036304816678648
46;```json\n [552,105,610,879]\n ```;[105, 552, 879, 610];[143, 550, 855.5, 619.17];0.7819207436052085
