img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[0.3233671188354492, 2.215571641921997, 297.86102294921875, 225.0];place to grab with four fingers;[213, 116, 254.85, 186];0.044194348186924456
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[373.53375244140625, 75.85134887695312, 529.25537109375, 165.37745666503906];place to put pad of index finger;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[434.61968994140625, 158.5070343017578, 536.0155029296875, 185.31175231933594];place to put pad of index finger;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[49.93181228637695, 32.94478225708008, 245.28936767578125, 137.52529907226562];place to grab with four fingers;[123, 65, 221, 83];0.08634110152722203
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[243.3304443359375, 178.3119659423828, 448.5206298828125, 253.96046447753906];place to put pad of index finger;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[35.973541259765625, 4.207491874694824, 665.0814208984375, 676.1207275390625];place to grab with four fingers;[329, 158.75, 592.12, 410];0.15639454826920718
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0.0, 338.5870056152344, 426.84503173828125, 900.0];place to put pad of index finger;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[295.773681640625, 115.65322875976562, 364.3069763183594, 182.3804473876953];place to grab with four fingers;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[312.5517272949219, 458.5216979980469, 429.3984069824219, 564.9657592773438];place to put pad of index finger;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[145.24801635742188, 159.6125030517578, 1072.899658203125, 969.4730834960938];place to grab with four fingers;[864, 251, 1064, 426];0.04658787122632178
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[283.3478698730469, 103.90135955810547, 800.0, 307.3027038574219];place to grab with four fingers;[271, 223.33000000000004, 426.83000000000004, 425];0.09680267163926676
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[352.9435119628906, 27.810853958129883, 468.84881591796875, 145.60682678222656];place to put pad of index finger;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[47.94203186035156, 82.18576049804688, 142.7406005859375, 138.87046813964844];place to put pad of index finger;[114, 82.51, 125.62, 89];0.014034053681796494
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[490.4645080566406, 106.27416229248047, 696.5133056640625, 1129.964111328125];place to grab with four fingers;[532, 108, 686, 505];0.28984959895338874
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[7.577633857727051, 30.180166244506836, 714.7780151367188, 555.31103515625];place to put pad of index finger;[524, 379.37, 635.88, 435];0.016759130517800785
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[296.03631591796875, 215.8997802734375, 402.3714294433594, 411.5539855957031];place to put pad of index finger;[317, 209.62, 335.85, 235];0.017207581159541435
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[36.75905990600586, 35.499813079833984, 43.88654708862305, 74.30970764160156];place to put pad of index finger;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[444.85198974609375, 115.91075897216797, 686.8052368164062, 273.71026611328125];place to put pad of index finger;[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[149.35340881347656, 34.034202575683594, 427.55377197265625, 316.1703186035156];place to put pad of index finger;[227, 183.37, 252, 206];0.007207890604131222
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[354.3714599609375, 172.6246795654297, 491.7874450683594, 407.3015441894531];place to put pad of index finger;[530, 314.75, 561.88, 361];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[330.41796875, 248.10658264160156, 597.2483520507812, 786.2730712890625];place to put pad of index finger;[589, 424, 610, 509];0.0048458328279146175
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[35.31016540527344, 121.64344787597656, 584.6259765625, 300.49920654296875];place to grab with four fingers;[192, 89.18, 330.13, 167];0.06098461771894891
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[6.468653678894043, 102.71485137939453, 394.28509521484375, 261.9110107421875];place to grab with four fingers;[176, 111.59000000000003, 360.7, 206];0.2824399265411293
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[73.98654174804688, 134.0374755859375, 324.426025390625, 342.8360595703125];place to grab with four fingers;[181, 68, 309.34000000000003, 195];0.12875367001438676
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[332.7051696777344, 42.65684509277344, 388.5276184082031, 102.84688568115234];place to grab with four fingers;[118, 119, 313.33000000000004, 285];0.0
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[246.86685180664062, 344.2145080566406, 499.7793273925781, 456.0906982421875];place to grab with four fingers;[437, 105, 626, 307];0.0
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[105.19473266601562, 98.38949584960938, 1200.434814453125, 781.9472045898438];place to grab with four fingers;[169, 252.16000000000008, 559, 523];0.14108891633200915
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[21.013391494750977, 516.5516967773438, 1162.9522705078125, 753.03173828125];place to grab with four fingers;[184, 478, 1170, 569];0.16647156139353708
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[467.08526611328125, 30.521800994873047, 627.0574951171875, 695.3370361328125];place to grab with four fingers;[500, 420.22, 588.89, 658];0.19873880284683917
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[82.27566528320312, 20.545446395874023, 109.1043701171875, 40.1716194152832];place to grab with four fingers;[93, 99.84, 125.82, 135];0.0
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[61.566829681396484, 313.72039794921875, 775.8086547851562, 883.4071655273438];place to grab with four fingers;[306, 500, 691, 797];0.281019054667005
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[334.63818359375, 456.66156005859375, 440.1336975097656, 532.7128295898438];place to put pad of index finger;[678, 554, 742, 580];0.0
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[135.99859619140625, 59.9568977355957, 189.289794921875, 361.8707275390625];place to grab with four fingers;[129, 244, 195, 558];0.20573488669420298
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[775.0046997070312, 182.84619140625, 2002.687744140625, 1093.9315185546875];place to grab with four fingers;[805, 2696.5, 1862.5, 3069];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[55.752593994140625, 1.2609260082244873, 199.68301391601562, 177.6640625];place to put pad of index finger;[110, 70.9, 137.34, 97];0.028104775620682396
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;[99.69889831542969, 64.58940124511719, 401.1751708984375, 1077.9398193359375];place to grab with four fingers;[140, 559, 222, 856];0.07971820544220196
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;[137.51858520507812, 30.851760864257812, 740.1669921875, 358.5815734863281];place to grab with four fingers;[664, 414, 750.87, 664];0.0
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;[265.3500061035156, 826.0006103515625, 2761.747314453125, 1543.6170654296875];place to grab with four fingers;[1388, 1539, 2438, 1979];0.0021559644835222997
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;[161.34861755371094, 7.015064239501953, 683.0, 296.2018127441406];place to grab with four fingers;[217, 894.34, 581.1700000000001, 986];0.0
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;[197.1896514892578, 123.86203002929688, 393.012451171875, 275.34454345703125];place to put pad of index finger;[276, 243, 313.33, 264];0.0264272228444773
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;[0.24807453155517578, 360.15618896484375, 186.9133758544922, 426.0478210449219];place to put pad of index finger;[407, 489.34000000000003, 423.67, 551];0.0
41;data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg;[293.72650146484375, 481.85101318359375, 439.88348388671875, 603.5878295898438];place to put pad of index finger;[290, 543, 424.15999999999997, 593];0.3627382505135637
42;data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg;[308.0168151855469, 51.24824142456055, 422.4806823730469, 658.7086791992188];place to grab with four fingers;[341, 207.87, 381.63, 421];0.12453889095687923
43;data/roboflow/hammer_5_jpg.rf.111cf96c55a3c37f56afe7dc3f6224ee.jpg;[138.49729919433594, 140.40711975097656, 604.0501098632812, 456.6737365722656];place to grab with four fingers;[308, 115, 411, 594];0.19863043806853234
44;data/roboflow/saw_16_jpg.rf.08cb5bb3f895e6ddf476231d93cc87fc.jpg;[578.7545776367188, 304.2864685058594, 897.5955200195312, 562.6593627929688];place to put pad of index finger;[430, 902, 483, 970];0.0
45;data/roboflow/hammer_3_jpg.rf.d5d45780df9c29adadeb71cb01ef8fff.jpg;[344.2412109375, 112.13722229003906, 595.4984741210938, 983.5234375];place to grab with four fingers;[432, 233, 518, 700];0.18343661240407536
46;data/roboflow/allen_15_jpg.rf.84eacc06d0a77038d94e690f48ed9b39.jpg;[0.0, 406.3554992675781, 992.4202880859375, 617.151123046875];place to grab with four fingers;[143, 380.83000000000004, 855.5, 450];0.13675808855240204
47;data/roboflow/drill_11_jpg.rf.2af05b31d23bbe92e005ce105e1800f0.jpg;[409.65228271484375, 119.64581298828125, 722.5918579101562, 204.83277893066406];place to put pad of index finger;[679, 389.14, 708.28, 467];0.0
48;data/roboflow/allen_13_jpg.rf.a0f01b6dde96397f10899cc21473aa0e.jpg;[2.688516616821289, 6.517334461212158, 152.14251708984375, 147.7689208984375];place to grab with four fingers;[33, 186.25, 119.25, 268];0.0
49;data/roboflow/glue_2_jpg.rf.8a15037652e0c691b02a6e546d5a1bbf.jpg;[0.0, 14.529325485229492, 305.5486755371094, 238.58216857910156];place to put pad of index finger;[138, 617.83, 180.5, 767];0.0
50;data/roboflow/wrench_11_jpg.rf.89e651e4fa1e825d7ca9187a175200b6.jpg;[35.39806365966797, 37.176395416259766, 191.59088134765625, 183.23707580566406];place to grab with four fingers;[50, 130.93, 117.96, 170];0.11638644487441882
51;data/roboflow/wacker_16_jpg.rf.2147f7f6bf8bb1e498199e5d7b08b40a.jpg;[575.6322631835938, 494.0905456542969, 805.7317504882812, 697.7088012695312];place to put pad of index finger;[935, 788.75, 986.25, 835];0.0
52;data/roboflow/wacker_15_jpg.rf.749dc2f49bd5654fdbe3747de8cf48bb.jpg;[476.0561828613281, 277.1092834472656, 508.9359130859375, 308.5794982910156];place to put pad of index finger;[357, 217.57, 377.71, 229];0.0
