,img_id,img_path,text_output,pred_bbox,pred_bbox_area,target_bbox,iou
0,0,data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg,"'                                                                                  [162, 521, 569, 888]\n                                                                                  ```","[162.0, 521.0, 569.0, 888.0]",149369.0,"[213.0, 39.0, 254.85, 109.0]",0.0
1,1,data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg,"```json\n                                                                                  [301,307,332,366]\n                                                                                  ```","[301.0, 307.0, 332.0, 366.0]",1829.0,"[249.0, 283.0, 317.33, 302.17]",0.0
2,2,data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg,"```json\n                                                                                  [308,628,374,708]\n                                                                                  ```","[308.0, 628.0, 374.0, 708.0]",5280.0,"[410.0, 213.0, 425.45, 241.18]",0.0
3,3,data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg,"```json\n                                                                                  [577,376,694,888]\n                                                                                  ```","[577.0, 376.0, 694.0, 888.0]",59904.0,"[123.0, 120.0, 221.0, 138.0]",0.0
4,4,data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg,"```json\n                                                                                  [480, 470, 540, 538]\n                                                                                  ```","[480.0, 470.0, 540.0, 538.0]",4080.0,"[311.0, 237.0, 333.86, 249.14]",0.0
5,5,data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg,"```json\n                                                                                  [504,574,615,767]\n                                                                                  ```","[504.0, 574.0, 615.0, 767.0]",21423.0,"[329.0, 340.0, 592.12, 591.25]",0.017672801520442018
6,6,data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg,"```json\n                                                                                  [146,407,210,478]\n                                                                                  ```","[146.0, 407.0, 210.0, 478.0]",4544.0,"[543.0, 184.0, 609.4300000000001, 214.0]",0.0
7,7,data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg,"```json\n                                                                                  [108,560,501,907]\n                                                                                  ```","[108.0, 560.0, 501.0, 907.0]",136371.0,"[364.0, 76.0, 419.89, 147.76]",0.0
8,8,data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg,"```json\n                                                                                  [465,440,518,500]\n                                                                                  ```","[465.0, 440.0, 518.0, 500.0]",3180.0,"[511.0, 600.0, 549.0, 694.0]",0.0
9,9,data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg,"```json\n                                                                                  [610,680,796,896]\n                                                                                  ```","[610.0, 680.0, 796.0, 896.0]",40176.0,"[864.0, 774.0, 1064.0, 949.0]",0.0
10,10,data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg,"```json\n                                                                                  [206,345,486,566]\n                                                                                  ```","[206.0, 345.0, 486.0, 566.0]",61880.0,"[271.0, 107.0, 426.83000000000004, 308.66999999999996]",0.0
11,11,data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg,"```json\n                                                                                  [586,646,690,730]\n                                                                                  ```","[586.0, 646.0, 690.0, 730.0]",8736.0,"[331.0, 162.0, 343.19, 197.94]",0.0
12,12,data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg,"```json\n                                                                                  [398, 503, 461, 557]\n                                                                                  ```","[398.0, 503.0, 461.0, 557.0]",3402.0,"[114.0, 78.0, 125.62, 84.49]",0.0
13,13,data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg,"```json\n                                                                                  [539,438,946,580]\n                                                                                  ```","[539.0, 438.0, 946.0, 580.0]",57794.0,"[532.0, 695.0, 686.0, 1092.0]",0.0
14,14,data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg,"```json\n                                                                                  [216,413,292,515]\n                                                                                  ```","[216.0, 413.0, 292.0, 515.0]",7752.0,"[524.0, 279.0, 635.88, 334.63]",0.0
15,15,data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg,"```json\n                                                                                  [500,569,576,646]\n                                                                                  ```","[500.0, 569.0, 576.0, 646.0]",5852.0,"[317.0, 245.0, 335.85, 270.38]",0.0
16,16,data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg,"```json\n                                                                                  [200, 385, 253, 449]\n                                                                                  ```","[200.0, 385.0, 253.0, 449.0]",3392.0,"[79.0, 71.0, 92.97, 81.73]",0.0
17,17,data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg,"```json\n                                                                                  [366,366,420,427]\n                                                                                  ```","[366.0, 366.0, 420.0, 427.0]",3294.0,"[283.0, 270.0, 316.89, 315.0]",0.0
18,18,data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg,"```json\n                                                                                  [343,480,411,546]\n                                                                                  ```","[343.0, 480.0, 411.0, 546.0]",4488.0,"[227.0, 114.0, 252.0, 136.63]",0.0
19,19,data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg,"```json\n                                                                                  [402,466,476,529]\n                                                                                  ```","[402.0, 466.0, 476.0, 529.0]",4662.0,"[530.0, 359.0, 561.88, 405.25]",0.0
20,20,data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg,"```json\n                                                                                  [208,299,268,407]\n                                                                                  ```","[208.0, 299.0, 268.0, 407.0]",6480.0,"[589.0, 691.0, 610.0, 776.0]",0.0
21,21,data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg,"```json\n                                                                                  [406, 65, 876, 659]\n                                                                                  ```","[406.0, 65.0, 876.0, 659.0]",279180.0,"[192.0, 182.0, 330.13, 259.82]",0.0
22,22,data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg,"```json\n                                                                                  [436,417,691,971]\n                                                                                  ```","[436.0, 417.0, 691.0, 971.0]",141270.0,"[176.0, 162.0, 360.7, 256.40999999999997]",0.0
23,23,data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg,"```json\n                                                                                  [422,350,808,796]\n                                                                                  ```","[422.0, 350.0, 808.0, 796.0]",172156.0,"[181.0, 205.0, 309.34000000000003, 332.0]",0.0
