img_id, img_path                                                                , text_output         , pred_bbox             , target_bbox                                         , iou
     0, data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg, "```json
                                                                                  [162, 521, 569, 888]
                                                                                  ```"                , "[162, 521, 569, 888]", "[213, 39, 254.85, 109]"                            , 0.0
     1, data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg       , "```json
                                                                                  [301,307,332,366]
                                                                                  ```"                , "[301, 307, 332, 366]", "[249, 283, 317.33, 302.17]"                        , 0.0
     2, data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg        , "```json
                                                                                  [308,628,374,708]
                                                                                  ```"                , "[308, 628, 374, 708]", "[410, 213, 425.45, 241.18]"                        , 0.0
     3, data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg     , "```json
                                                                                  [577,376,694,888]
                                                                                  ```"                , "[577, 376, 694, 888]", "[123, 120, 221, 138]"                              , 0.0
     4, data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg      , "```json
                                                                                  [480, 470, 540, 538]
                                                                                  ```"                , "[480, 470, 540, 538]", "[311, 237, 333.86, 249.14]"                        , 0.0
     5, data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg     , "```json
                                                                                  [504,574,615,767]
                                                                                  ```"                , "[504, 574, 615, 767]", "[329, 340, 592.12, 591.25]"                        , 0.017672801520442018
     6, data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg         , "```json
                                                                                  [146,407,210,478]
                                                                                  ```"                , "[146, 407, 210, 478]", "[543, 184, 609.4300000000001, 214]"                , 0.0
     7, data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg     , "```json
                                                                                  [108,560,501,907]
                                                                                  ```"                , "[108, 560, 501, 907]", "[364, 76, 419.89, 147.76]"                         , 0.0
     8, data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg         , "```json
                                                                                  [465,440,518,500]
                                                                                  ```"                , "[465, 440, 518, 500]", "[511, 600, 549, 694]"                              , 0.0
     9, data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg, "```json
                                                                                  [610,680,796,896]
                                                                                  ```"                , "[610, 680, 796, 896]", "[864, 774, 1064, 949]"                             , 0.0
    10, data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg       , "```json
                                                                                  [206,345,486,566]
                                                                                  ```"                , "[206, 345, 486, 566]", "[271, 107, 426.83000000000004, 308.66999999999996]", 0.0
    11, data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg        , "```json
                                                                                  [586,646,690,730]
                                                                                  ```"                , "[586, 646, 690, 730]", "[331, 162, 343.19, 197.94]"                        , 0.0
    12, data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg      , "```json
                                                                                  [398, 503, 461, 557]
                                                                                  ```"                , "[398, 503, 461, 557]", "[114, 78, 125.62, 84.49]"                          , 0.0
    13, data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg, "```json
                                                                                  [539,438,946,580]
                                                                                  ```"                , "[539, 438, 946, 580]", "[532, 695, 686, 1092]"                             , 0.0
    14, data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg       , "```json
                                                                                  [216,413,292,515]
                                                                                  ```"                , "[216, 413, 292, 515]", "[524, 279, 635.88, 334.63]"                        , 0.0
    15, data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg        , "```json
                                                                                  [500,569,576,646]
                                                                                  ```"                , "[500, 569, 576, 646]", "[317, 245, 335.85, 270.38]"                        , 0.0
    16, data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg        , "```json
                                                                                  [200, 385, 253, 449]
                                                                                  ```"                , "[200, 385, 253, 449]", "[79, 71, 92.97, 81.73]"                            , 0.0
    17, data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg      , "```json
                                                                                  [366,366,420,427]
                                                                                  ```"                , "[366, 366, 420, 427]", "[283, 270, 316.89, 315]"                           , 0.0
    18, data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg        , "```json
                                                                                  [343,480,411,546]
                                                                                  ```"                , "[343, 480, 411, 546]", "[227, 114, 252, 136.63]"                           , 0.0
    19, data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg        , "```json
                                                                                  [402,466,476,529]
                                                                                  ```"                , "[402, 466, 476, 529]", "[530, 359, 561.88, 405.25]"                        , 0.0
    20, data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg       , "```json
                                                                                  [208,299,268,407]
                                                                                  ```"                , "[208, 299, 268, 407]", "[589, 691, 610, 776]"                              , 0.0
    21, data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg     , "```json
                                                                                  [406, 65, 876, 659]
                                                                                  ```"                , "[406, 65, 876, 659]" , "[192, 182, 330.13, 259.82]"                        , 0.0
    22, data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg      , "```json
                                                                                  [436,417,691,971]
                                                                                  ```"                , "[436, 417, 691, 971]", "[176, 162, 360.7, 256.40999999999997]"             , 0.0
    23, data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg , "```json
                                                                                  [422,350,808,796]
                                                                                  ```"                , "[422, 350, 808, 796]", "[181, 205, 309.34000000000003, 332]"               , 0.0
    24, data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg      , "```json
                                                                                  [696, 36, 941, 283]
                                                                                  ```"                , "[696, 36, 941, 283]" , "[118, 115, 313.33000000000004, 281]"               , 0.0
    25, data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg     , "```json
                                                                                  [470,467,816,698]
                                                                                  ```"                , "[470, 467, 816, 698]", "[437, 289, 626, 491]"                              , 0.03273871983210913
    26, data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg, "```json
                                                                                  [386, 99, 806, 506]
                                                                                  ```"                , "[386, 99, 806, 506]" , "[169, 469, 559, 739.8399999999999]"                , 0.023692788079651594
    27, data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg       , "```json
                                                                                  [431, 28, 625, 120]
                                                                                  ```"                , "[431, 28, 625, 120]" , "[184, 631, 1170, 722]"                             , 0.0
    28, data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg, "```json
                                                                                  [67,458,488,542]
                                                                                  ```"                , "[67, 458, 488, 542]" , "[500, 62, 588.89, 299.78]"                         , 0.0
    29, data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg, "```json
                                                                                  [145,270,429,466]
                                                                                  ```"                , "[145, 270, 429, 466]", "[93, 33, 125.82, 68.16]"                           , 0.0
    30, data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg     , "```json
                                                                                  [279, 477, 505, 860]
                                                                                  ```"                , "[279, 477, 505, 860]", "[306, 403, 691, 700]"                              , 0.2835120043954359
    31, data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg         , "```json
                                                                                  [384,587,426,644]
                                                                                  ```"                , "[384, 587, 426, 644]", "[678, 620, 742, 646]"                              , 0.0
    32, data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg      , "```json
                                                                                  [88,409,602,579]
                                                                                  ```"                , "[88, 409, 602, 579]" , "[129, 54, 195, 368]"                               , 0.0
    33, data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg      , "```json
                                                                                  [61,328,342,756]
                                                                                  ```"                , "[61, 328, 342, 756]" , "[805, 195, 1862.5, 567.5]"                         , 0.0
    34, data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg       , "```json
                                                                                  [270,466,347,546]
                                                                                  ```"                , "[270, 466, 347, 546]", "[110, 97, 137.34, 123.1]"                          , 0.0
    35, data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg      , "```json
                                                                                  [146,236,586,506]
                                                                                  ```"                , "[146, 236, 586, 506]", "[140, 282, 222, 579]"                              , 0.13497185443589946
    36, data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg     , "```json
                                                                                  [81,635,507,746]
                                                                                  ```"                , "[81, 635, 507, 746]" , "[664, 104, 750.87, 354]"                           , 0.0
    37, data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg      , "```json
                                                                                  [301,330,439,709]
                                                                                  ```"                , "[301, 330, 439, 709]", "[1388, 1045, 2438, 1485]"                          , 0.0
    38, data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg       , "```json
                                                                                  [13,318,288,833]
                                                                                  ```"                , "[13, 318, 288, 833]" , "[217, 14, 581.1700000000001, 105.66]"              , 0.0
    39, data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg       , "```json
                                                                                  [286,453,382,536]
                                                                                  ```"                , "[286, 453, 382, 536]", "[276, 141, 313.33, 162]"                           , 0.0
    40, data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg        , "```json
                                                                                  [76,388,132,457]
                                                                                  ```"                , "[76, 388, 132, 457]" , "[407, 116, 423.67, 177.66]"                        , 0.0
    41, data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg        , "```json
                                                                                  [462,353,521,439]
                                                                                  ```"                , "[462, 353, 521, 439]", "[290, 487, 424.15999999999997, 537]"               , 0.0
    42, data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg      , "```json
                                                                                  [375,536,784,679]
                                                                                  ```"                , "[375, 536, 784, 679]", "[341, 379, 381.63, 592.13]"                        , 0.005573128176651113
    43, data/roboflow/hammer_5_jpg.rf.111cf96c55a3c37f56afe7dc3f6224ee.jpg      , "```json
                                                                                  [546,430,920,580]
                                                                                  ```"                , "[546, 430, 920, 580]", "[308, 686, 411, 1165]"                             , 0.0
    44, data/roboflow/saw_16_jpg.rf.08cb5bb3f895e6ddf476231d93cc87fc.jpg        , "```json
                                                                                  [162,383,233,513]
                                                                                  ```"                , "[162, 383, 233, 513]", "[430, 230, 483, 298]"                              , 0.0
    45, data/roboflow/hammer_3_jpg.rf.d5d45780df9c29adadeb71cb01ef8fff.jpg      , "```json
                                                                                  [426, 469, 789, 560]
                                                                                  ```"                , "[426, 469, 789, 560]", "[432, 500, 518, 967]"                              , 0.07584331594032483
    46, data/roboflow/allen_15_jpg.rf.84eacc06d0a77038d94e690f48ed9b39.jpg      , "```json
                                                                                  [552,105,610,879]
                                                                                  ```"                , "[552, 105, 610, 879]", "[143, 550, 855.5, 619.17]"                         , 0.04449525815608964
    47, data/roboflow/drill_11_jpg.rf.2af05b31d23bbe92e005ce105e1800f0.jpg      , "```json
                                                                                  [507,487,574,568]
                                                                                  ```"                , "[507, 487, 574, 568]", "[679, 429, 708.28, 506.86]"                        , 0.0
    48, data/roboflow/allen_13_jpg.rf.a0f01b6dde96397f10899cc21473aa0e.jpg      , "```json
                                                                                  [17, 20, 187, 465]
                                                                                  ```"                , "[17, 20, 187, 465]"  , "[33, 32, 119.25, 113.75]"                          , 0.09320472571050892
    49, data/roboflow/glue_2_jpg.rf.8a15037652e0c691b02a6e546d5a1bbf.jpg        , "```json
                                                                                  [260,290,368,410]
                                                                                  ```"                , "[260, 290, 368, 410]", "[138, 233, 180.5, 382.16999999999996]"             , 0.0
    50, data/roboflow/wrench_11_jpg.rf.89e651e4fa1e825d7ca9187a175200b6.jpg     , "```json
                                                                                  [167,166,517,526]
                                                                                  ```"                , "[167, 166, 517, 526]", "[50, 55, 117.96, 94.07]"                           , 0.0
    51, data/roboflow/wacker_16_jpg.rf.2147f7f6bf8bb1e498199e5d7b08b40a.jpg     , "```json
                                                                                  [399, 399, 431, 429]
                                                                                  ```"                , "[399, 399, 431, 429]", "[935, 765, 986.25, 811.25]"                        , 0.0
    52, data/roboflow/wacker_15_jpg.rf.749dc2f49bd5654fdbe3747de8cf48bb.jpg     , "```json
                                                                                  [312,488,362,542]
                                                                                  ```"                , "[312, 488, 362, 542]", "[357, 221, 377.71, 232.43]"                        , 0.0
    53, data/roboflow/glue_6_jpg.rf.619ad5b67a361a53be56c8fbfdfc7b12.jpg        , "```json
                                                                                  [275,383,338,460]
                                                                                  ```"                , "[275, 383, 338, 460]", "[104, 66, 116.96000000000001, 85.26]"              , 0.0
    54, data/roboflow/saw_19_jpg.rf.8f47d8dbf342a941d9de7a54cd7d4ef8.jpg        , "```json
                                                                                  [70,645,125,728]
                                                                                  ```"                , "[70, 645, 125, 728]" , "[244, 42, 267.12, 47.31]"                          , 0.0
    55, data/roboflow/drill_6_jpg.rf.3f895b36079933bf8e2e59fbbb0bcc0a.jpg       , "```json
                                                                                  [487,376,560,485]
                                                                                  ```"                , "[487, 376, 560, 485]", "[646, 437, 661, 509.15]"                           , 0.0
    56, data/roboflow/hammer_4_jpg.rf.be49520bcdc487c23b0f5cdfc8555d03.jpg      , "```json
                                                                                  [467, 500, 568, 963]
                                                                                  ```"                , "[467, 500, 568, 963]", "[112, 107, 218.48000000000002, 129.03]"            , 0.0
    57, data/roboflow/allen_6_jpg.rf.e32dab49b55efbfb4ef83c50b633003f.jpg       , "```json
                                                                                  [150,270,300,808]
                                                                                  ```"                , "[150, 270, 300, 808]", "[102, 68, 284.31, 143.76999999999998]"             , 0.0
    58, data/roboflow/nail_1_jpg.rf.ca3b1c00b4cee0fd6983ddacc4edd612.jpg        , "```json
                                                                                  [483,384,536,440]
                                                                                  ```"                , "[483, 384, 536, 440]", "[335, 351, 364.5, 384]"                            , 0.0
    59, data/roboflow/screwdriver_6_jpg.rf.e8fbf1ef6ec0bca566d011cc989bcbc9.jpg , "```json
                                                                                  [330,310,928,928]
                                                                                  ```"                , "[330, 310, 928, 928]", "[545, 478, 898.5699999999999, 778]"                , 0.2870165925252459
    60, data/roboflow/saw_10_jpg.rf.369ecf7a1cbcd7bee2dd4631e4e7cd77.jpg        , "```json
                                                                                  [225,790,272,848]
                                                                                  ```"                , "[225, 790, 272, 848]", "[784, 209, 804.62, 249]"                           , 0.0
    61, data/roboflow/solder_18_jpg.rf.f3ae27d2c6d71f6cdae4c97a5da3103e.jpg     , "```json
                                                                                  [166, 78, 502, 650]
                                                                                  ```"                , "[166, 78, 502, 650]" , "[44, 73, 115.48, 128.56]"                          , 0.0
    62, data/roboflow/wrench_4_jpg.rf.1bc53859ca2ff1f67ea1c393537bae51.jpg      , "```json
                                                                                  [569,604,891,896]
                                                                                  ```"                , "[569, 604, 891, 896]", "[597, 403, 914.86, 761.5699999999999]"             , 0.286537903079048
    63, data/roboflow/wacker_3_jpg.rf.43e9ae0cfc9d836d36e66e0220e97f1f.jpg      , "```json
                                                                                  [454,290,489,346]
                                                                                  ```"                , "[454, 290, 489, 346]", "[217, 522, 252.82999999999998, 535.33]"            , 0.0
    64, data/roboflow/allen_3_jpg.rf.f452a3b83561eb67c6141ea368168648.jpg       , "```json
                                                                                  [248,117,732,890]
                                                                                  ```"                , "[248, 117, 732, 890]", "[142, 170, 555.5, 423.5]"                          , 0.1943906903439625
    65, data/roboflow/wacker_5_jpg.rf.534ac3f6e093b02ebc610cf9b31141c3.jpg      , "```json
                                                                                  [452,722,481,758]
                                                                                  ```"                , "[452, 722, 481, 758]", "[898, 582, 937, 597]"                              , 0.0
    66, data/roboflow/screwdriver_7_jpg.rf.fef662b242509997a0395209c9f8f941.jpg , "```json
                                                                                  [37,428,214,516]
                                                                                  ```"                , "[37, 428, 214, 516]" , "[173, 17, 204.34, 68.33]"                          , 0.0
    67, data/roboflow/hammer_10_jpg.rf.295b81df7c4e3044a1fa86ecb6959009.jpg     , "```json
                                                                                  [455, 486, 556, 917]
                                                                                  ```"                , "[455, 486, 556, 917]", "[523, 512, 976.3399999999999, 595.33]"             , 0.035004612812352016
    68, data/roboflow/wrench_10_jpg.rf.dc0edb1bb8d02dc9c1059b588df7d8f0.jpg     , "```json
                                                                                  [252,681,401,988]
                                                                                  ```"                , "[252, 681, 401, 988]", "[913, 300, 1244, 540]"                             , 0.0
    69, data/roboflow/hammer_18_jpg.rf.dfe188c41f795463dbcc7babd994c330.jpg     , "```json
                                                                                  [479,428,947,536]
                                                                                  ```"                , "[479, 428, 947, 536]", "[127, 195, 168.32999999999998, 383.66999999999996]", 0.0
    70, data/roboflow/screwdriver_5_jpg.rf.575f3ba9ba3035af307fe1c80d0066f1.jpg , "```json
                                                                                  [456,593,648,949]
                                                                                  ```"                , "[456, 593, 648, 949]", "[1590, 775, 2378.75, 1097.5]"                      , 0.0
    71, data/roboflow/screwdriver_10_jpg.rf.e90b90d3657072e118d91fa1188f2e8e.jpg, "```json
                                                                                  [16,368,576,688]
                                                                                  ```"                , "[16, 368, 576, 688]" , "[101, 9, 166.70999999999998, 177.21]"              , 0.0
    72, data/roboflow/saw_5_jpg.rf.251577bb54d32d45d70b87498870b6c5.jpg         , "```json
                                                                                  [180,458,231,518]
                                                                                  ```"                , "[180, 458, 231, 518]", "[585, 157, 631.43, 190.57]"                        , 0.0
    73, data/roboflow/saw_17_jpg.rf.5ce2bac53e73010826e4a9de3af91fc9.jpg        , "```json
                                                                                  [78, 310, 170, 456]
                                                                                  ```"                , "[78, 310, 170, 456]" , "[166, 119, 184.64, 147.64]"                        , 0.0
    74, data/roboflow/wacker_17_jpg.rf.59bbe305aa8c51bfde475e59faba15a3.jpg     , "```json
                                                                                  [266,768,300,818]
                                                                                  ```"                , "[266, 768, 300, 818]", "[1135, 465, 1212.5, 493.75]"                       , 0.0
    75, data/roboflow/solder_19_jpg.rf.6ba82ef7654945a115827964553b9f86.jpg     , "```json
                                                                                  [455, 376, 700, 718]
                                                                                  ```"                , "[455, 376, 700, 718]", "[288, 223, 398, 310.90999999999997]"               , 0.0
    76, data/roboflow/screwdriver_0_jpg.rf.47ddc4bdab6af5228c6456ea355534b8.jpg , "```json
                                                                                  [66,119,428,539]
                                                                                  ```"                , "[66, 119, 428, 539]" , "[47, 44, 132.34, 150.32999999999998]"              , 0.01306896052378656
    77, data/roboflow/saw_11_jpg.rf.ef778852807d9700d37342481a46b674.jpg        , "```json
                                                                                  [551,587,602,646]
                                                                                  ```"                , "[551, 587, 602, 646]", "[477, 357, 543, 372.5]"                            , 0.0
    78, data/roboflow/wacker_1_jpg.rf.3aa1825fc5e85db70c628bbff2cef848.jpg      , "```json
                                                                                  [481,467,522,516]
                                                                                  ```"                , "[481, 467, 522, 516]", "[406, 334, 440.5, 356]"                            , 0.0
    79, data/roboflow/wrench_3_jpg.rf.5688e17fbf1f3fa1e675f1780e9bcdee.jpg      , "```json
                                                                                  [201, 491, 281, 693]
                                                                                  ```"                , "[201, 491, 281, 693]", "[496, 331, 566, 974]"                              , 0.0
    80, data/roboflow/nail_18_jpg.rf.ca0aa65b5b35c49485de3519192627e9.jpg       , "```json
                                                                                  [582,602,637,662]
                                                                                  ```"                , "[582, 602, 637, 662]", "[1350, 723, 1400, 848]"                            , 0.0
    81, data/roboflow/nail_4_jpg.rf.004c821c0b80d982e00465f2ec4ce69f.jpg        , "```json
                                                                                  [396, 587, 462, 670]
                                                                                  ```"                , "[396, 587, 462, 670]", "[117, 135, 124.71, 145.83]"                        , 0.0
    82, data/roboflow/allen_16_jpg.rf.56825daea3cb1ce94eb216620f07142a.jpg      , "```json
                                                                                  [131, 588, 926, 726]
                                                                                  ```"                , "[131, 588, 926, 726]", "[118, 44, 141.96, 240.04]"                         , 0.0
    83, data/roboflow/solder_15_jpg.rf.9fe111e492dc5f76a67f271c63763cfc.jpg     , "```json
                                                                                  [469,420,701,649]
                                                                                  ```"                , "[469, 420, 701, 649]", "[263, 481, 347.37, 667.88]"                        , 0.0
    84, data/roboflow/solder_6_jpg.rf.95a632bd111bc3f1f074edf23bbac04e.jpg      , "```json
                                                                                  [667, 418, 791, 604]
                                                                                  ```"                , "[667, 418, 791, 604]", "[148, 111, 223.16, 135.38]"                        , 0.0
    85, data/roboflow/saw_9_jpg.rf.4a74dcc308d112ff86028beeb86ebd1b.jpg         , "```json
                                                                                  [233,777,281,863]
                                                                                  ```"                , "[233, 777, 281, 863]", "[939, 253, 970.43, 305.85]"                        , 0.0
    86, data/roboflow/hammer_13_jpg.rf.b9cecdc13f6529d4aa2a4aa8a5373dec.jpg     , "```json
                                                                                  [376,168,645,984]
                                                                                  ```"                , "[376, 168, 645, 984]", "[231, 208, 1251.63, 340.49]"                       , 0.11169292000757661
    87, data/roboflow/wacker_6_jpg.rf.b216f2fd6df84d287d59f61952666bab.jpg      , "```json
                                                                                  [395, 506, 428, 552]
                                                                                  ```"                , "[395, 506, 428, 552]", "[138, 169, 153.28, 176.78]"                        , 0.0
    88, data/roboflow/saw_1_jpg.rf.dabeec130f46a0ed64b7181f627e80b4.jpg         , "```json
                                                                                  [180, 346, 232, 409]
                                                                                  ```"                , "[180, 346, 232, 409]", "[403, 259, 475.14, 299]"                           , 0.0
    89, data/roboflow/hammer_9_jpg.rf.ae9639e7c8ea7a8f852d0d0c52054069.jpg      , "```json
                                                                                  [483,546,578,878]
                                                                                  ```"                , "[483, 546, 578, 878]", "[567, 502, 948.6700000000001, 586.17]"             , 0.006989037943813927
    90, data/roboflow/wrench_7_jpg.rf.d641a5052e86bd3f20db3e0a60202807.jpg      , "```json
                                                                                  [102,68,762,988]
                                                                                  ```"                , "[102, 68, 762, 988]" , "[111, 80, 306.25, 168.5]"                          , 0.028457880434782607
    91, data/roboflow/wacker_9_jpg.rf.1ca5109d13dd10dc9dff8247d6651c6d.jpg      , "```json
                                                                                  [442,654,476,700]
                                                                                  ```"                , "[442, 654, 476, 700]", "[1194, 696, 1219, 710]"                            , 0.0
    92, data/roboflow/wacker_7_jpg.rf.70fd0164c6c486da49500c41f7938930.jpg      , "```json
                                                                                  [669, 88, 728, 156]
                                                                                  ```"                , "[669, 88, 728, 156]" , "[47, 236, 64.22, 246]"                             , 0.0
    93, data/roboflow/wacker_12_jpg.rf.6e0fca0ef35537788d49e48c6aadcb74.jpg     , "```json
                                                                                  [384,530,419,577]
                                                                                  ```"                , "[384, 530, 419, 577]", "[985, 698, 1032.5, 719.25]"                        , 0.0
    94, data/roboflow/glue_11_jpg.rf.70118f43562387f2c89ace63f2c4dd9e.jpg       , "```json
                                                                                  [386,588,442,666]
                                                                                  ```"                , "[386, 588, 442, 666]", "[608, 665, 721.75, 735]"                           , 0.0
    95, data/roboflow/wacker_18_jpg.rf.8860d00066a92ef5c0ab20cd5f7352ba.jpg     , "```json
                                                                                  [272,386,318,425]
                                                                                  ```"                , "[272, 386, 318, 425]", "[739, 188, 757.75, 206.75]"                        , 0.0
    96, data/roboflow/glue_12_jpg.rf.c0123478d172c7a1a85ab00b021bc6c1.jpg       , "```json
                                                                                  [550,486,607,592]
                                                                                  ```"                , "[550, 486, 607, 592]", "[194, 318, 232.19, 350.27]"                        , 0.0
    97, data/roboflow/glue_1_jpg.rf.da77fbeb1a8f03ddfd89710b581a10aa.jpg        , "```json
                                                                                  [538,412,702,518]
                                                                                  ```"                , "[538, 412, 702, 518]", "[237, 326, 278.5, 416]"                            , 0.0
