img_id;img_path;text_output;pred_bbox;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;```json [377, 530, 577, 696] ```;[377, 530, 577, 696];[213, 39, 254.85, 109];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;```json [346, 177, 402, 244] ```;[346, 177, 402, 244];[249, 283, 317.33, 302.17];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;```json [439, 539, 563, 643] ```;[439, 539, 563, 643];[410, 213, 425.45, 241.18];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;```json [578, 444, 700, 635] ```;[578, 444, 700, 635];[123, 120, 221, 138];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;```json [369, 69, 591, 153] ```;[369, 69, 591, 153];[311, 237, 333.86, 249.14];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;```json [540, 541, 869, 884] ```;[540, 541, 869, 884];[329, 340, 592.12, 591.25];0.0148524242264252
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;```json [72, 689, 153, 798] ```;[72, 689, 153, 798];[543, 184, 609.4300000000001, 214];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;```json [119, 551, 511, 901] ```;[119, 551, 511, 901];[364, 76, 419.89, 147.76];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;```json [527, 579, 600, 645] ```;[527, 579, 600, 645];[511, 600, 549, 694];0.1337837837837837
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;```json [701, 747, 808, 883] ```;[701, 747, 808, 883];[864, 774, 1064, 949];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;```json [253, 542, 425, 993] ```;[253, 542, 425, 993];[271, 107, 426.83000000000004, 308.66999999999996];0.0
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;```json [444, 639, 567, 694] ```;[444, 639, 567, 694];[331, 162, 343.19, 197.94];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;```json [493, 326, 662, 476] ```;[493, 326, 662, 476];[114, 78, 125.62, 84.49];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;```json [602, 439, 945, 561] ```;[602, 439, 945, 561];[532, 695, 686, 1092];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;```json [384, 293, 428, 347] ```;[384, 293, 428, 347];[524, 279, 635.88, 334.63];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;```json [664, 526, 791, 621] ```;[664, 526, 791, 621];[317, 245, 335.85, 270.38];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;```json [269, 474, 323, 538] ```;[269, 474, 323, 538];[79, 71, 92.97, 81.73];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;```json [416, 310, 472, 360] ```;[416, 310, 472, 360];[283, 270, 316.89, 315];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;```json [476, 432, 963, 659] ```;[476, 432, 963, 659];[227, 114, 252, 136.63];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;```json [341, 456, 441, 515] ```;[341, 456, 441, 515];[530, 359, 561.88, 405.25];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;```json [494, 297, 564, 377] ```;[494, 297, 564, 377];[589, 691, 610, 776];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;```json [412, 62, 865, 664] ```;[412, 62, 865, 664];[192, 182, 330.13, 259.82];0.0
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;```json [439, 414, 701, 978] ```;[439, 414, 701, 978];[176, 162, 360.7, 256.40999999999997];0.0
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;```json [500, 454, 863, 822] ```;[500, 454, 863, 822];[181, 205, 309.34000000000003, 332];0.0
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;```json [430, 399, 626, 616] ```;[430, 399, 626, 616];[118, 115, 313.33000000000004, 281];0.0
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;```json [597, 521, 727, 648] ```;[597, 521, 727, 648];[437, 289, 626, 491];0.0
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;```json [621, 324, 747, 429] ```;[621, 324, 747, 429];[169, 469, 559, 739.8399999999999];0.0
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;```json [475, 128, 626, 769] ```;[475, 128, 626, 769];[184, 631, 1170, 722];0.0795307218595175
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;```json [353, 463, 498, 536] ```;[353, 463, 498, 536];[500, 62, 588.89, 299.78];0.0
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;```json [511, 466, 932, 663] ```;[511, 466, 932, 663];[93, 33, 125.82, 68.16];0.0
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;```json [318, 407, 524, 689] ```;[318, 407, 524, 689];[306, 403, 691, 700];0.5080414534959989
