img_id;img_path;text_output;pred_bbox;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[134, 65, 194, 147];[134, 65, 194, 147];[213, 39, 254.85, 109];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;```json [340, 270, 390, 320] ```;[340, 270, 390, 320];[249, 283, 317.33, 302.17];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;```json [630, 280, 680, 330] ```;[630, 280, 680, 330];[410, 213, 425.45, 241.18];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;```json [120, 105, 250, 160] ```;[120, 105, 250, 160];[123, 120, 221, 138];0.2467132867132867
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[414, 263, 439, 290];[414, 263, 439, 290];[311, 237, 333.86, 249.14];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;```json [100, 150, 280, 280] ```;[100, 150, 280, 280];[329, 340, 592.12, 591.25];0.0
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;```json [550, 160, 640, 210] ```;[550, 160, 640, 210];[543, 184, 609.4300000000001, 214];0.31230142368606184
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;```json [410, 190, 570, 280] ```;[410, 190, 570, 280];[364, 76, 419.89, 147.76];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;```json [493, 334, 543, 377] ```;[493, 334, 543, 377];[511, 600, 549, 694];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;```json [724, 507, 841, 572] ```;[724, 507, 841, 572];[864, 774, 1064, 949];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;```json [125, 145, 275, 245] ```;[125, 145, 275, 245];[271, 107, 426.83000000000004, 308.66999999999996];0.00869069543577125
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;```json [378, 251, 433, 322] ```;[378, 251, 433, 322];[331, 162, 343.19, 197.94];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;```json [310, 360, 350, 400] ```;[310, 360, 350, 400];[114, 78, 125.62, 84.49];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;```json [590, 840, 730, 1080] ```;[590, 840, 730, 1080];[532, 695, 686, 1092];0.3213478758124355
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;```json [285, 250, 325, 290] ```;[285, 250, 325, 290];[524, 279, 635.88, 334.63];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;```json [520, 300, 630, 380] ```;[520, 300, 630, 380];[317, 245, 335.85, 270.38];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;```json [240, 190, 270, 220] ```;[240, 190, 270, 220];[79, 71, 92.97, 81.73];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;```json [209, 262, 267, 313] ```;[209, 262, 267, 313];[283, 270, 316.89, 315];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;```json [391, 357, 425, 395] ```;[391, 357, 425, 395];[227, 114, 252, 136.63];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;```json [545, 355, 620, 390] ```;[545, 355, 620, 390];[530, 359, 561.88, 405.25];0.14632414007164085
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;```json [370, 390, 420, 430] ```;[370, 390, 420, 430];[589, 691, 610, 776];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;```json [130, 195, 290, 270] ```;[130, 195, 290, 270];[192, 182, 330.13, 259.82];0.3874118625449373
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;```json [110, 140, 230, 180] ```;[110, 140, 230, 180];[176, 162, 360.7, 256.40999999999997];0.04570777860337062
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;```json [222, 328, 284, 388] ```;[222, 328, 284, 388];[181, 205, 309.34000000000003, 332];0.012543510301357832
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;```json [70, 120, 200, 160] ```;[70, 120, 200, 160];[118, 115, 313.33000000000004, 281];0.09550214035437116
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;```json [327, 246, 500, 320] ```;[327, 246, 500, 320];[437, 289, 626, 491];0.03983519285291778
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;```json [90, 190, 310, 360] ```;[90, 190, 310, 360];[169, 469, 559, 739.8399999999999];0.0
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;```json [170, 350, 800, 420] ```;[170, 350, 800, 420];[184, 631, 1170, 722];0.0
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;```json [433, 106, 478, 210] ```;[433, 106, 478, 210];[500, 62, 588.89, 299.78];0.0
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;```json [50, 100, 190, 190] ```;[50, 100, 190, 190];[93, 33, 125.82, 68.16];0.0
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;```json [180, 160, 320, 220] ```;[180, 160, 320, 220];[306, 403, 691, 700];0.0
