img_id;img_path;text_output;pred_bbox;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[180,65,260,110];[180, 65, 260, 110];[213, 39, 254.85, 109];0.39278172393933564
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[260, 420, 350, 580];[260, 420, 350, 580];[249, 283, 317.33, 302.17];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;{bbox: [290, 300, 350, 420]};[290, 300, 350, 420];[410, 213, 425.45, 241.18];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[90, 35, 180, 75];[90, 35, 180, 75];[123, 120, 221, 138];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[300, 140, 420, 240];[300, 140, 420, 240];[311, 237, 333.86, 249.14];0.005617195084349829
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[250,300,620,700];[250, 300, 620, 700];[329, 340, 592.12, 591.25];0.4466817567567567
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[820,180,960,320];[820, 180, 960, 320];[543, 184, 609.4300000000001, 214];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[400,100,600,260];[400, 100, 600, 260];[364, 76, 419.89, 147.76];0.027094320938075404
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[530, 440, 630, 560];[530, 440, 630, 560];[511, 600, 549, 694];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[780, 670, 900, 840];[780, 670, 900, 840];[864, 774, 1064, 949];0.0448098974049487
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[280, 220, 420, 320];[280, 220, 420, 320];[271, 107, 426.83000000000004, 308.66999999999996];0.3760340485748033
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[345, 190, 395, 260];[345, 190, 395, 260];[331, 162, 343.19, 197.94];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[24,30,44,50];[24, 30, 44, 50];[114, 78, 125.62, 84.49];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;{bbox: [480, 600, 620, 900]};[480, 600, 620, 900];[532, 695, 686, 1092];0.21199088110178851
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[520, 350, 620, 460];[520, 350, 620, 460];[524, 279, 635.88, 334.63];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[345,180,390,240];[345, 180, 390, 240];[317, 245, 335.85, 270.38];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[70, 75, 110, 115];[70, 75, 110, 115];[79, 71, 92.97, 81.73];0.056778329347537286
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[280, 340, 340, 410];[280, 340, 340, 410];[283, 270, 316.89, 315];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[270, 135, 290, 165];[270, 135, 290, 165];[227, 114, 252, 136.63];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[560, 390, 620, 445];[560, 390, 620, 445];[530, 359, 561.88, 405.25];0.006041156564358215
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;{bbox:[410,390,480,480]};[410, 390, 480, 480];[589, 691, 610, 776];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;{bbox: [120, 260, 300, 360]};[120, 260, 300, 360];[192, 182, 330.13, 259.82];0.0
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[180, 90, 395, 195];[180, 90, 395, 195];[176, 162, 360.7, 256.40999999999997];0.17513070043733775
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[200, 230, 300, 340];[200, 230, 300, 340];[181, 205, 309.34000000000003, 332];0.5965198331148042
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[140, 160, 260, 240];[140, 160, 260, 240];[118, 115, 313.33000000000004, 281];0.2960698576829202
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;{x_min:500,y_min:300,x_max:800,y_max:520};;[437, 289, 626, 491];No predicted bbox found.
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;{bbox: [140, 380, 450, 660]};[140, 380, 450, 660];[169, 469, 559, 739.8399999999999];0.3867996189010109
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;{bbox: [200, 370, 700, 470]};[200, 370, 700, 470];[184, 631, 1170, 722];0.0
