img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[162.16372680664062, 34.22189712524414, 270.66455078125, 121.79500579833984];grip;[213, 116, 254.85, 186];0.019897144648233493
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[373.53375244140625, 75.85134887695312, 529.25537109375, 165.37745666503906];lever;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[134.66184997558594, 31.352590560913086, 283.0812072753906, 114.98285675048828];lever;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[2.432249069213867, 125.0105972290039, 100.77346801757812, 145.8032989501953];grip;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[2.68890643119812, 204.2764129638672, 252.65216064453125, 269.5318603515625];lever;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[105.67950439453125, 40.05313491821289, 670.5735473632812, 669.5413208007812];grip;[329, 158.75, 592.12, 410];0.18591111355904388
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[739.4522705078125, 420.8832702636719, 993.1585083007812, 518.7523803710938];lever;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[301.1303405761719, 41.4672737121582, 489.0709533691406, 180.27392578125];grip;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[109.47509765625, 74.798583984375, 525.6095581054688, 783.31884765625];lever;[511, 506, 549, 600];0.004623302797591201
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[811.4712524414062, 725.8939208984375, 1081.0723876953125, 972.595947265625];grip;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[267.3891906738281, 102.29837799072266, 450.9398498535156, 310.1884460449219];grip;[271, 223.33000000000004, 426.83000000000004, 425];0.24148592397263538
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[425.2943115234375, 49.05517578125, 568.651611328125, 104.72574615478516];lever;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[42.107791900634766, 37.99638748168945, 174.67129516601562, 141.2427215576172];lever;[114, 82.51, 125.62, 89];0.005510007777500658
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[526.9957275390625, 627.0014038085938, 693.7844848632812, 1131.1534423828125];grip;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[18.399194717407227, 188.16143798828125, 260.7808532714844, 547.9239501953125];lever;[524, 379.37, 635.88, 435];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[47.248470306396484, 92.60786437988281, 285.9937744140625, 226.58920288085938];lever;[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[36.75905990600586, 35.499813079833984, 43.88654708862305, 74.30970764160156];lever;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[35.79241180419922, 51.81295394897461, 674.7433471679688, 290.50860595703125];lever;[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[149.35340881347656, 34.034202575683594, 427.55377197265625, 316.1703186035156];lever;[227, 183.37, 252, 206];0.007207890604131222
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[578.95556640625, 261.3690185546875, 800.4801025390625, 394.6001892089844];lever;[530, 314.75, 561.88, 361];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[633.3020629882812, 940.8117065429688, 781.6398315429688, 1000.079345703125];lever;[589, 424, 610, 509];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[41.97972869873047, 138.2324676513672, 427.1964111328125, 301.1080627441406];grip;[192, 89.18, 330.13, 167];0.05716013776993873
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[174.0672607421875, 162.91648864746094, 393.3548889160156, 259.3348083496094];grip;[176, 111.59000000000003, 360.7, 206];0.25985156105248797
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[180.5596466064453, 209.86013793945312, 280.3200378417969, 294.41827392578125];grip;[181, 68, 309.34000000000003, 195];0.0
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[19.266414642333984, 283.2706298828125, 113.29595184326172, 375.59307861328125];grip;[118, 119, 313.33000000000004, 285];0.0
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[208.23036193847656, 66.67993927001953, 389.94097900390625, 239.0125732421875];grip;[437, 105, 626, 307];0.0
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[110.76458740234375, 395.2542419433594, 642.723876953125, 796.2037963867188];grip;[169, 252.16000000000008, 559, 523];0.18514181080289324
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[26.46617889404297, 526.8430786132812, 1170.181884765625, 748.78564453125];grip;[184, 478, 1170, 569];0.13763885606112428
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[490.9674072265625, 44.20343780517578, 591.8468627929688, 314.0875244140625];grip;[500, 420.22, 588.89, 658];0.0
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[83.23072814941406, 23.36176300048828, 143.3845672607422, 88.64507293701172];grip;[93, 99.84, 125.82, 135];0.0
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[64.2158203125, 697.9193725585938, 316.0498046875, 885.035400390625];grip;[306, 500, 691, 797];0.006205097879757793
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[85.64232635498047, 278.3113098144531, 1120.65869140625, 931.9846801757812];lever;[678, 554, 742, 580];0.0024594914234714865
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[132.6334686279297, 56.7650146484375, 192.1885986328125, 370.5838317871094];grip;[129, 244, 195, 558];0.23651020987140647
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[785.15869140625, 170.81402587890625, 2088.415283203125, 1066.992919921875];grip;[805, 2696.5, 1862.5, 3069];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[115.10272979736328, 0.1791820228099823, 190.13510131835938, 54.987796783447266];lever;[110, 70.9, 137.34, 97];0.0
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;[126.64740753173828, 146.65879821777344, 258.1136169433594, 641.7269897460938];grip;[140, 559, 222, 856];0.08207129476707792
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;[642.3727416992188, 184.28732299804688, 755.6459350585938, 435.8771667480469];grip;[664, 414, 750.87, 664];0.039334639970416314
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;[1049.9361572265625, 878.882568359375, 2246.209228515625, 1436.4332275390625];grip;[1388, 1539, 2438, 1979];0.0
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;[161.34861755371094, 7.015064239501953, 683.0, 296.2018127441406];grip;[217, 894.34, 581.1700000000001, 986];0.0
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;[68.4977035522461, 144.93077087402344, 370.86834716796875, 367.0059509277344];lever;[276, 243, 313.33, 264];0.011674482470864543
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;[0.24807453155517578, 360.15618896484375, 186.9133758544922, 426.0478210449219];lever;[407, 489.34000000000003, 423.67, 551];0.0
