img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[60.402835845947266, 35.24106216430664, 272.2522277832031, 189.79176330566406];grasp;[213, 116, 254.85, 186];0.0894736801878407
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[101.96187591552734, 81.17401885986328, 532.9105224609375, 983.4556884765625];press;[249, 697.8299999999999, 317.33, 717];0.003368727470147677
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0.0, 14.407505989074707, 696.5574951171875, 558.0537109375];press;[410, 318.82, 425.45, 347];0.0011497307374687788
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[49.93181228637695, 32.94478225708008, 245.28936767578125, 137.52529907226562];grasp;[123, 65, 221, 83];0.08634110152722203
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0.0, 142.2458953857422, 437.4755859375, 320.98895263671875];press;[311, 136.86, 333.86, 149];0.0019714135333124597
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[35.973541259765625, 4.207491874694824, 665.0814208984375, 676.1207275390625];grasp;[329, 158.75, 592.12, 410];0.15639454826920718
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[8.641934394836426, 7.379132270812988, 1200.0, 900.0];press;[543, 686, 609.4300000000001, 716];0.0018740283744428092
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[113.87628173828125, 6.993409156799316, 503.326904296875, 292.5836486816406];grasp;[364, 212.24, 419.89, 284];0.03605958934268227
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[106.7392578125, 62.434959411621094, 1190.8045654296875, 1158.1414794921875];press;[511, 506, 549, 600];0.003007196158741918
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[146.6399383544922, 158.54022216796875, 1072.20263671875, 963.714111328125];grasp;[864, 251, 1064, 426];0.046964804410975725
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[283.3478698730469, 103.90135955810547, 800.0, 307.3027038574219];grasp;[271, 223.33000000000004, 426.83000000000004, 425];0.09680267163926676
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[187.6918487548828, 18.307600021362305, 578.8395385742188, 328.7472229003906];press;[331, 142.06, 343.19, 178];0.003607977841360013
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[42.107791900634766, 37.99638748168945, 174.67129516601562, 141.2427215576172];press;[114, 82.51, 125.62, 89];0.005510007777500658
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[490.4645080566406, 106.27416229248047, 696.5133056640625, 1129.964111328125];grasp;[532, 108, 686, 505];0.28984959895338874
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[15.641999244689941, 26.821170806884766, 1170.3143310546875, 581.5458984375];press;[524, 379.37, 635.88, 435];0.009716844051060672
