img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[60.75685501098633, 35.6914176940918, 270.80450439453125, 189.484130859375];bar;[213, 116, 254.85, 186];0.09068593141066307
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[118.4215087890625, 144.5773468017578, 415.9831237792969, 437.3044738769531];switch;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0.0, 157.81008911132812, 12.18222713470459, 192.33387756347656];switch;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[7.421282768249512, 114.78231048583984, 228.66024780273438, 148.1206817626953];bar;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0.0, 101.54920196533203, 677.82666015625, 324.0754699707031];switch;[311, 136.86, 333.86, 149];0.0018399032305114625
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[38.777164459228516, 5.449846267700195, 669.573486328125, 674.939697265625];bar;[329, 158.75, 592.12, 410];0.15654052311800884
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[236.75033569335938, 3.4597814083099365, 1087.140625, 750.3753051757812];switch;[543, 686, 609.4300000000001, 716];0.003137586654116566
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[301.1303405761719, 41.4672737121582, 489.0709533691406, 180.27392578125];bar;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[312.5517272949219, 458.5216979980469, 429.3984069824219, 564.9657592773438];switch;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[811.4712524414062, 725.8939208984375, 1081.0723876953125, 972.595947265625];bar;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[458.8781433105469, 57.0924072265625, 492.8802490234375, 133.73678588867188];bar;[271, 223.33000000000004, 426.83000000000004, 425];0.0
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[187.6918487548828, 18.307600021362305, 578.8395385742188, 328.7472229003906];switch;[331, 142.06, 343.19, 178];0.003607977841360013
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[210.7072296142578, 3.536381483078003, 222.2779541015625, 12.625788688659668];switch;[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[526.9957275390625, 627.0014038085938, 693.7844848632812, 1131.1534423828125];bar;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[15.641999244689941, 26.821170806884766, 1170.3143310546875, 581.5458984375];switch;[524, 379.37, 635.88, 435];0.009716844051060672
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[40.48719787597656, 19.653011322021484, 497.2447204589844, 464.3054504394531];switch;[317, 209.62, 335.85, 235];0.0023555730917574538
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[38.877105712890625, 35.295841217041016, 57.858856201171875, 75.5782241821289];switch;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[26.99859046936035, 53.76677322387695, 676.9542846679688, 650.9092407226562];switch;[283, 395, 316.89, 440];0.003929364989819264
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[34.609466552734375, 3.495473861694336, 434.50537109375, 320.0];switch;[227, 183.37, 252, 206];0.004469898702905354
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[279.1775817871094, 44.173213958740234, 1099.9139404296875, 621.477783203125];switch;[530, 314.75, 561.88, 361];0.003111869541516301
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[1167.71923828125, 178.14039611816406, 1199.2498779296875, 350.1249084472656];switch;[589, 424, 610, 509];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[2.3634493350982666, 0.0, 456.61566162109375, 194.27784729003906];bar;[192, 89.18, 330.13, 167];0.12180325789515012
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[4.334580898284912, 103.48870086669922, 391.27508544921875, 263.2708435058594];bar;[176, 111.59000000000003, 360.7, 206];0.282041138310854
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[148.84814453125, 176.90943908691406, 312.5439147949219, 333.0615539550781];bar;[181, 68, 309.34000000000003, 195];0.05872049732198717
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[12.567305564880371, 40.897010803222656, 382.4783935546875, 379.66015625];bar;[118, 119, 313.33000000000004, 285];0.25875189081150013
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[208.23036193847656, 66.67993927001953, 389.94097900390625, 239.0125732421875];bar;[437, 105, 626, 307];0.0
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[542.0430908203125, 93.48880767822266, 1203.3494873046875, 508.95477294921875];bar;[169, 252.16000000000008, 559, 523];0.011580250083195359
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[26.46617889404297, 526.8430786132812, 1170.181884765625, 748.78564453125];bar;[184, 478, 1170, 569];0.13763885606112428
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[484.7692565917969, 31.940067291259766, 599.8988037109375, 441.8697814941406];bar;[500, 420.22, 588.89, 658];0.028979682670299114
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[83.23072814941406, 23.36176300048828, 143.3845672607422, 88.64507293701172];bar;[93, 99.84, 125.82, 135];0.0
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[65.05654907226562, 330.59674072265625, 783.3244018554688, 892.9013671875];bar;[306, 500, 691, 797];0.28311253125781394
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[85.64232635498047, 278.3113098144531, 1120.65869140625, 931.9846801757812];switch;[678, 554, 742, 580];0.0024594914234714865
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[145.59300231933594, 376.662841796875, 174.837890625, 509.65765380859375];bar;[129, 244, 195, 558];0.18767701324626057
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[785.15869140625, 170.81402587890625, 2088.415283203125, 1066.992919921875];bar;[805, 2696.5, 1862.5, 3069];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[55.752593994140625, 1.2609260082244873, 199.68301391601562, 177.6640625];switch;[110, 70.9, 137.34, 97];0.028104775620682396
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;[103.78782653808594, 141.96209716796875, 267.74212646484375, 1073.646728515625];bar;[140, 559, 222, 856];0.15943312511069763
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;[117.69998168945312, 33.49360656738281, 775.494384765625, 742.478515625];bar;[664, 414, 750.87, 664];0.04656747231764758
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;[265.3500061035156, 826.0006103515625, 2761.747314453125, 1543.6170654296875];bar;[1388, 1539, 2438, 1979];0.0021559644835222997
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;[161.34861755371094, 7.015064239501953, 683.0, 296.2018127441406];bar;[217, 894.34, 581.1700000000001, 986];0.0
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;[62.84395217895508, 23.15316390991211, 536.5859375, 371.8519592285156];switch;[276, 243, 313.33, 264];0.004745532608442722
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;[3.9657652378082275, 29.256977081298828, 934.4866333007812, 646.8654174804688];switch;[407, 489.34000000000003, 423.67, 551];0.0017885446251849394
41;data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg;[273.4836730957031, 668.9685668945312, 312.50909423828125, 704.9246215820312];switch;[290, 543, 424.15999999999997, 593];0.0
42;data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg;[352.2997131347656, 47.14595031738281, 392.9564208984375, 289.8667907714844];bar;[341, 207.87, 381.63, 421];0.14916778756186477
43;data/roboflow/hammer_5_jpg.rf.111cf96c55a3c37f56afe7dc3f6224ee.jpg;[138.49729919433594, 140.40711975097656, 604.0501098632812, 456.6737365722656];bar;[308, 115, 411, 594];0.19863043806853234
44;data/roboflow/saw_16_jpg.rf.08cb5bb3f895e6ddf476231d93cc87fc.jpg;[0.39187073707580566, 0.0, 898.349365234375, 724.6443481445312];switch;[430, 902, 483, 970];0.0
45;data/roboflow/hammer_3_jpg.rf.d5d45780df9c29adadeb71cb01ef8fff.jpg;[416.8966064453125, 253.0429229736328, 512.56640625, 981.1851196289062];bar;[432, 233, 518, 700];0.48784746673867385
46;data/roboflow/allen_15_jpg.rf.84eacc06d0a77038d94e690f48ed9b39.jpg;[3.168344497680664, 397.17523193359375, 996.5808715820312, 617.6421508789062];bar;[143, 380.83000000000004, 855.5, 450];0.1631732988915408
47;data/roboflow/drill_11_jpg.rf.2af05b31d23bbe92e005ce105e1800f0.jpg;[255.12664794921875, 114.71614074707031, 1155.763916015625, 884.8978881835938];switch;[679, 389.14, 708.28, 467];0.0032865658309703116
48;data/roboflow/allen_13_jpg.rf.a0f01b6dde96397f10899cc21473aa0e.jpg;[67.31684875488281, 73.81511688232422, 125.00254821777344, 127.22106170654297];bar;[33, 186.25, 119.25, 268];0.0
49;data/roboflow/glue_2_jpg.rf.8a15037652e0c691b02a6e546d5a1bbf.jpg;[2.5391345024108887, 0.0, 486.20086669921875, 695.6875610351562];switch;[138, 617.83, 180.5, 767];0.009746292008666044
50;data/roboflow/wrench_11_jpg.rf.89e651e4fa1e825d7ca9187a175200b6.jpg;[33.77053451538086, 37.39918899536133, 122.5770034790039, 124.04192352294922];bar;[50, 130.93, 117.96, 170];0.0
51;data/roboflow/wacker_16_jpg.rf.2147f7f6bf8bb1e498199e5d7b08b40a.jpg;[162.0821533203125, 438.48504638671875, 323.6852111816406, 590.43359375];switch;[935, 788.75, 986.25, 835];0.0
52;data/roboflow/wacker_15_jpg.rf.749dc2f49bd5654fdbe3747de8cf48bb.jpg;[517.9864501953125, 263.116455078125, 544.8115234375, 287.918701171875];switch;[357, 217.57, 377.71, 229];0.0
53;data/roboflow/glue_6_jpg.rf.619ad5b67a361a53be56c8fbfdfc7b12.jpg;[36.811729431152344, 11.735422134399414, 194.01600646972656, 217.6864013671875];switch;[104, 139.74, 116.96000000000001, 159];0.007709621647737096
54;data/roboflow/saw_19_jpg.rf.8f47d8dbf342a941d9de7a54cd7d4ef8.jpg;[102.40673065185547, 155.14230346679688, 181.54925537109375, 220.66604614257812];switch;[244, 328.69, 267.12, 334];0.0
55;data/roboflow/drill_6_jpg.rf.3f895b36079933bf8e2e59fbbb0bcc0a.jpg;[793.4495239257812, 237.46087646484375, 1099.9339599609375, 406.03704833984375];switch;[646, 386.85, 661, 459];0.0
56;data/roboflow/hammer_4_jpg.rf.be49520bcdc487c23b0f5cdfc8555d03.jpg;[4.786750793457031, 71.78763580322266, 220.01708984375, 149.6514434814453];bar;[112, 95.97, 218.48000000000002, 118];0.13997272324533
57;data/roboflow/allen_6_jpg.rf.e32dab49b55efbfb4ef83c50b633003f.jpg;[174.20594787597656, 137.41326904296875, 202.00845336914062, 411.33282470703125];bar;[102, 336.23, 284.31, 412];0.10795830903503845
58;data/roboflow/nail_1_jpg.rf.ca3b1c00b4cee0fd6983ddacc4edd612.jpg;[0.8026562929153442, 363.9575500488281, 86.90679931640625, 423.570556640625];switch;[335, 254, 364.5, 287];0.0
59;data/roboflow/screwdriver_6_jpg.rf.e8fbf1ef6ec0bca566d011cc989bcbc9.jpg;[28.6697940826416, 72.8758773803711, 395.0726013183594, 379.5282897949219];bar;[545, 148, 898.5699999999999, 448];0.0
60;data/roboflow/saw_10_jpg.rf.369ecf7a1cbcd7bee2dd4631e4e7cd77.jpg;[167.9495849609375, 65.79679870605469, 931.6390991210938, 553.1920166015625];switch;[784, 501, 804.62, 541];0.0022159020585704597
61;data/roboflow/solder_18_jpg.rf.f3ae27d2c6d71f6cdae4c97a5da3103e.jpg;[0.0, 23.609172821044922, 214.19442749023438, 208.38511657714844];bar;[44, 96.44, 115.48, 152];0.10034441000235322
62;data/roboflow/wrench_4_jpg.rf.1bc53859ca2ff1f67ea1c393537bae51.jpg;[90.5806655883789, 42.534202575683594, 1094.6802978515625, 854.0565795898438];bar;[597, 138.43000000000006, 914.86, 497];0.13987255969408632
63;data/roboflow/wacker_3_jpg.rf.43e9ae0cfc9d836d36e66e0220e97f1f.jpg;[0.0, 138.11196899414062, 715.6148071289062, 686.3977661132812];switch;[217, 424.66999999999996, 252.82999999999998, 438];0.0012172804395325614
64;data/roboflow/allen_3_jpg.rf.f452a3b83561eb67c6141ea368168648.jpg;[87.02826690673828, 152.84913635253906, 723.748046875, 444.4521789550781];bar;[142, 176.5, 555.5, 430];0.5645638743698066
65;data/roboflow/wacker_5_jpg.rf.534ac3f6e093b02ebc610cf9b31141c3.jpg;[852.1242065429688, 531.1620483398438, 1198.0858154296875, 627.0479736328125];switch;[898, 603, 937, 618];0.01763490378179727
66;data/roboflow/screwdriver_7_jpg.rf.fef662b242509997a0395209c9f8f941.jpg;[169.72608947753906, 13.080048561096191, 207.97288513183594, 95.52400207519531];bar;[173, 331.67, 204.34, 383];0.0
67;data/roboflow/hammer_10_jpg.rf.295b81df7c4e3044a1fa86ecb6959009.jpg;[98.69017791748047, 360.9380187988281, 998.4790649414062, 707.2844848632812];bar;[523, 484.66999999999996, 976.3399999999999, 568];0.12121993209293112
68;data/roboflow/wrench_10_jpg.rf.dc0edb1bb8d02dc9c1059b588df7d8f0.jpg;[312.7883605957031, 545.1593627929688, 401.8997802734375, 618.2891235351562];bar;[913, 740, 1244, 980];0.0
69;data/roboflow/hammer_18_jpg.rf.dfe188c41f795463dbcc7babd994c330.jpg;[135.11183166503906, 86.6874008178711, 152.17364501953125, 186.14712524414062];bar;[127, 16.33000000000004, 168.32999999999998, 205];0.2176226946900284
70;data/roboflow/screwdriver_5_jpg.rf.575f3ba9ba3035af307fe1c80d0066f1.jpg;[1308.54638671875, 1242.246826171875, 2367.150390625, 1699.25732421875];bar;[1590, 609.5, 2378.75, 932];0.0
