img_id;img_path;text_output;pred_bbox;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;```json [166,526,568,886] ```;[166.0, 526.0, 568.0, 886.0];[39, 213, 109, 254.85];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;```json [264,312,309,384] ```;[264.0, 312.0, 309.0, 384.0];[283, 249, 302.17, 317.33];0.02297274327687726
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;```json [317,640,402,711] ```;[317.0, 640.0, 402.0, 711.0];[213, 410, 241.18, 425.45];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;```json [582,375,703,890] ```;[582.0, 375.0, 703.0, 890.0];[120, 123, 138, 221];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;```json [477,467,536,536] ```;[477.0, 467.0, 536.0, 536.0];[237, 311, 249.14, 333.86];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;```json [761,778,869,888] ```;[761.0, 778.0, 869.0, 888.0];[340, 329, 591.25, 592.12];0.0
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;```json [104, 430, 154, 511] ```;[104.0, 430.0, 154.0, 511.0];[184, 543, 214, 609.4300000000001];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;```json [115,558,502,902] ```;[115.0, 558.0, 502.0, 902.0];[76, 364, 147.76, 419.89];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;```json [459,437,518,490] ```;[459.0, 437.0, 518.0, 490.0];[600, 511, 694, 549];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;```json [618,686,796,896] ```;[618.0, 686.0, 796.0, 896.0];[774, 864, 949, 1064];0.009821976672805401
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;```json [210,342,502,566] ```;[210.0, 342.0, 502.0, 566.0];[107, 271, 308.66999999999996, 426.83000000000004];0.09461668501310024
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;```json [580,646,669,725] ```;[580.0, 646.0, 669.0, 725.0];[162, 331, 197.94, 343.19];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;```json [395, 497, 460, 560] ```;[395.0, 497.0, 460.0, 560.0];[78, 114, 84.49, 125.62];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;```json [541,439,941,580] ```;[541.0, 439.0, 941.0, 580.0];[695, 532, 1092, 686];0.11168069611274
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;```json [199,416,283,516] ```;[199.0, 416.0, 283.0, 516.0];[279, 524, 334.63, 635.88];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;```json [496,566,566,642] ```;[496.0, 566.0, 566.0, 642.0];[245, 317, 270.38, 335.85];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;```json [196,339,252,407] ```;[196.0, 339.0, 252.0, 407.0];[71, 79, 81.73, 92.97];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;```json [362,360,419,424] ```;[362.0, 360.0, 419.0, 424.0];[270, 283, 315, 316.89];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;```json [338,480,413,541] ```;[338.0, 480.0, 413.0, 541.0];[114, 227, 136.63, 252];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;```json [403,463,463,521] ```;[403.0, 463.0, 463.0, 521.0];[359, 530, 405.25, 561.88];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;```json [210,296,291,418] ```;[210.0, 296.0, 291.0, 418.0];[691, 589, 776, 610];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;```json [417, 67, 872, 656] ```;[417.0, 67.0, 872.0, 656.0];[182, 192, 259.82, 330.13];0.0
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;```json [436,417,690,970] ```;[436.0, 417.0, 690.0, 970.0];[162, 176, 256.40999999999997, 360.7];0.0
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;```json [436, 350, 806, 798] ```;[436.0, 350.0, 806.0, 798.0];[205, 181, 332, 309.34000000000003];0.0
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;```json [686, 36, 941, 281] ```;[686.0, 36.0, 941.0, 281.0];[115, 118, 281, 313.33000000000004];0.0
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;```json [480,470,829,706] ```;[480.0, 470.0, 829.0, 706.0];[289, 437, 491, 626];0.014441283894097252
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;```json [476, 108, 788, 469] ```;[476.0, 108.0, 788.0, 469.0];[469, 169, 739.8399999999999, 559];0.5689983868602432
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;```json [430, 20, 629, 982] ```;[430.0, 20.0, 629.0, 982.0];[631, 184, 722, 1170];0.0
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;```json [102, 457, 485, 542] ```;[102.0, 457.0, 485.0, 542.0];[62, 500, 299.78, 588.89];0.1830307534790696
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;```json [151,272,397,468] ```;[151.0, 272.0, 397.0, 468.0];[33, 93, 68.16, 125.82];0.0
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;```json [276,483,512,863] ```;[276.0, 483.0, 512.0, 863.0];[403, 306, 700, 691];0.12501585306005414
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;```json [389,586,433,652] ```;[389.0, 586.0, 433.0, 652.0];[620, 678, 646, 742];0.0
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;```json [86, 412, 602, 579] ```;[86.0, 412.0, 602.0, 579.0];[54, 129, 368, 195];0.0
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;```json [56, 326, 341, 760] ```;[56.0, 326.0, 341.0, 760.0];[195, 805, 567.5, 1862.5];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;```json [276,479,340,549] ```;[276.0, 479.0, 340.0, 549.0];[97, 110, 123.1, 137.34];0.0
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;```json [143,239,581,500] ```;[143.0, 239.0, 581.0, 500.0];[282, 140, 579, 222];0.0
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;```json [102,630,510,743] ```;[102.0, 630.0, 510.0, 743.0];[104, 664, 354, 750.87];0.4108463434675431
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;```json [300, 345, 446, 797] ```;[300.0, 345.0, 446.0, 797.0];[1045, 1388, 1485, 2438];0.0
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;```json [14, 312, 289, 829] ```;[14.0, 312.0, 289.0, 829.0];[14, 217, 105.66, 581.1700000000001];0.16351856243293636
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;```json [190,269,302,362] ```;[190.0, 269.0, 302.0, 362.0];[141, 276, 162, 313.33];0.0
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;```json [76,368,142,439] ```;[76.0, 368.0, 142.0, 439.0];[116, 407, 177.66, 423.67];0.08208009154973514
