img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[61.222354888916016, 35.40992736816406, 267.5032958984375, 188.64259338378906];[['grip on the screwdriver']];[213, 116, 254.85, 186];0.09267936312387184
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[392.6994934082031, 85.440185546875, 522.7237548828125, 161.39222717285156];[['lever on the glue gun tool']];[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[84.0407943725586, 20.9821720123291, 508.35565185546875, 536.1969604492188];[['lever on the circular saw']];[410, 318.82, 425.45, 347];0.001991557791105233
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[8.987547874450684, 113.78721618652344, 227.12156677246094, 153.28636169433594];[['grip on the solder iron tool']];[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[246.6006622314453, 180.34393310546875, 453.0048522949219, 251.44459533691406];[['lever on the weed wacker']];[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[326.2466735839844, 157.96636962890625, 455.5970764160156, 284.3455810546875];[['grip on the wrench tool']];[329, 158.75, 592.12, 410];0.23889682371907223
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[252.25563049316406, 371.57269287109375, 1067.3133544921875, 797.7073974609375];[['lever on the circular saw']];[543, 686, 609.4300000000001, 716];0.005737863797524514
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[298.4858703613281, 42.723976135253906, 485.1399230957031, 187.56051635742188];[['grip on the solder iron tool']];[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[319.0323181152344, 463.8503723144531, 441.182373046875, 578.1650390625];[['lever on the circular saw']];[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[819.9944458007812, 730.809814453125, 1086.585205078125, 971.5264282226562];[['grip on the screwdriver']];[864, 251, 1064, 426];0.0
