img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[54.205352783203125, 32.65441131591797, 269.76861572265625, 191.72145080566406];[['place for hand to wrap around on the screwdriver']];[213, 116, 254.85, 186];0.08543553736312552
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[393.06884765625, 85.18391418457031, 523.2587280273438, 162.08778381347656];[['place to press with index finger pad on the glue gun tool']];[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[85.48928833007812, 19.821714401245117, 508.1339111328125, 536.346435546875];[['place to press with index finger pad on the circular saw']];[410, 318.82, 425.45, 347];0.0019943575090025263
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[58.47816848754883, 30.17334747314453, 243.15084838867188, 137.59774780273438];[['place for hand to wrap around on the solder iron tool']];[123, 65, 221, 83];0.08891867677717732
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[40.36778259277344, 135.68592834472656, 107.94955444335938, 319.6200256347656];[['place to press with index finger pad on the weed wacker']];[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[322.7185974121094, 158.8013916015625, 455.80615234375, 283.8847351074219];[['place for hand to wrap around on the wrench tool']];[329, 158.75, 592.12, 410];0.2371093898145088
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[242.42030334472656, 477.5838928222656, 1066.75146484375, 797.2994384765625];[['place to press with index finger pad on the circular saw']];[543, 686, 609.4300000000001, 716];0.007561710320591623
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[107.30826568603516, 85.787109375, 221.1280517578125, 199.9958038330078];[['place for hand to wrap around on the solder iron tool']];[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[107.15849304199219, 71.37024688720703, 515.8688354492188, 758.8740234375];[['place to press with index finger pad on the circular saw']];[511, 506, 549, 600];0.001610924718610851
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[144.4607696533203, 106.86360931396484, 1085.00146484375, 970.0474243164062];[['place for hand to wrap around on the screwdriver']];[864, 251, 1064, 426];0.043110907448268086
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[269.1476745605469, 105.38666534423828, 442.88983154296875, 311.27935791015625];[['place for hand to wrap around on the allen wrench tool']];[271, 223.33000000000004, 426.83000000000004, 425];0.2562029492638524
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[433.367919921875, 61.5533447265625, 564.5895385742188, 103.36466979980469];[['place to press with index finger pad on the glue gun tool']];[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[40.625396728515625, 76.63634490966797, 137.37857055664062, 142.0717010498047];[['place to press with index finger pad on the drill tool']];[114, 82.51, 125.62, 89];0.011911683190225621
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[502.94464111328125, 110.05742645263672, 700.4125366210938, 1140.827392578125];[['place for hand to wrap around on the screwdriver']];[532, 108, 686, 505];0.2983464720417801
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[1067.36083984375, 481.3693542480469, 1177.3919677734375, 576.6455078125];[['place to press with index finger pad on the drill tool']];[524, 379.37, 635.88, 435];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[40.19316482543945, 152.7076416015625, 147.11862182617188, 238.57168579101562];[['place to press with index finger pad on the nail gun']];[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[38.79000473022461, 34.42417526245117, 58.516632080078125, 75.43538665771484];[['place to press with index finger pad on the glue gun tool']];[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[143.31396484375, 126.36415100097656, 304.5877990722656, 216.08880615234375];[['place to press with index finger pad on the drill tool']];[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[143.4864959716797, 231.83673095703125, 253.15516662597656, 318.95953369140625];[['place to press with index finger pad on the nail gun']];[227, 183.37, 252, 206];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[344.4769287109375, 348.2720947265625, 1103.0662841796875, 610.8512573242188];[['place to press with index finger pad on the nail gun']];[530, 314.75, 561.88, 361];0.0020262098110500042
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[279.6957702636719, 877.720947265625, 607.6588745117188, 1026.805419921875];[['place to press with index finger pad on the nail gun']];[589, 424, 610, 509];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[1.5759038925170898, 140.88217163085938, 409.47760009765625, 304.1119079589844];[['place for hand to wrap around on the solder iron tool']];[192, 89.18, 330.13, 167];0.04893507583155785
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[169.034423828125, 161.58367919921875, 391.7015075683594, 259.6465148925781];[['place for hand to wrap around on the wrench tool']];[176, 111.59000000000003, 360.7, 206];0.26404590167900743
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[44.070987701416016, 83.9870834350586, 331.0104675292969, 345.6639709472656];[['place for hand to wrap around on the screwdriver']];[181, 68, 309.34000000000003, 195];0.18470200428524142
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[1.4291954040527344, 43.00457000732422, 388.3493347167969, 387.0784606933594];[['place for hand to wrap around on the wrench tool']];[118, 119, 313.33000000000004, 285];0.24355888896262892
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[208.61436462402344, 69.15067291259766, 659.9703979492188, 516.4736938476562];[['place for hand to wrap around on the hammer']];[437, 105, 626, 307];0.18909178970013946
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[93.64447784423828, 93.57801818847656, 1193.92724609375, 801.6676635742188];[['place for hand to wrap around on the screwdriver']];[169, 252.16000000000008, 559, 523];0.13557663704338596
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[25.264461517333984, 508.3677062988281, 1190.294921875, 753.8853149414062];[['place for hand to wrap around on the allen wrench tool']];[184, 478, 1170, 569];0.18920124797855736
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[495.480224609375, 37.25840759277344, 589.4241333007812, 357.90667724609375];[['place for hand to wrap around on the screwdriver']];[500, 420.22, 588.89, 658];0.0
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[80.6339111328125, 20.928674697875977, 203.9196014404297, 158.88209533691406];[['place for hand to wrap around on the screwdriver']];[93, 99.84, 125.82, 135];0.06784881989960682
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[59.35744857788086, 329.3241271972656, 779.3099975585938, 885.6754760742188];[['place for hand to wrap around on the wrench tool']];[306, 500, 691, 797];0.28547242209468465
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[72.15888977050781, 267.59210205078125, 1121.7496337890625, 922.176513671875];[['place to press with index finger pad on the circular saw']];[678, 554, 742, 580];0.002421963930566298
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[50.22956848144531, 47.500770568847656, 256.7467956542969, 578.0916748046875];[['place for hand to wrap around on the hammer']];[129, 244, 195, 558];0.18912872621092008
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[792.725341796875, 182.67626953125, 2117.150390625, 3113.530029296875];[['place for hand to wrap around on the allen wrench tool']];[805, 2696.5, 1862.5, 3069];0.10148108878519474
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[145.54730224609375, 65.0069351196289, 163.48451232910156, 77.7408218383789];[['place to press with index finger pad on the glue gun tool']];[110, 70.9, 137.34, 97];0.0
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;[110.11753845214844, 148.5635223388672, 267.4317932128906, 1065.6690673828125];[['place for hand to wrap around on the solder iron tool']];[140, 559, 222, 856];0.16880406671264173
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;[312.3464050292969, 34.124755859375, 754.9644775390625, 731.5372924804688];[['place for hand to wrap around on the solder iron tool']];[664, 414, 750.87, 664];0.07035434719184942
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;[960.4661865234375, 1855.757568359375, 1992.4554443359375, 2655.148681640625];[['place for hand to wrap around on the solder iron tool']];[1388, 1539, 2438, 1979];0.0614404084129695
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;[501.7445068359375, 15.440768241882324, 679.866943359375, 125.25081634521484];[['place for hand to wrap around on the allen wrench tool']];[217, 894.34, 581.1700000000001, 986];0.0
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;[77.58196258544922, 139.2419891357422, 376.3180847167969, 362.3826904296875];[['place to press with index finger pad on the nail gun']];[276, 243, 313.33, 264];0.011760092882125697
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;[442.9317626953125, 477.53057861328125, 751.26904296875, 642.1167602539062];[['place to press with index finger pad on the circular saw']];[407, 489.34000000000003, 423.67, 551];0.0
41;data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg;[393.30340576171875, 239.9127655029297, 583.4535522460938, 545.605712890625];[['place to press with index finger pad on the glue gun tool']];[290, 543, 424.15999999999997, 593];0.0012416528845529242
42;data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg;[315.5076904296875, 290.340087890625, 413.55841064453125, 651.8638305664062];[['place for hand to wrap around on the solder iron tool']];[341, 207.87, 381.63, 421];0.13682804135969015
