img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[53.49652099609375, 91.78324127197266, 195.39381408691406, 192.77748107910156];[['grasp on the screwdriver']];[213, 116, 254.85, 186];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[115.27600860595703, 109.30838775634766, 462.12274169921875, 729.5167236328125];[['press on the glue gun tool']];[249, 697.8299999999999, 317.33, 717];0.006089173185831063
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[96.03112030029297, 24.034177780151367, 509.7342224121094, 493.18145751953125];[['press on the circular saw']];[410, 318.82, 425.45, 347];0.0022432180591723536
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[56.04104232788086, 30.071163177490234, 243.37391662597656, 107.58084106445312];[['grasp on the solder iron tool']];[123, 65, 221, 83];0.1214866767231843
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[39.65946960449219, 135.7763214111328, 666.2942504882812, 319.05584716796875];[['press on the weed wacker']];[311, 136.86, 333.86, 149];0.0024163868519116124
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[95.39510345458984, 38.28742599487305, 686.843017578125, 679.4662475585938];[['grasp on the wrench tool']];[329, 158.75, 592.12, 410];0.1743268398439167
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[237.14981079101562, 426.0204162597656, 1064.5675048828125, 800.5283813476562];[['press on the circular saw']];[543, 686, 609.4300000000001, 716];0.006431312971419226
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[118.6650619506836, 31.973684310913086, 493.9967346191406, 291.42877197265625];[['grasp on the solder iron tool']];[364, 212.24, 419.89, 284];0.041185006057218206
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[105.66180419921875, 59.28176498413086, 1120.336669921875, 1170.2650146484375];[['press on the circular saw']];[511, 506, 549, 600];0.0031686701772865294
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[130.62171936035156, 154.6710662841797, 1121.560546875, 983.8952026367188];[['grasp on the screwdriver']];[864, 251, 1064, 426];0.04259408214876837
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[268.7110595703125, 215.2976837158203, 348.2794189453125, 310.77874755859375];[['grasp on the allen wrench tool']];[271, 223.33000000000004, 426.83000000000004, 425];0.20944923698452406
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[223.796142578125, 18.801557540893555, 570.1473388671875, 338.9476318359375];[['press on the glue gun tool']];[331, 142.06, 343.19, 178];0.00395108984731634
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[42.0724983215332, 80.566162109375, 86.71817016601562, 141.4112091064453];[['press on the drill tool']];[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[487.0743713378906, 108.91936492919922, 697.8822631835938, 1146.40478515625];[['grasp on the screwdriver']];[532, 108, 686, 505];0.27871119478692663
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[0, 0, 0, 0];[['press on the drill tool']];[524, 379.37, 635.88, 435];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[49.552642822265625, 122.85777282714844, 355.9683837890625, 461.9915771484375];[['press on the nail gun']];[317, 209.62, 335.85, 235];0.004603846327145195
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[142.62435913085938, 153.0647430419922, 160.3300018310547, 179.89198303222656];[['press on the glue gun tool']];[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[53.59896469116211, 50.705833435058594, 436.7378234863281, 638.9461669921875];[['press on the drill tool']];[283, 395, 316.89, 440];0.006766640161598593
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[40.79457092285156, 4.903960227966309, 428.73486328125, 317.7068176269531];[['press on the nail gun']];[227, 183.37, 252, 206];0.004662179197847986
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[279.4084167480469, 359.78533935546875, 501.16485595703125, 620.457763671875];[['press on the nail gun']];[530, 314.75, 561.88, 361];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[436.3651428222656, 67.56204986572266, 1115.8345947265625, 959.4480590820312];[['press on the nail gun']];[589, 424, 610, 509];0.0029454993617301114
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[23.01201057434082, 116.10379028320312, 599.2691650390625, 311.3586730957031];[['grasp on the solder iron tool']];[192, 89.18, 330.13, 167];0.0604829232434797
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[118.56953430175781, 181.07174682617188, 162.98793029785156, 229.87875366210938];[['grasp on the wrench tool']];[176, 111.59000000000003, 360.7, 206];0.0
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[46.14217758178711, 85.48434448242188, 329.0752258300781, 349.61273193359375];[['grasp on the screwdriver']];[181, 68, 309.34000000000003, 195];0.18259582969688676
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[103.14103698730469, 40.453041076660156, 389.8772277832031, 301.7676696777344];[['grasp on the wrench tool']];[118, 119, 313.33000000000004, 285];0.432743749881078
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[210.2142791748047, 70.22035217285156, 657.9525756835938, 511.798828125];[['grasp on the hammer']];[437, 105, 626, 307];0.19309944911259197
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[609.25634765625, 95.9532699584961, 1198.41455078125, 466.90802001953125];[['grasp on the screwdriver']];[169, 252.16000000000008, 559, 523];0.0
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[79.93251037597656, 903.9964599609375, 135.6448211669922, 965.8119506835938];[['grasp on the allen wrench tool']];[184, 478, 1170, 569];0.0
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[484.39910888671875, 34.95060729980469, 602.4096069335938, 688.562744140625];[['grasp on the screwdriver']];[500, 420.22, 588.89, 658];0.27402329090201183
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[81.25850677490234, 19.50473403930664, 203.35214233398438, 160.47705078125];[['grasp on the screwdriver']];[93, 99.84, 125.82, 135];0.06704410233086397
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[58.32017517089844, 332.07073974609375, 779.4095458984375, 878.2373046875];[['grasp on the wrench tool']];[306, 500, 691, 797];0.29033739431648475
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[73.89260864257812, 234.68380737304688, 1165.317138671875, 924.6888427734375];[['press on the circular saw']];[678, 554, 742, 580];0.002209567897393056
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[129.90086364746094, 49.88426208496094, 196.16131591796875, 365.01165771484375];[['grasp on the hammer']];[129, 244, 195, 558];0.23357599617021696
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[803.3822631835938, 181.12303161621094, 2122.541015625, 1108.7598876953125];[['grasp on the allen wrench tool']];[805, 2696.5, 1862.5, 3069];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[125.7215347290039, 0.35437795519828796, 194.6591033935547, 56.82026672363281];[['press on the glue gun tool']];[110, 70.9, 137.34, 97];0.0
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;[112.90864562988281, 165.51043701171875, 266.84576416015625, 649.6627197265625];[['grasp on the solder iron tool']];[140, 559, 222, 856];0.08129526082633916
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;[111.46681213378906, 227.37744140625, 335.83404541015625, 375.6524353027344];[['grasp on the solder iron tool']];[664, 414, 750.87, 664];0.0
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;[923.1217041015625, 1442.1697998046875, 2938.574462890625, 2667.25390625];[['grasp on the solder iron tool']];[1388, 1539, 2438, 1979];0.1871127781487491
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;[216.85313415527344, 206.2223663330078, 313.24066162109375, 297.4134826660156];[['grasp on the allen wrench tool']];[217, 894.34, 581.1700000000001, 986];0.0
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;[59.950782775878906, 147.62673950195312, 374.5454406738281, 370.7020263671875];[['press on the nail gun']];[276, 243, 313.33, 264];0.011170548046525166
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;[25.59185028076172, 26.10567283630371, 938.2978515625, 648.2233276367188];[['press on the circular saw']];[407, 489.34000000000003, 423.67, 551];0.0018102380444781495
41;data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg;[160.0709686279297, 238.7618408203125, 610.9873046875, 783.4183349609375];[['press on the glue gun tool']];[290, 543, 424.15999999999997, 593];0.027313314045757476
42;data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg;[390.6170654296875, 525.3298950195312, 554.906005859375, 768.0628051757812];[['grasp on the solder iron tool']];[341, 207.87, 381.63, 421];0.0
43;data/roboflow/hammer_5_jpg.rf.111cf96c55a3c37f56afe7dc3f6224ee.jpg;[120.84882354736328, 141.48660278320312, 610.01708984375, 1247.602783203125];[['grasp on the hammer']];[308, 115, 411, 594];0.08570880233181259
44;data/roboflow/saw_16_jpg.rf.08cb5bb3f895e6ddf476231d93cc87fc.jpg;[602.7724609375, 597.99560546875, 830.7390747070312, 676.0328979492188];[['press on the circular saw']];[430, 902, 483, 970];0.0
45;data/roboflow/hammer_3_jpg.rf.d5d45780df9c29adadeb71cb01ef8fff.jpg;[419.8348388671875, 246.11175537109375, 516.3088989257812, 975.8439331054688];[['grasp on the hammer']];[432, 233, 518, 700];0.5293118789111989
46;data/roboflow/allen_15_jpg.rf.84eacc06d0a77038d94e690f48ed9b39.jpg;[0.2147078514099121, 387.3577575683594, 140.347412109375, 608.8195190429688];[['grasp on the allen wrench tool']];[143, 380.83000000000004, 855.5, 450];0.0
47;data/roboflow/drill_11_jpg.rf.2af05b31d23bbe92e005ce105e1800f0.jpg;[735.9014892578125, 138.8172149658203, 881.5121459960938, 381.88818359375];[['press on the drill tool']];[679, 389.14, 708.28, 467];0.0
48;data/roboflow/allen_13_jpg.rf.a0f01b6dde96397f10899cc21473aa0e.jpg;[4.435386657714844, 6.071376323699951, 149.9817352294922, 145.769775390625];[['grasp on the allen wrench tool']];[33, 186.25, 119.25, 268];0.0
49;data/roboflow/glue_2_jpg.rf.8a15037652e0c691b02a6e546d5a1bbf.jpg;[4.76585054397583, 1.8996715545654297, 492.17498779296875, 974.2068481445312];[['press on the glue gun tool']];[138, 617.83, 180.5, 767];0.013377447708872435
50;data/roboflow/wrench_11_jpg.rf.89e651e4fa1e825d7ca9187a175200b6.jpg;[99.61600494384766, 89.87570190429688, 194.29100036621094, 185.0221710205078];[['grasp on the wrench tool']];[50, 130.93, 117.96, 170];0.06547303863748581
51;data/roboflow/wacker_16_jpg.rf.2147f7f6bf8bb1e498199e5d7b08b40a.jpg;[132.6860809326172, 334.9336242675781, 330.3356018066406, 585.3435668945312];[['press on the weed wacker']];[935, 788.75, 986.25, 835];0.0
