img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[54.205352783203125, 32.65441131591797, 269.76861572265625, 191.72145080566406];grip on the screwdriver;[213, 116, 254.85, 186];0.08543553736312552
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[393.06884765625, 85.18391418457031, 523.2587280273438, 162.08778381347656];lever on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[282.7262268066406, 345.10009765625, 331.4349060058594, 445.6300354003906];lever on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[10.309316635131836, 123.92723846435547, 97.99870300292969, 147.1898193359375];grip on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[40.36778259277344, 135.68592834472656, 107.94955444335938, 319.6200256347656];lever on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[322.7185974121094, 158.8013916015625, 455.80615234375, 283.8847351074219];grip on the wrench;[329, 158.75, 592.12, 410];0.2371093898145088
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[244.01113891601562, 432.8484802246094, 463.1947326660156, 700.6743774414062];lever on the circular saw;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[297.636962890625, 42.92688751220703, 490.80804443359375, 185.8883514404297];grip on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[279.62188720703125, 348.70684814453125, 356.21539306640625, 422.4182434082031];lever on the circular saw;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[144.4607696533203, 106.86360931396484, 1085.00146484375, 970.0474243164062];grip on the screwdriver;[864, 251, 1064, 426];0.043110907448268086
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[269.5350646972656, 222.3679656982422, 346.1899108886719, 311.326416015625];grip on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.20918984926444836
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[371.2078552246094, 34.40098571777344, 563.186279296875, 104.47074127197266];lever on the glue gun;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[40.625396728515625, 76.63634490966797, 137.37857055664062, 142.0717010498047];lever on the drill;[114, 82.51, 125.62, 89];0.011911683190225621
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[502.94464111328125, 110.05742645263672, 700.4125366210938, 1140.827392578125];grip on the screwdriver;[532, 108, 686, 505];0.2983464720417801
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[1067.36083984375, 481.3693542480469, 1177.3919677734375, 576.6455078125];lever on the drill;[524, 379.37, 635.88, 435];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[254.61669921875, 238.95465087890625, 352.2232360839844, 383.3329162597656];lever on the nail gun;[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[53.917442321777344, 75.11631774902344, 77.61860656738281, 112.287841796875];lever on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[293.54583740234375, 476.800537109375, 321.59552001953125, 494.1060791015625];lever on the drill;[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[226.16587829589844, 112.24077606201172, 264.26458740234375, 146.57672119140625];lever on the nail gun;[227, 183.37, 252, 206];0.0
