img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[44.39104461669922, 29.982746124267578, 258.4136657714844, 197.9687042236328];handle to grasp with four fingers on the screwdriver;[213, 116, 254.85, 186];0.0814818429089283
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[130.1450958251953, 263.0560607910156, 410.9901123046875, 434.5110168457031];trigger to press with index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0, 0, 0, 0];trigger to press with index finger on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[56.96866989135742, 33.144989013671875, 239.1868133544922, 146.7605438232422];handle to grasp with four fingers on the solder iron;[123, 65, 221, 83];0.08520580222060263
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[111.65232849121094, 93.92366790771484, 623.6099853515625, 347.61602783203125];trigger to press with index finger on the weed wacker;[311, 136.86, 333.86, 149];0.002136748863668125
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[324.87408447265625, 158.57069396972656, 456.32586669921875, 286.3212890625];handle to grasp with four fingers on the wrench;[329, 158.75, 592.12, 410];0.24367556043101257
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[256.3651123046875, 0.40686604380607605, 1121.9805908203125, 798.0267333984375];trigger to press with index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.0028864532673044223
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[113.7749252319336, 13.118461608886719, 502.5867004394531, 297.1283264160156];handle to grasp with four fingers on the solder iron;[364, 212.24, 419.89, 284];0.03631982149968337
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[107.0879135131836, 75.51094818115234, 1003.5242309570312, 973.743408203125];trigger to press with index finger on the circular saw;[511, 506, 549, 600];0.004436119758712425
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[256.8250427246094, 186.47116088867188, 1103.6693115234375, 998.4609375];handle to grasp with four fingers on the screwdriver;[864, 251, 1064, 426];0.05089954854702266
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[269.8755798339844, 104.4153060913086, 789.5032348632812, 316.8299255371094];handle to grasp with four fingers on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.11451536235812095
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[181.3734893798828, 64.8532485961914, 266.4149169921875, 160.36376953125];trigger to press with index finger on the glue gun;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[42.53852462768555, 74.54431915283203, 138.4992218017578, 142.21923828125];trigger to press with index finger on the drill;[114, 82.51, 125.62, 89];0.011612605828439785
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[514.2251586914062, 195.75479125976562, 698.3582763671875, 1094.4527587890625];handle to grasp with four fingers on the screwdriver;[532, 108, 686, 505];0.26606301478191535
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[166.0071258544922, 28.174463272094727, 1063.6556396484375, 579.3203125];trigger to press with index finger on the drill;[524, 379.37, 635.88, 435];0.012580232294474353
