img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[159.97637939453125, 35.83958053588867, 268.3377990722656, 130.06622314453125];place to grab with four fingers on the screwdriver;[213, 116, 254.85, 186];0.046901003270617594
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[127.91175842285156, 114.86344909667969, 410.5248107910156, 434.4020080566406];place to put pad of index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0, 0, 0, 0];place to put pad of index finger on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[67.93699645996094, 42.738182067871094, 237.218994140625, 103.95970153808594];place to grab with four fingers on the solder iron;[123, 65, 221, 83];0.17020946282526694
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[237.5272674560547, 102.69645690917969, 663.893798828125, 259.47735595703125];place to put pad of index finger on the weed wacker;[311, 136.86, 333.86, 149];0.0041516301368008
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[322.4831848144531, 158.9915313720703, 455.6725769042969, 285.60333251953125];place to grab with four fingers on the wrench;[329, 158.75, 592.12, 410];0.23961277900679426
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0, 0, 0, 0];place to put pad of index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[107.32217407226562, 87.10438537597656, 221.6567840576172, 194.06211853027344];place to grab with four fingers on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[0, 0, 0, 0];place to put pad of index finger on the circular saw;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[817.6798095703125, 729.5098876953125, 1086.8135986328125, 973.5155639648438];place to grab with four fingers on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[266.81988525390625, 221.2352752685547, 347.05670166015625, 314.01507568359375];place to grab with four fingers on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.21571716370487404
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[221.80230712890625, 19.110689163208008, 604.0, 339.8704528808594];place to put pad of index finger on the glue gun;[331, 142.06, 343.19, 178];0.0035736649476443873
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[43.02058410644531, 32.93279266357422, 174.8675537109375, 143.83290100097656];place to put pad of index finger on the drill;[114, 82.51, 125.62, 89];0.00515761240911501
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[520.7759399414062, 641.5765991210938, 695.59033203125, 1140.578369140625];place to grab with four fingers on the screwdriver;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[18.906381607055664, 26.624879837036133, 1180.1717529296875, 581.3689575195312];place to put pad of index finger on the drill;[524, 379.37, 635.88, 435];0.009661340033056336
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[0, 0, 0, 0];place to put pad of index finger on the nail gun;[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[61.103118896484375, 29.726913452148438, 146.97178649902344, 84.9608154296875];place to put pad of index finger on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[30.376216888427734, 54.62355041503906, 685.7657470703125, 647.0701293945312];place to put pad of index finger on the drill;[283, 395, 316.89, 440];0.003927673579312221
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[39.34263610839844, 14.482972145080566, 431.8542785644531, 319.63909912109375];place to put pad of index finger on the nail gun;[227, 183.37, 252, 206];0.004723347796250175
