img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[59.18404769897461, 34.77505874633789, 269.2861633300781, 192.1669158935547];hold on the screwdriver;[213, 116, 254.85, 186];0.08858920756229127
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[81.2785873413086, 95.19710540771484, 505.654296875, 980.1386108398438];toggle on the glue gun;[249, 697.8299999999999, 317.33, 717];0.003487935546742335
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[84.50201416015625, 23.44023895263672, 514.2615356445312, 534.834228515625];toggle on the circular saw;[410, 318.82, 425.45, 347];0.001981017653391612
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[6.231780052185059, 30.692245483398438, 242.60028076171875, 156.87144470214844];hold on the solder iron;[123, 65, 221, 83];0.05914543270905279
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[4.364138603210449, 100.85694885253906, 673.4612426757812, 288.26220703125];toggle on the weed wacker;[311, 136.86, 333.86, 149];0.002213216964812865
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[323.280517578125, 158.6298828125, 455.6442565917969, 284.82611083984375];hold on the wrench;[329, 158.75, 592.12, 410];0.23886009309017306
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[232.90980529785156, 7.724532604217529, 1111.873779296875, 805.1941528320312];toggle on the circular saw;[543, 686, 609.4300000000001, 716];0.002843153349425302
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[120.72370910644531, 4.078145980834961, 496.0925598144531, 293.5322570800781];hold on the solder iron;[364, 212.24, 419.89, 284];0.036912935752410565
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[89.56334686279297, 52.37571334838867, 1099.3765869140625, 1149.3594970703125];toggle on the circular saw;[511, 506, 549, 600];0.0032245579184538254
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[132.5259552001953, 154.6981964111328, 1091.53857421875, 980.04541015625];hold on the screwdriver;[864, 251, 1064, 426];0.044218808188377715
