img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[52.26142501831055, 35.868587493896484, 270.60662841796875, 204.35748291015625];place for hand to wrap around on the screwdriver;[213, 116, 254.85, 186];0.07963033878223086
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[0, 0, 0, 0];place to press with index finger pad on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[73.05960083007812, 31.38751792907715, 535.0194702148438, 533.8235473632812];place to press with index finger pad on the circular saw;[410, 318.82, 425.45, 347];0.0018757909998910842
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[45.022640228271484, 9.462102890014648, 226.20547485351562, 160.3711700439453];place for hand to wrap around on the solder iron;[123, 65, 221, 83];0.06451581625112299
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0.0, 386.0, 78.98128509521484, 386.0];place to press with index finger pad on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[124.94857788085938, 122.493408203125, 682.4409790039062, 683.0609130859375];place for hand to wrap around on the wrench;[329, 158.75, 592.12, 410];0.2115402727189353
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[1.3964651823043823, 17.005434036254883, 822.211669921875, 866.0502319335938];place to press with index finger pad on the circular saw;[543, 686, 609.4300000000001, 716];0.0028596277910665014
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[120.99344635009766, 153.87562561035156, 322.2471618652344, 290.42413330078125];place for hand to wrap around on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[95.63629913330078, 60.584503173828125, 951.7279052734375, 816.5399169921875];place to press with index finger pad on the circular saw;[511, 506, 549, 600];0.005519440166504195
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[814.4633178710938, 725.5146484375, 1085.918701171875, 973.4253540039062];place for hand to wrap around on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[0, 0, 0, 0];place for hand to wrap around on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.0
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[211.24977111816406, 16.501001358032227, 578.6875, 325.01165771484375];place to press with index finger pad on the glue gun;[331, 142.06, 343.19, 178];0.0038648074407607396
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[0, 0, 0, 0];place to press with index finger pad on the drill;[114, 82.51, 125.62, 89];0.0
