img_id;text_output;pred_bbox;target_bbox;iou
0;[134, 65, 194, 147];[134.0, 65.0, 194.0, 147.0];[213, 39, 254.85, 109];0.0
1;```json [340, 270, 390, 320] ```;[340.0, 270.0, 390.0, 320.0];[249, 283, 317.33, 302.17];0.0
2;```json [630, 280, 680, 330] ```;[630.0, 280.0, 680.0, 330.0];[410, 213, 425.45, 241.18];0.0
3;```json [120, 105, 250, 160] ```;[120.0, 105.0, 250.0, 160.0];[123, 120, 221, 138];0.2467132867132867
4;[414, 263, 439, 290];[414.0, 263.0, 439.0, 290.0];[311, 237, 333.86, 249.14];0.0
5;```json [100, 150, 280, 280] ```;[100.0, 150.0, 280.0, 280.0];[329, 340, 592.12, 591.25];0.0
6;```json [550, 160, 640, 210] ```;[550.0, 160.0, 640.0, 210.0];[543, 184, 609.4300000000001, 214];0.31230142368606184
7;```json [410, 190, 570, 280] ```;[410.0, 190.0, 570.0, 280.0];[364, 76, 419.89, 147.76];0.0
8;```json [493, 334, 543, 377] ```;[493.0, 334.0, 543.0, 377.0];[511, 600, 549, 694];0.0
9;```json [724, 507, 841, 572] ```;[724.0, 507.0, 841.0, 572.0];[864, 774, 1064, 949];0.0
10;```json [125, 145, 275, 245] ```;[125.0, 145.0, 275.0, 245.0];[271, 107, 426.83000000000004, 308.66999999999996];0.00869069543577125
11;```json [378, 251, 433, 322] ```;[378.0, 251.0, 433.0, 322.0];[331, 162, 343.19, 197.94];0.0
12;```json [310, 360, 350, 400] ```;[310.0, 360.0, 350.0, 400.0];[114, 78, 125.62, 84.49];0.0
13;```json [590, 840, 730, 1080] ```;[590.0, 840.0, 730.0, 1080.0];[532, 695, 686, 1092];0.3213478758124355
14;```json [285, 250, 325, 290] ```;[285.0, 250.0, 325.0, 290.0];[524, 279, 635.88, 334.63];0.0
15;```json [520, 300, 630, 380] ```;[520.0, 300.0, 630.0, 380.0];[317, 245, 335.85, 270.38];0.0
16;```json [240, 190, 270, 220] ```;[240.0, 190.0, 270.0, 220.0];[79, 71, 92.97, 81.73];0.0
17;```json [209, 262, 267, 313] ```;[209.0, 262.0, 267.0, 313.0];[283, 270, 316.89, 315];0.0
