img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[53.29903793334961, 33.630638122558594, 265.62176513671875, 193.67198181152344];area to grab safely with entire hand on the screwdriver;[213, 116, 254.85, 186];0.08621142614541277
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[129.02069091796875, 257.2484436035156, 409.83709716796875, 433.7265625];pressable surface for index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[81.9236068725586, 49.439849853515625, 533.6738891601562, 534.8026733398438];pressable surface for index finger on the circular saw;[410, 318.82, 425.45, 347];0.0019856583736458837
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[34.40382766723633, 29.66903305053711, 220.82958984375, 200.47113037109375];area to grab safely with entire hand on the solder iron;[123, 65, 221, 83];0.055297026312251654
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0, 0, 0, 0];pressable surface for index finger on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[144.45399475097656, 67.69229888916016, 697.5333862304688, 627.8495483398438];area to grab safely with entire hand on the wrench;[329, 158.75, 592.12, 410];0.2133843152893925
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[256.12689208984375, 1.188897967338562, 1139.8701171875, 793.3958129882812];pressable surface for index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.0028465628735693284
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[107.50715637207031, 5.5410380363464355, 501.9394836425781, 298.124267578125];area to grab safely with entire hand on the solder iron;[364, 212.24, 419.89, 284];0.03475318468107887
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[136.12515258789062, 76.05059051513672, 1033.013916015625, 973.0341796875];pressable surface for index finger on the circular saw;[511, 506, 549, 600];0.004440055203163449
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[226.4038848876953, 143.91940307617188, 1117.283935546875, 1027.7535400390625];area to grab safely with entire hand on the screwdriver;[864, 251, 1064, 426];0.04445064209379223
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[270.19635009765625, 106.29719543457031, 789.3722534179688, 315.2678527832031];area to grab safely with entire hand on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.1140730723193073
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[181.60890197753906, 64.89031982421875, 266.0795593261719, 160.09490966796875];pressable surface for index finger on the glue gun;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[42.68024826049805, 74.56941986083984, 138.2519989013672, 142.6319580078125];pressable surface for index finger on the drill;[114, 82.51, 125.62, 89];0.011593462004970292
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[513.4181518554688, 195.477294921875, 698.8360595703125, 1094.5533447265625];area to grab safely with entire hand on the screwdriver;[532, 108, 686, 505];0.2645547481522692
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[166.07833862304688, 27.57898712158203, 1063.6396484375, 578.020263671875];pressable surface for index finger on the drill;[524, 379.37, 635.88, 435];0.012597558987813486
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[78.09166717529297, 39.34532928466797, 495.2376708984375, 454.88580322265625];pressable surface for index finger on the nail gun;[317, 209.62, 335.85, 235];0.00275995215949008
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[0, 0, 0, 0];pressable surface for index finger on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[266.4365234375, 699.5640258789062, 317.3004150390625, 709.8096923828125];pressable surface for index finger on the drill;[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[155.05958557128906, 20.64541244506836, 478.7677307128906, 317.06951904296875];pressable surface for index finger on the nail gun;[227, 183.37, 252, 206];0.005895999197859789
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[339.03466796875, 12.382049560546875, 1273.18896484375, 708.1828002929688];pressable surface for index finger on the nail gun;[530, 314.75, 561.88, 361];0.0022684360528158506
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[136.06826782226562, 171.86489868164062, 1033.6820068359375, 1059.7384033203125];pressable surface for index finger on the nail gun;[589, 424, 610, 509];0.0022397401373883885
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[54.55241012573242, 2.28639554977417, 518.19189453125, 320.7426452636719];area to grab safely with entire hand on the solder iron;[192, 89.18, 330.13, 167];0.07280296178587295
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[65.21273803710938, 102.33494567871094, 364.9106140136719, 265.7043151855469];area to grab safely with entire hand on the wrench;[176, 111.59000000000003, 360.7, 206];0.3561480699001896
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[45.992431640625, 78.72369384765625, 329.9637145996094, 348.1776428222656];area to grab safely with entire hand on the screwdriver;[181, 68, 309.34000000000003, 195];0.19158091912799502
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[45.23195266723633, 45.5745964050293, 344.652099609375, 344.5308532714844];area to grab safely with entire hand on the wrench;[118, 119, 313.33000000000004, 285];0.36223329946263366
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[205.33413696289062, 70.0433120727539, 658.8369140625, 515.1478271484375];area to grab safely with entire hand on the hammer;[437, 105, 626, 307];0.18913470352757833
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[146.72105407714844, 27.990800857543945, 1120.7330322265625, 818.0122680664062];area to grab safely with entire hand on the screwdriver;[169, 252.16000000000008, 559, 523];0.13726955376672292
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[46.709228515625, 505.5681457519531, 944.1888427734375, 753.3263549804688];area to grab safely with entire hand on the allen key;[184, 478, 1170, 569];0.18274653912638897
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[483.84967041015625, 37.224361419677734, 601.8606567382812, 465.68682861328125];area to grab safely with entire hand on the screwdriver;[500, 420.22, 588.89, 658];0.059734940800165205
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[82.83543395996094, 22.90095329284668, 151.1417694091797, 97.07168579101562];area to grab safely with entire hand on the screwdriver;[93, 99.84, 125.82, 135];0.0
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[56.7624626159668, 329.9231262207031, 780.15234375, 884.7140502929688];area to grab safely with entire hand on the wrench;[306, 500, 691, 797];0.28491505727347743
