img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[58.184696197509766, 35.62972640991211, 265.4827575683594, 189.25326538085938];grasping area placement;[213, 116, 254.85, 186];0.09198997400397858
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[373.53375244140625, 75.85134887695312, 529.25537109375, 165.37745666503906];index finger placement;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[380.315185546875, 195.63702392578125, 434.0035095214844, 247.06263732910156];index finger placement;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[7.530241966247559, 115.50174713134766, 228.603271484375, 147.40260314941406];grasping area placement;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[243.3304443359375, 178.3119659423828, 448.5206298828125, 253.96046447753906];index finger placement;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[35.973541259765625, 4.207491874694824, 665.0814208984375, 676.1207275390625];grasping area placement;[329, 158.75, 592.12, 410];0.15639454826920718
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0.0, 338.5870056152344, 426.84503173828125, 900.0];index finger placement;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[113.87628173828125, 6.993409156799316, 503.326904296875, 292.5836486816406];grasping area placement;[364, 212.24, 419.89, 284];0.03605958934268227
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[491.7954406738281, 468.0140380859375, 1082.620849609375, 1137.7496337890625];index finger placement;[511, 506, 549, 600];0.009027113524583958
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[145.24801635742188, 159.6125030517578, 1072.899658203125, 969.4730834960938];grasping area placement;[864, 251, 1064, 426];0.04658787122632178
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[283.3478698730469, 103.90135955810547, 800.0, 307.3027038574219];grasping area placement;[271, 223.33000000000004, 426.83000000000004, 425];0.09680267163926676
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[352.9435119628906, 27.810853958129883, 468.84881591796875, 145.60682678222656];index finger placement;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[129.3966522216797, 35.65107727050781, 147.26669311523438, 49.94844436645508];index finger placement;[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[490.4645080566406, 106.27416229248047, 696.5133056640625, 1129.964111328125];grasping area placement;[532, 108, 686, 505];0.28984959895338874
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[7.577633857727051, 30.180166244506836, 714.7780151367188, 555.31103515625];index finger placement;[524, 379.37, 635.88, 435];0.016759130517800785
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[296.03631591796875, 215.8997802734375, 402.3714294433594, 411.5539855957031];index finger placement;[317, 209.62, 335.85, 235];0.017207581159541435
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[36.75905990600586, 35.499813079833984, 43.88654708862305, 74.30970764160156];index finger placement;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[208.3639678955078, 227.29580688476562, 276.77423095703125, 255.3517303466797];index finger placement;[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[149.35340881347656, 34.034202575683594, 427.55377197265625, 316.1703186035156];index finger placement;[227, 183.37, 252, 206];0.007207890604131222
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[354.3714599609375, 172.6246795654297, 491.7874450683594, 407.3015441894531];index finger placement;[530, 314.75, 561.88, 361];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[330.41796875, 248.10658264160156, 597.2483520507812, 786.2730712890625];index finger placement;[589, 424, 610, 509];0.0048458328279146175
