img_id;text_output;pred_bbox;target_bbox;iou
0;' [162, 521, 569, 888]\n ```;[162.0, 521.0, 569.0, 888.0];[213, 39, 254.85, 109];0.0
1;```json\n [301,307,332,366]\n ```;[301.0, 307.0, 332.0, 366.0];[249, 283, 317.33, 302.17];0.0
2;```json\n [308,628,374,708]\n ```;[308.0, 628.0, 374.0, 708.0];[410, 213, 425.45, 241.18];0.0
3;```json\n [577,376,694,888]\n ```;[577.0, 376.0, 694.0, 888.0];[123, 120, 221, 138];0.0
4;```json\n [480, 470, 540, 538]\n ```;[480.0, 470.0, 540.0, 538.0];[311, 237, 333.86, 249.14];0.0
5;```json\n [504,574,615,767]\n ```;[504.0, 574.0, 615.0, 767.0];[329, 340, 592.12, 591.25];0.017672801520442018
6;```json\n [146,407,210,478]\n ```;[146.0, 407.0, 210.0, 478.0];[543, 184, 609.4300000000001, 214];0.0
7;```json\n [108,560,501,907]\n ```;[108.0, 560.0, 501.0, 907.0];[364, 76, 419.89, 147.76];0.0
8;```json\n [465,440,518,500]\n ```;[465.0, 440.0, 518.0, 500.0];[511, 600, 549, 694];0.0
9;```json\n [610,680,796,896]\n ```;[610.0, 680.0, 796.0, 896.0];[864, 774, 1064, 949];0.0
10;```json\n [206,345,486,566]\n ```;[206.0, 345.0, 486.0, 566.0];[271, 107, 426.83000000000004, 308.66999999999996];0.0
11;```json\n [586,646,690,730]\n ```;[586.0, 646.0, 690.0, 730.0];[331, 162, 343.19, 197.94];0.0
12;```json\n [398, 503, 461, 557]\n ```;[398.0, 503.0, 461.0, 557.0];[114, 78, 125.62, 84.49];0.0
13;```json\n [539,438,946,580]\n ```;[539.0, 438.0, 946.0, 580.0];[532, 695, 686, 1092];0.0
14;```json\n [216,413,292,515]\n ```;[216.0, 413.0, 292.0, 515.0];[524, 279, 635.88, 334.63];0.0
15;```json\n [500,569,576,646]\n ```;[500.0, 569.0, 576.0, 646.0];[317, 245, 335.85, 270.38];0.0
16;```json\n [200, 385, 253, 449]\n ```;[200.0, 385.0, 253.0, 449.0];[79, 71, 92.97, 81.73];0.0
17;```json\n [366,366,420,427]\n ```;[366.0, 366.0, 420.0, 427.0];[283, 270, 316.89, 315];0.0
18;```json\n [343,480,411,546]\n ```;[343.0, 480.0, 411.0, 546.0];[227, 114, 252, 136.63];0.0
19;```json\n [402,466,476,529]\n ```;[402.0, 466.0, 476.0, 529.0];[530, 359, 561.88, 405.25];0.0
20;```json\n [208,299,268,407]\n ```;[208.0, 299.0, 268.0, 407.0];[589, 691, 610, 776];0.0
21;```json\n [406, 65, 876, 659]\n ```;[406.0, 65.0, 876.0, 659.0];[192, 182, 330.13, 259.82];0.0
22;```json\n [436,417,691,971]\n ```;[436.0, 417.0, 691.0, 971.0];[176, 162, 360.7, 256.40999999999997];0.0
23;```json\n [422,350,808,796]\n ```;[422.0, 350.0, 808.0, 796.0];[181, 205, 309.34000000000003, 332];0.0
24;```json\n [696, 36, 941, 283]\n ```;[696.0, 36.0, 941.0, 283.0];[118, 115, 313.33000000000004, 281];0.0
25;```json\n [470,467,816,698]\n ```;[470.0, 467.0, 816.0, 698.0];[437, 289, 626, 491];0.03273871983210913
26;```json\n [386, 99, 806, 506]\n ```;[386.0, 99.0, 806.0, 506.0];[169, 469, 559, 739.8399999999999];0.023692788079651594
27;```json\n [431, 28, 625, 120]\n ```;[431.0, 28.0, 625.0, 120.0];[184, 631, 1170, 722];0.0
28;```json\n [67,458,488,542]\n ```;[67.0, 458.0, 488.0, 542.0];[500, 62, 588.89, 299.78];0.0
29;```json\n [145,270,429,466]\n ```;[145.0, 270.0, 429.0, 466.0];[93, 33, 125.82, 68.16];0.0
30;```json\n [279, 477, 505, 860]\n ```;[279.0, 477.0, 505.0, 860.0];[306, 403, 691, 700];0.2835120043954359
31;```json\n [384,587,426,644]\n ```;[384.0, 587.0, 426.0, 644.0];[678, 620, 742, 646];0.0
32;```json\n [88,409,602,579]\n ```;[88.0, 409.0, 602.0, 579.0];[129, 54, 195, 368];0.0
33;```json\n [61,328,342,756]\n ```;[61.0, 328.0, 342.0, 756.0];[805, 195, 1862.5, 567.5];0.0
34;```json\n [270,466,347,546]\n ```;[270.0, 466.0, 347.0, 546.0];[110, 97, 137.34, 123.1];0.0
35;```json\n [146,236,586,506]\n ```;[146.0, 236.0, 586.0, 506.0];[140, 282, 222, 579];0.13497185443589946
36;```json\n [81,635,507,746]\n ```;[81.0, 635.0, 507.0, 746.0];[664, 104, 750.87, 354];0.0
37;```json\n [301,330,439,709]\n ```;[301.0, 330.0, 439.0, 709.0];[1388, 1045, 2438, 1485];0.0
38;```json\n [13,318,288,833]\n ```;[13.0, 318.0, 288.0, 833.0];[217, 14, 581.1700000000001, 105.66];0.0
39;```json\n [286,453,382,536]\n ```;[286.0, 453.0, 382.0, 536.0];[276, 141, 313.33, 162];0.0
40;```json\n [76,388,132,457]\n ```;[76.0, 388.0, 132.0, 457.0];[407, 116, 423.67, 177.66];0.0
41;```json\n [462,353,521,439]\n ```;[462.0, 353.0, 521.0, 439.0];[290, 487, 424.15999999999997, 537];0.0
42;```json\n [375,536,784,679]\n ```;[375.0, 536.0, 784.0, 679.0];[341, 379, 381.63, 592.13];0.005573128176651113
43;```json\n [546,430,920,580]\n ```;[546.0, 430.0, 920.0, 580.0];[308, 686, 411, 1165];0.0
44;```json\n [162,383,233,513]\n ```;[162.0, 383.0, 233.0, 513.0];[430, 230, 483, 298];0.0
45;```json\n [426, 469, 789, 560]\n ```;[426.0, 469.0, 789.0, 560.0];[432, 500, 518, 967];0.07584331594032483
46;```json\n [552,105,610,879]\n ```;[552.0, 105.0, 610.0, 879.0];[143, 550, 855.5, 619.17];0.04449525815608964
47;```json\n [507,487,574,568]\n ```;[507.0, 487.0, 574.0, 568.0];[679, 429, 708.28, 506.86];0.0
