img_id;img_path;text_output;pred_bbox;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;```json [ 50, 30, 125, 130 ] ```;[50.0, 30.0, 125.0, 130.0];[39, 213, 109, 254.85];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;```json [ 587, 247, 648, 289 ] ```;[587.0, 247.0, 648.0, 289.0];[283, 249, 302.17, 317.33];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;```json [ 537, 788, 604, 807 ] ```;[537.0, 788.0, 604.0, 807.0];[213, 410, 241.18, 425.45];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;```json [ 56, 197, 91, 301 ] ```;[56.0, 197.0, 91.0, 301.0];[120, 123, 138, 221];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;```json [ 497, 269, 546, 289 ] ```;[497.0, 269.0, 546.0, 289.0];[237, 311, 249.14, 333.86];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;```json [ 485, 510, 672, 715 ] ```;[485.0, 510.0, 672.0, 715.0];[340, 329, 591.25, 592.12];0.09115517195447283
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;```json [ 132, 134, 186, 168 ] ```;[132.0, 134.0, 186.0, 168.0];[184, 543, 214, 609.4300000000001];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;```json [ 443, 578, 592, 773 ] ```;[443.0, 578.0, 592.0, 773.0];[76, 364, 147.76, 419.89];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;```json [ 457, 416, 511, 434 ] ```;[457.0, 416.0, 511.0, 434.0];[600, 511, 694, 549];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;```json [ 577, 531, 703, 605 ] ```;[577.0, 531.0, 703.0, 605.0];[774, 864, 949, 1064];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;```json [ 73, 181, 171, 267 ] ```;[73.0, 181.0, 171.0, 267.0];[107, 271, 308.66999999999996, 426.83000000000004];0.0
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;```json [ 306, 615, 364, 647 ] ```;[306.0, 615.0, 364.0, 647.0];[162, 331, 197.94, 343.19];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;```json [ 358, 400, 385, 420 ] ```;[358.0, 400.0, 385.0, 420.0];[78, 114, 84.49, 125.62];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;```json [ 382, 472, 621, 564 ] ```;[382.0, 472.0, 621.0, 564.0];[695, 532, 1092, 686];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;```json [ 306, 383, 376, 420 ] ```;[306.0, 383.0, 376.0, 420.0];[279, 524, 334.63, 635.88];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;```json [ 70, 668, 152, 700 ] ```;[70.0, 668.0, 152.0, 700.0];[245, 317, 270.38, 335.85];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;```json [ 307, 376, 353, 438 ] ```;[307.0, 376.0, 353.0, 438.0];[71, 79, 81.73, 92.97];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;```json [ 372, 256, 419, 276 ] ```;[372.0, 256.0, 419.0, 276.0];[270, 283, 315, 316.89];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;```json [ 385, 613, 432, 661 ] ```;[385.0, 613.0, 432.0, 661.0];[114, 227, 136.63, 252];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;```json [ 767, 838, 827, 855 ] ```;[767.0, 838.0, 827.0, 855.0];[359, 530, 405.25, 561.88];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;```json [ 714, 320, 788, 360 ] ```;[714.0, 320.0, 788.0, 360.0];[691, 589, 776, 610];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;```json [ 457, 114, 723, 275 ] ```;[457.0, 114.0, 723.0, 275.0];[182, 192, 259.82, 330.13];0.0
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;```json [ 383, 622, 560, 718 ] ```;[383.0, 622.0, 560.0, 718.0];[162, 176, 256.40999999999997, 360.7];0.0
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;```json [ 429, 595, 646, 684 ] ```;[429.0, 595.0, 646.0, 684.0];[205, 181, 332, 309.34000000000003];0.0
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;```json [ 290, 332, 405, 663 ] ```;[290.0, 332.0, 405.0, 663.0];[115, 118, 281, 313.33000000000004];0.0
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;```json [ 498, 629, 664, 851 ] ```;[498.0, 629.0, 664.0, 851.0];[289, 437, 491, 626];0.0
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;```json [ 388, 227, 613, 359 ] ```;[388.0, 227.0, 613.0, 359.0];[469, 169, 739.8399999999999, 559];0.1634118411686423
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;```json [ 396, 343, 476, 624 ] ```;[396.0, 343.0, 476.0, 624.0];[631, 184, 722, 1170];0.0
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;```json [ 173, 459, 335, 552 ] ```;[173.0, 459.0, 335.0, 552.0];[62, 500, 299.78, 588.89];0.22264862747261083
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;```json [ 45, 104, 105, 172 ] ```;[45.0, 104.0, 105.0, 172.0];[33, 93, 68.16, 125.82];0.10687120923740638
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;```json [ 183, 248, 328, 683 ] ```;[183.0, 248.0, 328.0, 683.0];[403, 306, 700, 691];0.0
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;```json [ 437, 232, 466, 257 ] ```;[437.0, 232.0, 466.0, 257.0];[620, 678, 646, 742];0.0
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;```json [ 283, 411, 618, 579 ] ```;[283.0, 411.0, 618.0, 579.0];[54, 129, 368, 195];0.0
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;```json [ 14, 200, 130, 421 ] ```;[14.0, 200.0, 130.0, 421.0];[195, 805, 567.5, 1862.5];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;```json [ 397, 360, 465, 393 ] ```;[397.0, 360.0, 465.0, 393.0];[97, 110, 123.1, 137.34];0.0
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;```json [ 295, 187, 378, 247 ] ```;[295.0, 187.0, 378.0, 247.0];[282, 140, 579, 222];0.10991713647886792
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;```json [ 64, 577, 310, 690 ] ```;[64.0, 577.0, 310.0, 690.0];[104, 664, 354, 750.87];0.1212876051585729
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;```json [ 388, 393, 482, 447 ] ```;[388.0, 393.0, 482.0, 447.0];[1045, 1388, 1485, 2438];0.0
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;```json [ 62, 157, 172, 255 ] ```;[62.0, 157.0, 172.0, 255.0];[14, 217, 105.66, 581.1700000000001];0.03903649475561394
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;```json [ [ 361, 443, 419, 485 ] ] ```;[361.0, 443.0, 419.0, 485.0];[141, 276, 162, 313.33];0.0
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;```json [ 589, 372, 626, 426 ] ```;[589.0, 372.0, 626.0, 426.0];[116, 407, 177.66, 423.67];0.0
41;data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg;```json [ 497, 208, 607, 231 ] ```;[497.0, 208.0, 607.0, 231.0];[487, 290, 537, 424.15999999999997];0.0
42;data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg;```json [ 499, 595, 662, 645 ] ```;[499.0, 595.0, 662.0, 645.0];[379, 341, 592.13, 381.63];0.0
43;data/roboflow/hammer_5_jpg.rf.111cf96c55a3c37f56afe7dc3f6224ee.jpg;```json [ 720, 415, 875, 535 ] ```;[720.0, 415.0, 875.0, 535.0];[686, 308, 1165, 411];0.0
