img_id;img_path;text_output;pred_bbox;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;```json [386, 526, 600, 713] ```;[386.0, 526.0, 600.0, 713.0];[39, 213, 109, 254.85];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;```json [585, 237, 724, 302] ```;[585.0, 237.0, 724.0, 302.0];[283, 249, 302.17, 317.33];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;```json [490, 608, 545, 654] ```;[490.0, 608.0, 545.0, 654.0];[213, 410, 241.18, 425.45];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;```json [581, 372, 717, 892] ```;[581.0, 372.0, 717.0, 892.0];[120, 123, 138, 221];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;```json [355, 60, 824, 157] ```;[355.0, 60.0, 824.0, 157.0];[237, 311, 249.14, 333.86];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;```json [510, 541, 793, 775] ```;[510.0, 541.0, 793.0, 775.0];[340, 329, 591.25, 592.12];0.0324043084038215
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;```json [120, 373, 249, 473] ```;[120.0, 373.0, 249.0, 473.0];[184, 543, 214, 609.4300000000001];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;```json [119, 551, 514, 901] ```;[119.0, 551.0, 514.0, 901.0];[76, 364, 147.76, 419.89];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;```json [493, 451, 567, 506] ```;[493.0, 451.0, 567.0, 506.0];[600, 511, 694, 549];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;```json [649, 745, 811, 903] ```;[649.0, 745.0, 811.0, 903.0];[774, 864, 949, 1064];0.0243943671495951
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;```json [256, 378, 419, 617] ```;[256.0, 378.0, 419.0, 617.0];[107, 271, 308.66999999999996, 426.83000000000004];0.0379269210940467
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;```json [599, 658, 750, 740] ```;[599.0, 658.0, 750.0, 740.0];[162, 331, 197.94, 343.19];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;```json [326, 536, 439, 633] ```;[326.0, 536.0, 439.0, 633.0];[78, 114, 84.49, 125.62];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;```json [600, 472, 947, 556] ```;[600.0, 472.0, 947.0, 556.0];[695, 532, 1092, 686];0.0717965763669602
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;```json [330, 371, 485, 532] ```;[330.0, 371.0, 485.0, 532.0];[279, 524, 334.63, 635.88];0.0011893964764655
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;```json [744, 537, 773, 568] ```;[744.0, 537.0, 773.0, 568.0];[245, 317, 270.38, 335.85];0.0
