img_id, img_path                                                                , text_output                                                                                   , pred_bbox              , target_bbox                                         , iou
     0, data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg, "```json
                                                                                  [431, 523, 600, 686]
                                                                                  ```"                                                                                          , "[431, 523, 600, 686]" , "[213, 39, 254.85, 109]"                            , 0.0
     1, data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg       , "```json
                                                                                  [334, 188, 412, 335]
                                                                                  ```"                                                                                          , "[334, 188, 412, 335]" , "[249, 283, 317.33, 302.17]"                        , 0.0
     2, data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg        , "```json
                                                                                  [571, 428, 625, 461]
                                                                                  ```"                                                                                          , "[571, 428, 625, 461]" , "[410, 213, 425.45, 241.18]"                        , 0.0
     3, data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg     , "```json
                                                                                  [574, 473, 697, 886]
                                                                                  ```"                                                                                          , "[574, 473, 697, 886]" , "[123, 120, 221, 138]"                              , 0.0
     4, data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg      , "```json
                                                                                  [376, 74, 574, 136]
                                                                                  ```"                                                                                          , "[376, 74, 574, 136]"  , "[311, 237, 333.86, 249.14]"                        , 0.0
     5, data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg     , "```json
                                                                                  [499, 535, 900, 906]
                                                                                  ```"                                                                                          , "[499, 535, 900, 906]" , "[329, 340, 592.12, 591.25]"                        , 0.024985463306714927
     6, data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg         , "```json
                                                                                  [105, 403, 243, 523]
                                                                                  ```"                                                                                          , "[105, 403, 243, 523]" , "[543, 184, 609.4300000000001, 214]"                , 0.0
     7, data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg     , "```json
                                                                                  [118, 551, 517, 898]
                                                                                  ```"                                                                                          , "[118, 551, 517, 898]" , "[364, 76, 419.89, 147.76]"                         , 0.0
     8, data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg         , "```json
                                                                                  [481, 422, 589, 493]
                                                                                  ```"                                                                                          , "[481, 422, 589, 493]" , "[511, 600, 549, 694]"                              , 0.0
     9, data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg, "```json
                                                                                  [609, 682, 810, 828]
                                                                                  ```"                                                                                          , "[609, 682, 810, 828]" , "[864, 774, 1064, 949]"                             , 0.0
    10, data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg       , "```json
                                                                                  [370, 337, 588, 629]
                                                                                  ```"                                                                                          , "[370, 337, 588, 629]" , "[271, 107, 426.83000000000004, 308.66999999999996]", 0.0
    11, data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg        , "```json
                                                                                  [653, 671, 746, 742]
                                                                                  ```"                                                                                          , "[653, 671, 746, 742]" , "[331, 162, 343.19, 197.94]"                        , 0.0
    12, data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg      , "```json
                                                                                  [662, 631, 742, 693]
                                                                                  ```"                                                                                          , "[662, 631, 742, 693]" , "[114, 78, 125.62, 84.49]"                          , 0.0
    13, data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg, "```json
                                                                                  [499, 435, 956, 580]
                                                                                  ```"                                                                                          , "[499, 435, 956, 580]" , "[532, 695, 686, 1092]"                             , 0.0
    14, data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg       , "```json
                                                                                  [400, 201, 478, 280]
                                                                                  ```"                                                                                          , "[400, 201, 478, 280]" , "[524, 279, 635.88, 334.63]"                        , 0.0
    15, data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg        , "```json
                                                                                  [571, 559, 717, 659]
                                                                                  ```"                                                                                          , "[571, 559, 717, 659]" , "[317, 245, 335.85, 270.38]"                        , 0.0
    16, data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg        , "```json
                                                                                  [289, 380, 347, 422]
                                                                                  ```"                                                                                          , "[289, 380, 347, 422]" , "[79, 71, 92.97, 81.73]"                            , 0.0
    17, data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg      , "```json
                                                                                  [344, 251, 525, 422]
                                                                                  ```"                                                                                          , "[344, 251, 525, 422]" , "[283, 270, 316.89, 315]"                           , 0.0
    18, data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg        , "```json
                                                                                  [338, 463, 461, 578]
                                                                                  ```"                                                                                          , "[338, 463, 461, 578]" , "[227, 114, 252, 136.63]"                           , 0.0
