img_id;text_output;pred_bbox;target_bbox;iou
0;```json [500, 140, 870, 480] ```;[500.0, 140.0, 870.0, 480.0];[213, 39, 254.85, 109];0.0
1;```json [334, 274, 407, 360] ```;[334.0, 274.0, 407.0, 360.0];[249, 283, 317.33, 302.17];0.0
2;```json [614, 375, 686, 455] ```;[614.0, 375.0, 686.0, 455.0];[410, 213, 425.45, 241.18];0.0
3;```json [380, 560, 760, 620] ```;[380.0, 560.0, 760.0, 620.0];[123, 120, 221, 138];0.0
4;```json [490, 535, 540, 575] ```;[490.0, 535.0, 540.0, 575.0];[311, 237, 333.86, 249.14];0.0
5;```json [282, 453, 762, 867] ```;[282.0, 453.0, 762.0, 867.0];[329, 340, 592.12, 591.25];0.15922929469470598
6;```json [602, 301, 706, 401] ```;[602.0, 301.0, 706.0, 401.0];[543, 184, 609.4300000000001, 214];0.0
7;```json [470, 110, 850, 210] ```;[470.0, 110.0, 850.0, 210.0];[364, 76, 419.89, 147.76];0.0
8;```json [641, 715, 689, 755] ```;[641.0, 715.0, 689.0, 755.0];[511, 600, 549, 694];0.0
9;```json [590, 570, 890, 690] ```;[590.0, 570.0, 890.0, 690.0];[864, 774, 1064, 949];0.0
10;```json [302, 235, 608, 400] ```;[302.0, 235.0, 608.0, 400.0];[271, 107, 426.83000000000004, 308.66999999999996];0.12646073756040457
11;```json [648, 551, 712, 608] ```;[648.0, 551.0, 712.0, 608.0];[331, 162, 343.19, 197.94];0.0
12;```json [420, 505, 480, 550] ```;[420.0, 505.0, 480.0, 550.0];[114, 78, 125.62, 84.49];0.0
13;```json [415, 470, 580, 880] ```;[415.0, 470.0, 580.0, 880.0];[532, 695, 686, 1092];0.07405677686226107
14;```json [401, 331, 521, 461] ```;[401.0, 331.0, 521.0, 461.0];[524, 279, 635.88, 334.63];0.0
15;```json [550, 400, 670, 460] ```;[550.0, 400.0, 670.0, 460.0];[317, 245, 335.85, 270.38];0.0
16;```json [ 308, 377, 452, 455 ] ```;[308.0, 377.0, 452.0, 455.0];[79, 71, 92.97, 81.73];0.0
17;```json [375, 405, 420, 450] ```;[375.0, 405.0, 420.0, 450.0];[283, 270, 316.89, 315];0.0
18;```json [388, 372, 448, 432] ```;[388.0, 372.0, 448.0, 432.0];[227, 114, 252, 136.63];0.0
19;```json [685, 535, 765, 610] ```;[685.0, 535.0, 765.0, 610.0];[530, 359, 561.88, 405.25];0.0
20;```json [425, 500, 490, 555] ```;[425.0, 500.0, 490.0, 555.0];[589, 691, 610, 776];0.0
21;```json [1, 376, 588, 572] ```;[620.0, 131224.0, 364560.0, 199628.0];[192, 182, 330.13, 259.82];0.0
22;```json [415, 360, 970, 575] ```;[415.0, 360.0, 970.0, 575.0];[176, 162, 360.7, 256.40999999999997];0.0
