img_id;img_path;text_output;pred_bbox;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;```json [ 152, 528, 576, 896 ] ```;[152.0, 528.0, 576.0, 896.0];[39, 213, 109, 254.85];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;```json [308, 326, 401, 439] ```;[308.0, 326.0, 401.0, 439.0];[283, 249, 302.17, 317.33];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;```json [395, 530, 475, 575] ```;[395.0, 530.0, 475.0, 575.0];[213, 410, 241.18, 425.45];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[576, 386, 682, 856];[576.0, 386.0, 682.0, 856.0];[120, 123, 138, 221];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;```json [445, 480, 500, 540] ```;[445.0, 480.0, 500.0, 540.0];[237, 311, 249.14, 333.86];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;```json [420, 240, 860, 600] ```;[420.0, 240.0, 860.0, 600.0];[340, 329, 591.25, 592.12];0.2510972440172617
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;```json [190, 685, 305, 735] ```;[190.0, 685.0, 305.0, 735.0];[184, 543, 214, 609.4300000000001];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;```json [95, 515, 208, 890] ```;[95.0, 515.0, 208.0, 890.0];[76, 364, 147.76, 419.89];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;```json [360, 670, 440, 710] ```;[360.0, 670.0, 440.0, 710.0];[600, 511, 694, 549];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;```json [650, 710, 810, 850] ```;[650.0, 710.0, 810.0, 850.0];[774, 864, 949, 1064];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;```json [235, 330, 425, 580] ```;[235.0, 330.0, 425.0, 580.0];[107, 271, 308.66999999999996, 426.83000000000004];0.0993619009267924
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;```json [200, 550, 320, 650] ```;[200.0, 550.0, 320.0, 650.0];[162, 331, 197.94, 343.19];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;```json [510, 425, 560, 465] ```;[510.0, 425.0, 560.0, 465.0];[78, 114, 84.49, 125.62];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;```json [420, 450, 920, 600] ```;[420.0, 450.0, 920.0, 600.0];[695, 532, 1092, 686];0.126615799665668
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;```json [500, 395, 650, 500] ```;[500.0, 395.0, 650.0, 500.0];[279, 524, 334.63, 635.88];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;```json [430, 540, 500, 620] ```;[430.0, 540.0, 500.0, 620.0];[245, 317, 270.38, 335.85];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;```json [395, 350, 440, 420] ```;[395.0, 350.0, 440.0, 420.0];[71, 79, 81.73, 92.97];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;```json [523, 408, 588, 443] ```;[523.0, 408.0, 588.0, 443.0];[270, 283, 315, 316.89];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;```json [ 420, 438, 476, 495 ] ```;[420.0, 438.0, 476.0, 495.0];[114, 227, 136.63, 252];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;```json [385, 290, 477, 368] ```;[385.0, 290.0, 477.0, 368.0];[359, 530, 405.25, 561.88];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;```json [400, 330, 470, 390] ```;[400.0, 330.0, 470.0, 390.0];[691, 589, 776, 610];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;```json [419, 0, 522, 650] ```;[259780.0, 0.0, 323640.0, 226850.0];[182, 192, 259.82, 330.13];0.0
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;```json [415, 450, 705, 900] ```;[415.0, 450.0, 705.0, 900.0];[162, 176, 256.40999999999997, 360.7];0.0
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;```json [360, 320, 600, 780] ```;[360.0, 320.0, 600.0, 780.0];[205, 181, 332, 309.34000000000003];0.0
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;```json [320, 250, 580, 700] ```;[320.0, 250.0, 580.0, 700.0];[115, 118, 281, 313.33000000000004];0.0
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;```json [380, 420, 780, 880] ```;[380.0, 420.0, 780.0, 880.0];[289, 437, 491, 626];0.1042699019378824
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;```json [300, 50, 700, 380] ```;[300.0, 50.0, 700.0, 380.0];[469, 169, 739.8399999999999, 559];0.2580437151179597
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;```json [1200, 1500, 1900, 3000] ```;[1200.0, 1500.0, 1900.0, 3000.0];[631, 184, 722, 1170];0.0
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;```json [300, 450, 650, 550] ```;[300.0, 450.0, 650.0, 550.0];[62, 500, 299.78, 588.89];0.0
