img_id;img_path;text_output;pred_bbox;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;{bounding_box: [240, 180, 290, 240]};[240, 180, 290, 240];[213, 39, 254.85, 109];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;{bbox: [155, 319, 203, 367]};[155, 319, 203, 367];[249, 283, 317.33, 302.17];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;{bbox: [408, 234, 430, 256]};[408, 234, 430, 256];[410, 213, 425.45, 241.18];0.13721442266064698
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;{bbox: [55, 122, 127, 219]};[55, 122, 127, 219];[123, 120, 221, 138];0.007369875633348687
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;{bbox: [90, 165, 120, 185]};[90, 165, 120, 185];[311, 237, 333.86, 249.14];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;{x_min:130, y_min:150, x_max:300, y_max:230};;[329, 340, 592.12, 591.25];No predicted bbox found.
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;{x_min:370, y_min:220, x_max:430, y_max:260};;[543, 184, 609.4300000000001, 214];No predicted bbox found.
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;{x_min:260, y_min:260, x_max:370, y_max:320};;[364, 76, 419.89, 147.76];No predicted bbox found.
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;{bbox: [221, 159, 250, 193]};[221, 159, 250, 193];[511, 600, 549, 694];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;{x_min:405, y_min:480, x_max:540, y_max:530};;[864, 774, 1064, 949];No predicted bbox found.
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;{bbox: [183, 262, 367, 297]};[183, 262, 367, 297];[271, 107, 426.83000000000004, 308.66999999999996];0.09737370341588777
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;{x_min:290, y_min:271, x_max:312, y_max:295};;[331, 162, 343.19, 197.94];No predicted bbox found.
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;{ bounding_box: [573, 300, 620, 340] };[573, 300, 620, 340];[114, 78, 125.62, 84.49];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;{bbox: [326, 253, 374, 350]};[326, 253, 374, 350];[532, 695, 686, 1092];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;{bbox: [420, 370, 470, 410]};[420, 370, 470, 410];[524, 279, 635.88, 334.63];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;{bounding_box: [273, 47, 306, 83]};[273, 47, 306, 83];[317, 245, 335.85, 270.38];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;{bounding_box: [300, 350, 340, 400]};[300, 350, 340, 400];[79, 71, 92.97, 81.73];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;{bbox: [377, 148, 416, 180]};[377, 148, 416, 180];[283, 270, 316.89, 315];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;{x_min:441, y_min:189, x_max:475, y_max:211};;[227, 114, 252, 136.63];No predicted bbox found.
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;{bounding_box: [448, 301, 494, 341]};[448, 301, 494, 341];[530, 359, 561.88, 405.25];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;{x_min:346, y_min:127, x_max:397, y_max:159};;[589, 691, 610, 776];No predicted bbox found.
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;{bbox: [70, 220, 280, 310]};[70, 220, 280, 310];[192, 182, 330.13, 259.82];0.13402732348112764
