img_id;text_output;pred_bbox;target_bbox;iou
0;```json [90, 120, 150, 180] ```;[90.0, 120.0, 150.0, 180.0];[213, 39, 254.85, 109];0.0
1;```json [150, 200, 250, 250] ```;[150.0, 200.0, 250.0, 250.0];[249, 283, 317.33, 302.17];0.0
2;```json [120, 50, 150, 70] ```;[120.0, 50.0, 150.0, 70.0];[410, 213, 425.45, 241.18];0.0
3;```json [50, 80, 150, 120] ```;[50.0, 80.0, 150.0, 120.0];[123, 120, 221, 138];0.0
4;```json [150, 250, 200, 300] ```;[150.0, 250.0, 200.0, 300.0];[311, 237, 333.86, 249.14];0.0
5;```json [100, 150, 300, 250] ```;[100.0, 150.0, 300.0, 250.0];[329, 340, 592.12, 591.25];0.0
6;```json [40, 70, 80, 100] ```;[40.0, 70.0, 80.0, 100.0];[543, 184, 609.4300000000001, 214];0.0
7;```json [120, 200, 210, 280] ```;[120.0, 200.0, 210.0, 280.0];[364, 76, 419.89, 147.76];0.0
8;```json [150, 100, 200, 150] ```;[150.0, 100.0, 200.0, 150.0];[511, 600, 549, 694];0.0
9;```json [100, 80, 150, 120] ```;[100.0, 80.0, 150.0, 120.0];[864, 774, 1064, 949];0.0
10;```json [150, 90, 230, 160] ```;[150.0, 90.0, 230.0, 160.0];[271, 107, 426.83000000000004, 308.66999999999996];0.0
11;```json [150, 250, 230, 310] ```;[150.0, 250.0, 230.0, 310.0];[331, 162, 343.19, 197.94];0.0
12;```json [70, 80, 90, 90] ```;[70.0, 80.0, 90.0, 90.0];[114, 78, 125.62, 84.49];0.0
13;```json [100, 150, 160, 200] ```;[100.0, 150.0, 160.0, 200.0];[532, 695, 686, 1092];0.0
14;```json [100, 60, 140, 100] ```;[100.0, 60.0, 140.0, 100.0];[524, 279, 635.88, 334.63];0.0
15;```json [100, 200, 120, 220] ```;[100.0, 200.0, 120.0, 220.0];[317, 245, 335.85, 270.38];0.0
16;```json [70, 60, 130, 100] ```;[70.0, 60.0, 130.0, 100.0];[79, 71, 92.97, 81.73];0.06245754166666669
17;```json [170, 150, 210, 200] ```;[170.0, 150.0, 210.0, 200.0];[283, 270, 316.89, 315];0.0
18;```json [200, 150, 250, 200] ```;[200.0, 150.0, 250.0, 200.0];[227, 114, 252, 136.63];0.0
19;```json [200, 100, 280, 160] ```;[200.0, 100.0, 280.0, 160.0];[530, 359, 561.88, 405.25];0.0
20;```json [150, 250, 200, 300] ```;[150.0, 250.0, 200.0, 300.0];[589, 691, 610, 776];0.0
21;```json [150, 200, 300, 220] ```;[150.0, 200.0, 300.0, 220.0];[192, 182, 330.13, 259.82];0.18637919126030697
22;```json [70, 150, 130, 200] ```;[70.0, 150.0, 130.0, 200.0];[176, 162, 360.7, 256.40999999999997];0.0
