img_id;img_path;text_output;pred_bboxes;target_bboxes;ious;input_tokens;output_tokens
0;grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg;```json {hand: [440, 250, 560, 900]} ```;{'hand': [0.25, 0.44, 0.9, 0.56]};{'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}};{'hand': 0.16239074446236546};430;28
1;grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg;```json {hand: [260, 340, 510, 610]} ```;{'hand': [0.34, 0.26, 0.61, 0.51]};{'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}};{'hand': 0.5513106215736755};430;28
2;grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg;To effectively vaccinate a patient, a robotic hand would need to secure the syringe and operate its plunger. The optimal placements for the robotic index finger and thumb are as follows: 1. **Thumb Placement:** The thumb is typically placed on the top of the plunger, which is the white circular disc at the far right end of the syringe. This allows for the pushing motion required to dispense the medication. 2. **Index Finger Placement:** The index finger (and often other fingers like the middle finger) provides stability by gripping the flanges (wings) of the syringe barrel. This provides a counter-force to the thumb's action, ensuring controlled injection. For a robotic finger with a continuous contact region, encompassing both the upper and lower flanges, as well as the immediate barrel area between them, would provide the most stable and effective grip. Based on this analysis and detailed measurement from the image: * **Image Dimensions:** 900 pixels wide by 675 pixels high. * **Coordinates Format:** Normalized (0-1000), [y_min, x_min, y_max, x_max]. **Calculated Bounding Boxes:** * **Thumb (Plunger Head):** * This is the white disc at the rightmost end. * Raw coordinates: `[y_min: 319, x_min: 775, y_max: 397, x_max: 865]` * Normalized coordinates: * y_min: (319 / 675) * 1000 = 472.59 ≈ 473 * x_min: (775 / 900) * 1000 = 861.11 ≈ 861 * y_max: (397 / 675) * 1000 = 588.15 ≈ 588 * x_max: (865 / 900) * 1000 = 961.11 ≈ 961 * **Index Finger (Flanges/Wings and adjacent barrel):** * This region encompasses the clear plastic wings (flanges) and the part of the syringe barrel they attach to, which is where fingers would brace the syringe. * Raw coordinates: `[y_min: 275, x_min: 590, y_max: 435, x_max: 775]` * Normalized coordinates: * y_min: (275 / 675) * 1000 = 407.41 ≈ 407 * x_min: (590 / 900) * 1000 = 655.56 ≈ 656 * y_max: (435 / 675) * 1000 = 644.44 ≈ 644 * x_max: (775 / 900) * 1000 = 861.11 ≈ 861 ```json { index: [407, 656, 644, 861], thumb: [473, 861, 588, 961] } ```;{'index': [0.656, 0.407, 0.861, 0.644], 'thumb': [0.861, 0.473, 0.961, 0.588]};{'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}};{'index': 0.3029093890376539, 'thumb': 0.0};446;782
3;grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg;```json {hand: [440, 320, 850, 850]} ```;{'hand': [0.32, 0.44, 0.85, 0.85]};{'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}};{'hand': 0.8305421635794635};426;28
4;grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg;```json {hand: [50, 270, 250, 930]} ```;{'hand': [0.27, 0.05, 0.93, 0.25]};{'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}};{'hand': 0.2526122378117002};430;27
5;grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg;```json {hand: [48, 308, 108, 618]} ```;{'hand': [0.308, 0.048, 0.618, 0.108]};{'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}};{'hand': 0.5401822700911351};457;27
6;grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg;The most effective and natural placement for the pad of a robotic index finger to operate this glue gun would be on the upper-central part of the red trigger. This position allows for optimal leverage and control to depress the trigger and dispense glue. The bounding box for this placement is: {index: [450, 480, 550, 600]};{'index': [0.48, 0.45, 0.6, 0.55]};{'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}};{'index': 0.1020650767434277};457;81
7;grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg;```json {hand: [60, 436, 515, 764]} ```;{'hand': [0.436, 0.06, 0.764, 0.515]};{'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}};{'hand': 0.35954213911097344};426;27
8;grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg;```json {index: [400, 450, 520, 570]} ```;{'index': [0.45, 0.4, 0.57, 0.52]};{'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}};{'index': 0.0495252679938742};452;28
9;grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg;```json {hand: [500, 700, 605, 730]} ```;{'hand': [0.7, 0.5, 0.73, 0.605]};{'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}};{'hand': 0.0};446;28
