img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
0;grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg;{'hand': [0.023946434020996093, 0.440349365234375, 0.9769722290039062, 0.6239756469726563]};{'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}};{'hand': 0.458235615928662};['entire hand grasping point on the allen key']
1;grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg;{'hand': [0.36970147705078127, 0.19718211364746094, 1.0, 0.5850147705078125]};{'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}};{'hand': 0.2735597317241458};['entire hand grasping point on the allen key']
2;grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg;{'index': [0.20285118103027344, 0.2889024963378906, 0.8341025390625, 0.7377955932617187], 'thumb': [0.6927123413085937, 0.48255813598632813, 0.7244519653320313, 0.5283320922851562]};{'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}};{'index': 0.19546945664416893, 'thumb': 0.0};['index finger grasping point on the syringe', 'thumb finger grasping point on the syringe']
3;grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg;{'hand': [0.09863774108886719, 0.21424690246582032, 0.4565150146484375, 0.5224097900390625]};{'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}};{'hand': 0.039609951056494334};['entire hand grasping point on the screwdriver']
4;grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg;{'hand': [0.2478730926513672, 0.006880685806274414, 1.0, 0.2964454345703125]};{'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}};{'hand': 0.2855904708291694};['entire hand grasping point on the allen key']
5;grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg;{'hand': [0.35822265625, 0.8554343872070312, 0.6160291137695313, 0.9778658447265625]};{'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}};{'hand': 0.0};['entire hand grasping point on the top drawer with a horizontal bar handle']
6;grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg;{'index': [0.21448916625976563, 0.009649843215942382, 0.76203955078125, 0.89055908203125]};{'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}};{'index': 0.029418429949419535};['index finger pressing point on the glue gun']
7;grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg;{'hand': [0.40218994140625, 0.09515884399414062, 0.5812957153320313, 0.8613056030273437]};{'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}};{'hand': 0.6080268053580419};['entire hand grasping point on the hammer']
8;grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg;{'index': [0.16053855895996094, 0.033099563598632815, 0.8764772338867187, 0.91087255859375]};{'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}};{'index': 0.004349717372731624};['index finger pressing point on the power drill']
9;grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg;{'hand': [0.7827764282226563, 0.05903071212768555, 0.8398712158203125, 0.940760986328125]};{'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}};{'hand': 0.0};['entire hand grasping point on the door with a vertical bar handle']
10;grasp_vlm_dataset/darts4_jpg.rf.e185762bf6904ef83bb9ff868a62c979.jpg;{'index': [0.7961867065429687, 0.47372412109375, 0.8532298583984375, 0.513778076171875], 'thumb': [0.40501849365234377, 0.5018896484375, 0.4401279602050781, 0.5219661865234375]};{'index': {'x_1': 0.451, 'y_1': 0.491, 'x_2': 0.5575, 'y_2': 0.5035}, 'thumb': {'x_1': 0.455, 'y_1': 0.518, 'x_2': 0.556, 'y_2': 0.5325}};{'index': 0.0, 'thumb': 0.0};['index finger grasping point on the dart', 'thumb finger grasping point on the dart']
11;grasp_vlm_dataset/bowl_ball9_jpg.rf.0a63e27d943cccfc0fc830f2e4e163af.jpg;{'index': [0.3188891296386719, 0.2826347351074219, 0.46258724975585935, 0.35876654052734375], 'thumb': [0.06828610229492188, 0.5153145141601563, 0.15855751037597657, 0.6231797485351562]};{'thumb': {'x_1': 0.067, 'y_1': 0.521, 'x_2': 0.1485, 'y_2': 0.628}, 'index': {'x_1': 0.618, 'y_1': 0.629, 'x_2': 0.7445, 'y_2': 0.7465}};{'index': 0.0, 'thumb': 0.7987435783781438};['index finger grasping point on the bowling ball', 'thumb finger grasping point on the bowling ball']
12;grasp_vlm_dataset/screwdriver_12_jpg.rf.ab37f13129d7e7b02a4ca26782785fb6.jpg;{'hand': [0.4498081970214844, 0.0448031120300293, 0.5555601806640625, 0.6090634155273438]};{'handle': {'x_1': 0.463, 'y_1': 0.054, 'x_2': 0.5435, 'y_2': 0.4915}};{'hand': 0.5902091216389921};['entire hand grasping point on the screwdriver']
13;grasp_vlm_dataset/drill_4_jpg.rf.eee2451241d6df5a9586a83792685b3c.jpg;{'index': [0.07000148010253907, 0.10790193176269532, 0.92259423828125, 0.8663925170898438]};{'index': {'x_1': 0.45, 'y_1': 0.369, 'x_2': 0.5025, 'y_2': 0.39}};{'index': 0.0017048523169008343};['index finger pressing point on the power drill']
14;grasp_vlm_dataset/allen_19_jpg.rf.864dd896f0a038dd96e4470bcfd91f6c.jpg;{'hand': [0.2680503234863281, 0.3274798583984375, 0.80799951171875, 0.630957275390625]};{'handle': {'x_1': 0.28, 'y_1': 0.361, 'x_2': 0.6515, 'y_2': 0.632}};{'hand': 0.6105891999558841};['entire hand grasping point on the allen key']
15;grasp_vlm_dataset/bolt_cutters5_jpeg.rf.dfd7e7d9d37af37ca6e0f3ff9c35b7fe.jpg;{'left': [0.33537872314453127, 0.012199669837951661, 0.649826904296875, 0.9826861572265625], 'right': [0.4833407897949219, 0.646709228515625, 0.596310791015625, 0.7812273559570313]};{'right': {'x_1': 0.581, 'y_1': 0.057, 'x_2': 0.656, 'y_2': 0.222}, 'left': {'x_1': 0.331, 'y_1': 0.01, 'x_2': 0.425, 'y_2': 0.1925}};{'left': 0.05277807859373847, 'right': 0.0};['left hand grasping point on the bolt cutters', 'right hand grasping point on the bolt cutters']
16;grasp_vlm_dataset/bot_rnd4_jpg.rf.76c8799a9e03f401270000dc4691e1e3.jpg;{'hand': [0.08157342529296875, 0.7173265380859375, 0.96740576171875, 1.0]};{'handle': {'x_1': 0.409, 'y_1': 0.701, 'x_2': 0.537, 'y_2': 0.815}};{'hand': 0.04951542298244143};['entire hand grasping point on the bottom drawer with a round handle']
17;grasp_vlm_dataset/wrench_8_jpg.rf.adc939651c9fb5bc06b5fc7b898bdcc0.jpg;{'hand': [0.05009631729125977, 0.7085203857421875, 0.28342633056640626, 0.9373270263671875]};{'handle': {'x_1': 0.173, 'y_1': 0.18, 'x_2': 0.894, 'y_2': 0.821}};{'hand': 0.024686992873823185};['entire hand grasping point on the wrench']
18;grasp_vlm_dataset/wrench_13_jpg.rf.40b1fa117433ca5a119417d93bb81c0f.jpg;{'hand': [0.3118858642578125, 0.13363519287109374, 0.6503075561523437, 0.8025751342773437]};{'handle': {'x_1': 0.458, 'y_1': 0.301, 'x_2': 0.6465, 'y_2': 0.795}};{'hand': 0.41133246041272264};['entire hand grasping point on the wrench']
19;grasp_vlm_dataset/wrench_16_jpg.rf.12243ea8b26ceccdd1e8319ebcf2e0f0.jpg;{'hand': [0.06933859252929687, 0.2665492858886719, 0.8694540405273438, 0.7370193481445313]};{'handle': {'x_1': 0.27, 'y_1': 0.277, 'x_2': 0.863, 'y_2': 0.6205}};{'hand': 0.541123987697952};['entire hand grasping point on the wrench']
20;grasp_vlm_dataset/wrench_1_jpg.rf.7d53a6ddd00fecc434ec65c123a93f3d.jpg;{'hand': [0.009214133262634277, 0.27480108642578127, 0.9780852661132813, 0.7266036987304687]};{'handle': {'x_1': 0.427, 'y_1': 0.441, 'x_2': 0.975, 'y_2': 0.7015}};{'hand': 0.3261170701854873};['entire hand grasping point on the wrench']
21;grasp_vlm_dataset/drill_10_jpg.rf.630a7c5082ccf4850afde2ebfcc67798.jpg;{'index': [0.414776123046875, 0.5944050903320313, 0.6308090209960937, 0.8439596557617187]};{'index': {'x_1': 0.466, 'y_1': 0.406, 'x_2': 0.4885, 'y_2': 0.4695}};{'index': 0.0};['index finger pressing point on the power drill']
22;grasp_vlm_dataset/rnd_door13_jpg.rf.ae363c424ddbf2d4d88e5f2b6f4efdb8.jpg;{'hand': [0.41846331787109375, 0.3661712646484375, 0.723245361328125, 0.634739501953125]};{'handle': {'x_1': 0.423, 'y_1': 0.417, 'x_2': 0.6295, 'y_2': 0.638}};{'hand': 0.5448232060584595};['entire hand grasping point on the door with a round handle']
23;grasp_vlm_dataset/glue_15_jpg.rf.6a95976744a461ee77b747f9e9c0ea1d.jpg;{'index': [0.21497726440429688, 0.06129932403564453, 0.896388427734375, 0.918488037109375]};{'index': {'x_1': 0.53, 'y_1': 0.55, 'x_2': 0.576, 'y_2': 0.692}};{'index': 0.01118305569921242};['index finger pressing point on the glue gun']
24;grasp_vlm_dataset/nail_16_jpg.rf.1b707bdb9c03991344eda63f6f11fb61.jpg;{'index': [0.10200181579589844, 0.05490046691894531, 0.8778082275390625, 0.917542724609375]};{'index': {'x_1': 0.451, 'y_1': 0.348, 'x_2': 0.512, 'y_2': 0.4}};{'index': 0.004739680698829261};['index finger pressing point on the nail gun']
25;grasp_vlm_dataset/syringe17_jpg.rf.390c0d625bb7b8c6d48f8c95621bc59f.jpg;{'index': [0.040094078063964846, 0.11957693481445313, 0.962099365234375, 0.7584243774414062], 'thumb': [0.23643109130859374, 0.31651419067382813, 0.2882623901367187, 0.38984829711914065]};{'thumb': {'x_1': 0.048, 'y_1': 0.124, 'x_2': 0.102, 'y_2': 0.214}, 'index': {'x_1': 0.233, 'y_1': 0.206, 'x_2': 0.334, 'y_2': 0.393}};{'index': 0.032065085938739336, 'thumb': 0.0};['index finger grasping point on the syringe', 'thumb finger grasping point on the syringe']
26;grasp_vlm_dataset/bowl_ball5_jpg.rf.892f5a31c5b2fbe2c81bc9fe8b886e36.jpg;{'index': [0.47956988525390626, 0.06960725402832031, 0.9579956665039062, 0.7235524291992188], 'thumb': [0.5644325561523438, 0.3654822998046875, 0.623643310546875, 0.4719978332519531]};{'thumb': {'x_1': 0.554, 'y_1': 0.366, 'x_2': 0.618, 'y_2': 0.4735}, 'index': {'x_1': 0.57, 'y_1': 0.084, 'x_2': 0.673, 'y_2': 0.1495}};{'index': 0.021563666678708477, 'thumb': 0.7561805748127384};['index finger grasping point on the bowling ball', 'thumb finger grasping point on the bowling ball']
