img_id; img_path                                                                     ; pred_bboxes                                                                                                                                                                                  ; target_bboxes                                                                                                                             ; ious                                                           ; prompts
     0; grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg        ; {'hand': [0.039306282043457035, 0.42291937255859374, 0.787070556640625, 0.6283441772460937]}                                                                                                 ; {'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}}                                                                     ; {'hand': 0.3613291895987033}                                   ; [['Best placement for the entire hand on the allen key']]
     1; grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg        ; {'hand': [0.342314208984375, 0.20467037963867188, 0.555868896484375, 0.560415771484375]}                                                                                                     ; {'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}}                                                                    ; {'hand': 0.8993911992817898}                                   ; [['Best placement for the entire hand on the allen key']]
     2; grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg      ; {'index': [0.1916351776123047, 0.28274111938476565, 0.8379686279296875, 0.742685546875], 'thumb': [0.18784156799316407, 0.2827391357421875, 0.8383190307617188, 0.742359375]}                ; {'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}} ; {'index': 0.1880557925582228, 'thumb': 0.06760425206565095}    ; [['Best placement for the index finger on the syringe'], ['Best placement for the thumb finger on the syringe']]
     3; grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg  ; {'hand': [0.11432469177246093, 0.19422373962402345, 0.824987060546875, 0.8756345825195313]}                                                                                                  ; {'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}}                                                                      ; {'hand': 0.44511852386894907}                                  ; [['Best placement for the entire hand on the screwdriver']]
     4; grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg        ; {'hand': [0.11487653350830078, 0.012761855125427246, 0.86070556640625, 0.760721923828125]}                                                                                                   ; {'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}}                                                                    ; {'hand': 0.1054199037688856}                                   ; [['Best placement for the entire hand on the allen key']]
     5; grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg       ; {'hand': [0.1882136688232422, 0.24362814331054689, 0.9338193359375, 0.9870167846679687]}                                                                                                     ; {'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}}                                                                      ; {'hand': 0.0}                                                  ; [['Best placement for the entire hand on the top drawer with a horizontal bar handle']]
     6; grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg        ; {'index': [0.21294279479980469, 0.09031265258789062, 0.7809315795898437, 0.8368272705078125]}                                                                                                ; {'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}}                                                                     ; {'index': 0.03346544984689825}                                 ; [['Best placement for the index finger on the glue gun']]
     7; grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg       ; {'hand': [0.3999677429199219, 0.08845784759521484, 0.5952794189453126, 0.8361800537109375]}                                                                                                  ; {'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}}                                                                     ; {'hand': 0.6579062332343523}                                   ; [['Best placement for the entire hand on the hammer']]
     8; grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg       ; {'index': [0.0, 0.0, 0.0, 0.0]}                                                                                                                                                              ; {'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}}                                                                       ; {'index': 0.0}                                                 ; [['Best placement for the index finger on the power drill']]
     9; grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg ; {'hand': [0.21394198608398438, 0.1630960998535156, 0.792233642578125, 0.9120179443359375]}                                                                                                   ; {'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}}                                                                     ; {'hand': 0.0039084935340372665}                                ; [['Best placement for the entire hand on the door with a vertical bar handle']]
    10; grasp_vlm_dataset/darts4_jpg.rf.e185762bf6904ef83bb9ff868a62c979.jpg         ; {'index': [0.00014125704765319825, 0.7360426025390625, 0.1150931625366211, 0.9012520141601562], 'thumb': [0.0, 0.0, 0.0, 0.0]}                                                               ; {'index': {'x_1': 0.451, 'y_1': 0.491, 'x_2': 0.5575, 'y_2': 0.5035}, 'thumb': {'x_1': 0.455, 'y_1': 0.518, 'x_2': 0.556, 'y_2': 0.5325}} ; {'index': 0.0, 'thumb': 0.0}                                   ; [['Best placement for the index finger on the dart'], ['Best placement for the thumb finger on the dart']]
    11; grasp_vlm_dataset/bowl_ball9_jpg.rf.0a63e27d943cccfc0fc830f2e4e163af.jpg     ; {'index': [0.13794793701171876, 0.1491508331298828, 0.8855026245117188, 0.7528751220703125], 'thumb': [0.13794793701171876, 0.1491508331298828, 0.8855026245117188, 0.7528751220703125]}     ; {'thumb': {'x_1': 0.067, 'y_1': 0.521, 'x_2': 0.1485, 'y_2': 0.628}, 'index': {'x_1': 0.618, 'y_1': 0.629, 'x_2': 0.7445, 'y_2': 0.7465}} ; {'index': 0.03293417390384149, 'thumb': 0.0024603403626541768} ; [['Best placement for the index finger on the bowling ball'], ['Best placement for the thumb finger on the bowling ball']]
    12; grasp_vlm_dataset/screwdriver_12_jpg.rf.ab37f13129d7e7b02a4ca26782785fb6.jpg ; {'hand': [0.4575689392089844, 0.1512459259033203, 0.5475087280273437, 0.5093538513183594]}                                                                                                   ; {'handle': {'x_1': 0.463, 'y_1': 0.054, 'x_2': 0.5435, 'y_2': 0.4915}}                                                                    ; {'hand': 0.6841379338505038}                                   ; [['Best placement for the entire hand on the screwdriver']]
