img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
0;grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg;{'hand': [0.02280006408691406, 0.42528726196289063, 0.987615234375, 0.6261560668945313]};{'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}};{'hand': 0.41378211764287043};[['entire hand grasping point on the allen key']]
1;grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg;{'hand': [0.3356959533691406, 0.20917530822753908, 0.5544908447265625, 0.5835390014648437]};{'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}};{'hand': 0.9327259989444353};[['entire hand grasping point on the allen key']]
2;grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg;{'index': [0.19194357299804687, 0.285900390625, 0.2815189208984375, 0.38508316040039064], 'thumb': [0.19194357299804687, 0.285900390625, 0.2815189208984375, 0.38508316040039064]};{'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}};{'index': 0.0, 'thumb': 0.0};[['index finger grasping point on the syringe'], ['thumb finger grasping point on the syringe']]
3;grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg;{'hand': [0.3415898132324219, 0.405717529296875, 0.8208005981445312, 0.8654215087890625]};{'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}};{'hand': 0.9776546943689732};[['entire hand grasping point on the screwdriver']]
4;grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg;{'hand': [0.31694580078125, 0.0006145238876342773, 0.9995817260742188, 0.2995732727050781]};{'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}};{'hand': 0.30774086388354044};[['entire hand grasping point on the allen key']]
5;grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg;{'hand': [0.0, 0.4563201904296875, 0.077970458984375, 0.7916243286132812]};{'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}};{'hand': 0.0};[['entire hand grasping point on the top drawer with a horizontal bar handle']]
6;grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg;{'index': [0.2514845428466797, 0.8592859497070312, 0.2953320007324219, 0.9495467529296875]};{'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}};{'index': 0.0};[['index finger pressing point on the glue gun']]
7;grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg;{'hand': [0.40517205810546875, 0.08882282257080078, 0.58834814453125, 0.6074757690429687]};{'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}};{'hand': 0.904490685087773};[['entire hand grasping point on the hammer']]
8;grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg;{'index': [0.5162054443359375, 0.03622703552246094, 0.8750830688476563, 0.8981687622070312]};{'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}};{'index': 0.008836795225031993};[['index finger pressing point on the power drill']]
9;grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg;{'hand': [0.21649113464355468, 0.06539149475097657, 0.8382225341796875, 0.9305465087890625]};{'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}};{'hand': 0.0031469952841608334};[['entire hand grasping point on the door with a vertical bar handle']]
10;grasp_vlm_dataset/darts4_jpg.rf.e185762bf6904ef83bb9ff868a62c979.jpg;{'index': [0.6775623168945313, 0.41608013916015624, 0.8562128295898438, 0.6149060668945312], 'thumb': [0.6775623168945313, 0.41608013916015624, 0.8562128295898438, 0.6149060668945312]};{'index': {'x_1': 0.451, 'y_1': 0.491, 'x_2': 0.5575, 'y_2': 0.5035}, 'thumb': {'x_1': 0.455, 'y_1': 0.518, 'x_2': 0.556, 'y_2': 0.5325}};{'index': 0.0, 'thumb': 0.0};[['index finger grasping point on the dart'], ['thumb finger grasping point on the dart']]
11;grasp_vlm_dataset/bowl_ball9_jpg.rf.0a63e27d943cccfc0fc830f2e4e163af.jpg;{'index': [0.6374855346679688, 0.6269033813476562, 0.756461181640625, 0.7053922729492188], 'thumb': [0.6374855346679688, 0.6269033813476562, 0.756461181640625, 0.7053922729492188]};{'thumb': {'x_1': 0.067, 'y_1': 0.521, 'x_2': 0.1485, 'y_2': 0.628}, 'index': {'x_1': 0.618, 'y_1': 0.629, 'x_2': 0.7445, 'y_2': 0.7465}};{'index': 0.5100835876659651, 'thumb': 0.0};[['index finger grasping point on the bowling ball'], ['thumb finger grasping point on the bowling ball']]
12;grasp_vlm_dataset/screwdriver_12_jpg.rf.ab37f13129d7e7b02a4ca26782785fb6.jpg;{'hand': [0.46660385131835935, 0.37612875366210935, 0.53779443359375, 0.4979371032714844]};{'handle': {'x_1': 0.463, 'y_1': 0.054, 'x_2': 0.5435, 'y_2': 0.4915}};{'hand': 0.23021396536524516};[['entire hand grasping point on the screwdriver']]
13;grasp_vlm_dataset/drill_4_jpg.rf.eee2451241d6df5a9586a83792685b3c.jpg;{'index': [0.32347036743164065, 0.5715769653320313, 0.5861581420898437, 0.8623382568359375]};{'index': {'x_1': 0.45, 'y_1': 0.369, 'x_2': 0.5025, 'y_2': 0.39}};{'index': 0.0};[['index finger pressing point on the power drill']]
14;grasp_vlm_dataset/allen_19_jpg.rf.864dd896f0a038dd96e4470bcfd91f6c.jpg;{'hand': [0.279572265625, 0.3480306396484375, 0.80320361328125, 0.6325565795898438]};{'handle': {'x_1': 0.28, 'y_1': 0.361, 'x_2': 0.6515, 'y_2': 0.632}};{'hand': 0.6757415196864672};[['entire hand grasping point on the allen key']]
