img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
0;grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg;{'hand': [0.039416576385498045, 0.4221083679199219, 0.7871651611328125, 0.6281315307617188]};{'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}};{'hand': 0.36046919329081956};[['entire hand grasping point on the allen key']]
1;grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg;{'hand': [0.3399423828125, 0.21357649230957032, 0.55511572265625, 0.57019775390625]};{'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}};{'hand': 0.9146498166743852};[['entire hand grasping point on the allen key']]
2;grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg;{'index': [0.19145100402832033, 0.2825745544433594, 0.8376890258789063, 0.7427335205078125], 'thumb': [0.19145100402832033, 0.2825745544433594, 0.8376890258789063, 0.7427335205078125]};{'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}};{'index': 0.187995872668721, 'thumb': 0.0675123803831297};[['index finger grasping point on the syringe'], ['thumb finger grasping point on the syringe']]
3;grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg;{'hand': [0.11438713073730469, 0.1921192626953125, 0.8261033325195313, 0.878132568359375]};{'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}};{'hand': 0.44147756204513366};[['entire hand grasping point on the screwdriver']]
4;grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg;{'hand': [0.11461267852783204, 0.012762165069580078, 0.8609141845703125, 0.760725341796875]};{'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}};{'hand': 0.10535283233109546};[['entire hand grasping point on the allen key']]
5;grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg;{'hand': [0.1863500213623047, 0.2540894012451172, 0.9119447631835937, 0.9867989501953125]};{'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}};{'hand': 0.0};[['entire hand grasping point on the top drawer with a horizontal bar handle']]
6;grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg;{'index': [0.21412179565429687, 0.11519789886474609, 0.7722128295898437, 0.8613820190429687]};{'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}};{'index': 0.0340740452791507};[['index finger pressing point on the glue gun']]
7;grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg;{'hand': [0.1474766082763672, 0.23826429748535155, 0.7856011962890626, 0.9493563842773437]};{'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}};{'hand': 0.15077545673715465};[['entire hand grasping point on the hammer']]
8;grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}};{'index': 0.0};[['index finger pressing point on the power drill']]
9;grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg;{'hand': [0.720029541015625, 0.5217923583984375, 0.7693927612304687, 0.6535764770507813]};{'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}};{'hand': 0.2602113661591079};[['entire hand grasping point on the door with a vertical bar handle']]
