img_id;text_output;pred_bbox;target_bbox;iou
0;```json [[220, 80], [320, 160]] ```;[220.0, 80.0, 320.0, 160.0];[213, 39, 254.85, 109];0.10189185238208057
1;```json [[245, 170], [295, 220]] ```;[245.0, 170.0, 295.0, 220.0];[249, 283, 317.33, 302.17];0.0
2;```json [[656, 351], [692, 387]] ```;[656.0, 351.0, 692.0, 387.0];[410, 213, 425.45, 241.18];0.0
3;```json [[310, 215], [470, 295]] ```;[310.0, 215.0, 470.0, 295.0];[123, 120, 221, 138];0.0
4;```json [[549, 270], [595, 316]] ```;[549.0, 270.0, 595.0, 316.0];[311, 237, 333.86, 249.14];0.0
5;```json [[240, 240], [450, 320]] ```;[240.0, 240.0, 450.0, 320.0];[329, 340, 592.12, 591.25];0.0
6;```json [[365, 113], [405, 153]] ```;[365.0, 113.0, 405.0, 153.0];[543, 184, 609.4300000000001, 214];0.0
7;```json [[224, 118], [369, 209]] ```;[224.0, 118.0, 369.0, 209.0];[364, 76, 419.89, 147.76];0.008723759482574124
8;```json [[480, 320], [520, 360]] ```;[480.0, 320.0, 520.0, 360.0];[511, 600, 549, 694];0.0
9;```json [[330, 330], [410, 380]] ```;[330.0, 330.0, 410.0, 380.0];[864, 774, 1064, 949];0.0
10;```json [160, 120, 360, 220] ```;[160.0, 120.0, 360.0, 220.0];[271, 107, 426.83000000000004, 308.66999999999996];0.2092825703895295
11;```json [470, 220, 520, 270] ```;[470.0, 220.0, 520.0, 270.0];[331, 162, 343.19, 197.94];0.0
12;```json [230, 180, 280, 230] ```;[230.0, 180.0, 280.0, 230.0];[114, 78, 125.62, 84.49];0.0
13;```json [[210, 300], [310, 400]] ```;[210.0, 300.0, 310.0, 400.0];[532, 695, 686, 1092];0.0
14;```json [[330, 182], [375, 228]] ```;[330.0, 182.0, 375.0, 228.0];[524, 279, 635.88, 334.63];0.0
15;```json [310, 230, 350, 270] ```;[310.0, 230.0, 350.0, 270.0];[317, 245, 335.85, 270.38];0.2932185472164308
16;```json [260, 140, 300, 180] ```;[260.0, 140.0, 300.0, 180.0];[79, 71, 92.97, 81.73];0.0
17;```json [[291, 279], [335, 279], [335, 323], [291, 323]] ```;[335.0, 323.0, 291.0, 323.0];[283, 270, 316.89, 315];0.0
18;```json [[295, 142], [335, 182]] ```;[295.0, 142.0, 335.0, 182.0];[227, 114, 252, 136.63];0.0
19;```json [475, 210, 515, 250] ```;[475.0, 210.0, 515.0, 250.0];[530, 359, 561.88, 405.25];0.0
20;```json [[320, 420], [360, 460]] ```;[320.0, 420.0, 360.0, 460.0];[589, 691, 610, 776];0.0
21;```json [[10, 140, 200, 240]] ```;[10.0, 140.0, 200.0, 240.0];[192, 182, 330.13, 259.82];0.0158441392354819
22;```json [[260, 220], [460, 300]] ```;[260.0, 220.0, 460.0, 300.0];[176, 162, 360.7, 256.40999999999997];0.12315616115527026
23;```json [[200, 250], [400, 400]] ```;[200.0, 250.0, 400.0, 400.0];[181, 205, 309.34000000000003, 332];0.2401577144265308
24;```json [[230, 120], [470, 190]] ```;[230.0, 120.0, 470.0, 190.0];[118, 115, 313.33000000000004, 281];0.13442899652652313
25;```json [[372, 211], [504, 324]] ```;[372.0, 211.0, 504.0, 324.0];[437, 289, 626, 491];0.04620780705038523
26;```json [[103, 257], [245, 339], [245, 257], [103, 339]] ```;[245.0, 257.0, 103.0, 339.0];[169, 469, 559, 739.8399999999999];0.0
27;```json [[10, 240, 480, 300]] ```;[10.0, 240.0, 480.0, 300.0];[184, 631, 1170, 722];0.0
28;```json [[459, 155], [553, 269]] ```;[459.0, 155.0, 553.0, 269.0];[500, 62, 588.89, 299.78];0.23409291563935256
29;```json [[130, 60], [230, 160]] ```;[130.0, 60.0, 230.0, 160.0];[93, 33, 125.82, 68.16];0.0
30;```json [[250, 240], [510, 310]] ```;[250.0, 240.0, 510.0, 310.0];[306, 403, 691, 700];0.0
31;```json [345, 225, 385, 265] ```;[345.0, 225.0, 385.0, 265.0];[678, 620, 742, 646];0.0
32;```json [[233, 105, 333, 400]] ```;[233.0, 105.0, 333.0, 400.0];[129, 54, 195, 368];0.0
33;```json [[350, 50], [500, 150]] ```;[350.0, 50.0, 500.0, 150.0];[805, 195, 1862.5, 567.5];0.0
34;```json [[335, 180], [385, 230]] ```;[335.0, 180.0, 385.0, 230.0];[110, 97, 137.34, 123.1];0.0
35;```json { x_min: 100, y_min: 150, x_max: 200, y_max: 300 } ```;[100.0, 150.0, 200.0, 300.0];[140, 282, 222, 579];0.028217588963787427
36;```json [[298, 168], [364, 246]] ```;[298.0, 168.0, 364.0, 246.0];[664, 104, 750.87, 354];0.0
37;```json [[461, 165], [616, 216]] ```;[461.0, 165.0, 616.0, 216.0];[1388, 1045, 2438, 1485];0.0
38;```json [[149, 12], [298, 53]] ```;[149.0, 12.0, 298.0, 53.0];[217, 14, 581.1700000000001, 105.66];0.08695335701367676
39;```json [290, 160, 340, 210] ```;[290.0, 160.0, 340.0, 210.0];[276, 141, 313.33, 162];0.014413379174427829
40;```json [250, 200, 300, 250] ```;[250.0, 200.0, 300.0, 250.0];[407, 116, 423.67, 177.66];0.0
41;```json [310, 230, 350, 270] ```;[310.0, 230.0, 350.0, 270.0];[290, 487, 424.15999999999997, 537];0.0
42;```json [[275, 225], [370, 340]] ```;[275.0, 225.0, 370.0, 340.0];[341, 379, 381.63, 592.13];0.0
43;```json [[315, 615], [387, 872]] ```;[315.0, 615.0, 387.0, 872.0];[308, 686, 411, 1165];0.24595493030175025
44;```json [[244.7, 167.0], [294.8, 167.3], [294.8, 205.4], [244.7, 205.4]] ```;[294.8, 205.4, 244.7, 205.4];[430, 230, 483, 298];0.0
45;```json [[236, 260], [321, 387]] ```;[236.0, 260.0, 321.0, 387.0];[432, 500, 518, 967];0.0
46;```json [100, 270, 500, 330] ```;[100.0, 270.0, 500.0, 330.0];[143, 550, 855.5, 619.17];0.0
47;```json [[424, 293], [464, 333]] ```;[424.0, 293.0, 464.0, 333.0];[679, 429, 708.28, 506.86];0.0
48;```json [[30, 60], [230, 140]] ```;[30.0, 60.0, 230.0, 140.0];[33, 32, 119.25, 113.75];0.25174789573717077
49;```json [[230, 240], [280, 240], [280, 290], [230, 290]] ```;[280.0, 290.0, 230.0, 290.0];[138, 233, 180.5, 382.16999999999996];0.0
50;```json [100, 150, 300, 250] ```;[100.0, 150.0, 300.0, 250.0];[50, 55, 117.96, 94.07];0.0
51;```json [[330, 280], [380, 330]] ```;[330.0, 280.0, 380.0, 330.0];[935, 765, 986.25, 811.25];0.0
52;```json [[467, 210], [488, 236]] ```;[467.0, 210.0, 488.0, 236.0];[357, 221, 377.71, 232.43];0.0
53;```json [[280, 180], [320, 220]] ```;[280.0, 180.0, 320.0, 220.0];[104, 66, 116.96000000000001, 85.26];0.0
54;```json [[350, 100], [380, 130]] ```;[350.0, 100.0, 380.0, 130.0];[244, 42, 267.12, 47.31];0.0
55;```json [426, 220, 466, 260] ```;[426.0, 220.0, 466.0, 260.0];[646, 437, 661, 509.15];0.0
56;```json [[250, 280], [450, 320]] ```;[250.0, 280.0, 450.0, 320.0];[112, 107, 218.48000000000002, 129.03];0.0
57;```json [[236, 54], [375, 155]] ```;[236.0, 54.0, 375.0, 155.0];[102, 68, 284.31, 143.76999999999998];0.15130710419648002
