img_id;img_path;text_output;pred_bbox;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;```json [[220, 80], [320, 160]] ```;;[213, 39, 254.85, 109];No predicted bbox found.
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;```json [[245, 170], [295, 220]] ```;;[249, 283, 317.33, 302.17];No predicted bbox found.
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;```json [[656, 351], [692, 387]] ```;;[410, 213, 425.45, 241.18];No predicted bbox found.
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;```json [[310, 215], [470, 295]] ```;;[123, 120, 221, 138];No predicted bbox found.
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;```json [[549, 270], [595, 316]] ```;;[311, 237, 333.86, 249.14];No predicted bbox found.
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;```json [[240, 240], [450, 320]] ```;;[329, 340, 592.12, 591.25];No predicted bbox found.
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;```json [[365, 113], [405, 153]] ```;;[543, 184, 609.4300000000001, 214];No predicted bbox found.
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;```json [[224, 118], [369, 209]] ```;;[364, 76, 419.89, 147.76];No predicted bbox found.
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;```json [[480, 320], [520, 360]] ```;;[511, 600, 549, 694];No predicted bbox found.
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;```json [[330, 330], [410, 380]] ```;;[864, 774, 1064, 949];No predicted bbox found.
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;```json [160, 120, 360, 220] ```;[160, 120, 360, 220];[271, 107, 426.83000000000004, 308.66999999999996];0.2092825703895295
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;```json [470, 220, 520, 270] ```;[470, 220, 520, 270];[331, 162, 343.19, 197.94];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;```json [230, 180, 280, 230] ```;[230, 180, 280, 230];[114, 78, 125.62, 84.49];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;```json [[210, 300], [310, 400]] ```;;[532, 695, 686, 1092];No predicted bbox found.
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;```json [[330, 182], [375, 228]] ```;;[524, 279, 635.88, 334.63];No predicted bbox found.
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;```json [310, 230, 350, 270] ```;[310, 230, 350, 270];[317, 245, 335.85, 270.38];0.2932185472164308
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;```json [260, 140, 300, 180] ```;[260, 140, 300, 180];[79, 71, 92.97, 81.73];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;```json [[291, 279], [335, 279], [335, 323], [291, 323]] ```;;[283, 270, 316.89, 315];No predicted bbox found.
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;```json [[295, 142], [335, 182]] ```;;[227, 114, 252, 136.63];No predicted bbox found.
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;```json [475, 210, 515, 250] ```;[475, 210, 515, 250];[530, 359, 561.88, 405.25];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;```json [[320, 420], [360, 460]] ```;;[589, 691, 610, 776];No predicted bbox found.
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;```json [[10, 140, 200, 240]] ```;[10, 140, 200, 240];[192, 182, 330.13, 259.82];0.0158441392354819
