img_id;img_path;text_output;pred_bboxes;target_bboxes;ious;input_tokens;output_tokens
0;grasp_vlm_dataset/chainsaw15_cleanup_jpg.rf.11d90bdce324c7b9c1d523c277464277.jpg;"I’ve identified the optimal grasp regions for safe two‐handed operation of the chainsaw:{""hand1"":[0.38,0.18,0.66,0.36],""hand2"":[0.08,0.45,0.22,0.62]}  hand1: front (looped) handle for the left hand  hand2: rear (pistol-grip) handle for the right hand";{'hand1': [0.08, 0.45, 0.22, 0.62], 'hand2': [0.38, 0.18, 0.66, 0.36]};{'hand1': {'x_1': 0.118, 'y_1': 0.35, 'x_2': 0.2605, 'y_2': 0.406}, 'hand2': {'x_1': 0.372, 'y_1': 0.137, 'x_2': 0.49, 'y_2': 0.4225}};{'hand1': 0.0, 'hand2': 0.3079842585823391};1958;799
1;grasp_vlm_dataset/lever_handle15_jpg.rf.c150ac0d0348314fde586b1ad6710920.jpg;{hand:[0.24,0.45,0.38,0.56]};{'hand': [0.24, 0.45, 0.38, 0.56]};{'handle': {'x_1': 0.296, 'y_1': 0.552, 'x_2': 0.364, 'y_2': 0.5645}};{'hand': 0.03463644467082646};1967;985
2;grasp_vlm_dataset/bolt_cutters6_cleanup_jpeg.rf.139814175d5ad6aa1a18ff6983dd6ec0.jpg;"{""hand1"":[0.35,0.05,0.48,0.35],""hand2"":[0.52,0.05,0.65,0.35]}";{'hand1': [0.52, 0.05, 0.65, 0.35], 'hand2': [0.35, 0.05, 0.48, 0.35]};{'hand1': {'x_1': 0.599, 'y_1': 0.088, 'x_2': 0.74, 'y_2': 0.314}, 'hand2': {'x_1': 0.361, 'y_1': 0.073, 'x_2': 0.4715, 'y_2': 0.2815}};{'hand1': 0.19423660262891826, 'hand2': 0.59075};1959;685
3;grasp_vlm_dataset/screwdriver_18_jpg.rf.ae2d6f5f3f7f42aa84f46df82cb029f4.jpg;I’ve identified the grip region on the screwdriver’s handle where the robotic hand should wrap for optimal torque. {hand:[0.48,0.45,0.62,0.87]};{'hand': [0.48, 0.45, 0.62, 0.87]};{'handle': {'x_1': 0.435, 'y_1': 0.536, 'x_2': 0.5765, 'y_2': 0.9475}};{'hand': 0.3800993558087771};1948;879
4;grasp_vlm_dataset/lever_handle11_jpg.rf.f046f6ebb089be09db329081cafa301d.jpg;{hand:[0.60,0.49,0.67,0.57]};{'hand': [0.6, 0.49, 0.67, 0.57]};{'handle': {'x_1': 0.564, 'y_1': 0.587, 'x_2': 0.6155, 'y_2': 0.6005}};{'hand': 0.0};1967;921
5;grasp_vlm_dataset/lever_handle12_jpg.rf.89913ae0673c44ced6c7308d0ca07360.jpg;I have identified the region where the robot’s hand should grasp the horizontal lever handle. Here is the bounding box in normalized coordinates:{hand:[0.18,0.45,0.28,0.53]};{'hand': [0.18, 0.45, 0.28, 0.53]};{'handle': {'x_1': 0.218, 'y_1': 0.465, 'x_2': 0.319, 'y_2': 0.4785}};{'hand': 0.09816454582771329};1967;435
6;grasp_vlm_dataset/glue_13_jpg.rf.c4fc05024b35506c820fe899c961b2bd.jpg;{index:[0.32,0.40,0.45,0.60]};{'index': [0.32, 0.4, 0.45, 0.6]};{'index': {'x_1': 0.333, 'y_1': 0.284, 'x_2': 0.424, 'y_2': 0.303}};{'index': 0.0};1976;537
7;grasp_vlm_dataset/screwdriver_8_jpg.rf.9622b33838c1779b9b429ba196bae0d9.jpg;I’ve identified the ergonomic handle region suitable for the robotic hand to wrap around:{hand:[0.33,0.45,0.57,0.96]};{'hand': [0.33, 0.45, 0.57, 0.96]};{'handle': {'x_1': 0.251, 'y_1': 0.422, 'x_2': 0.479, 'y_2': 0.9245}};{'hand': 0.42521629042007103};1948;617
8;grasp_vlm_dataset/top_bar8_jpg.rf.ab263c3e7284caeabcbe9f1f7951b958.jpg;I’ve identified the optimal grasp region around the top drawer’s horizontal bar handle. Here’s the normalized bounding box for the robotic hand’s contact:{hand:[0.27,0.13,0.73,0.19]};{'hand': [0.27, 0.13, 0.73, 0.19]};{'handle': {'x_1': 0.326, 'y_1': 0.162, 'x_2': 0.678, 'y_2': 0.2155}};{'hand': 0.2694663167104112};1978;758
9;grasp_vlm_dataset/saw_4_jpg.rf.45ee2fc78686e7837efd44b55fdcb7b6.jpg;I’ve identified the optimal fingertip placement on the saw’s trigger lever, which is the primary contact point for operating the tool:{index:[0.47,0.45,0.62,0.65]};{'index': [0.47, 0.45, 0.62, 0.65]};{'index': {'x_1': 0.426, 'y_1': 0.5, 'x_2': 0.4575, 'y_2': 0.5785}};{'index': 0.0};1972;499
10;grasp_vlm_dataset/shovel14_cleanup_jpg.rf.a0d61a04255b21f6b1ce1fc83501b6d1.jpg;"I’ve identified two optimal grasp regions for digging: one at the T-handle (hand1) for pushing and one on the shaft just above the blade-shaft collar (hand2) for leverage.{""hand1"":[0.05,0.78,0.18,0.95],""hand2"":[0.28,0.62,0.48,0.82]}";{'hand1': [0.28, 0.62, 0.48, 0.82], 'hand2': [0.05, 0.78, 0.18, 0.95]};{'hand1': {'x_1': 0.122, 'y_1': 0.391, 'x_2': 0.6165, 'y_2': 0.894}, 'hand2': {'x_1': 0.06, 'y_1': 0.838, 'x_2': 0.181, 'y_2': 0.9585}};{'hand1': 0.1608146872053824, 'hand2': 0.5783008110840989};1954;1238
11;grasp_vlm_dataset/wacker_1_jpg.rf.5dda08dc49f8d675a3b854916b020072.jpg;{index:[0.42,0.45,0.55,0.62]};{'index': [0.42, 0.45, 0.55, 0.62]};{'index': {'x_1': 0.507, 'y_1': 0.556, 'x_2': 0.55, 'y_2': 0.5925}};{'index': 0.0710180995475113};1974;665
12;grasp_vlm_dataset/nail_7_jpg.rf.9dc74677883e77ba46532f2ca1a623d1.jpg;{index:[0.45,0.45,0.55,0.65]};{'index': [0.45, 0.45, 0.55, 0.65]};{'index': {'x_1': 0.414, 'y_1': 0.499, 'x_2': 0.439, 'y_2': 0.563}};{'index': 0.0};1976;537
13;grasp_vlm_dataset/saw_17_jpg.rf.8cea00ba8cd09c224ee1bc8c11f1d850.jpg;I have identified the optimal fingertip pad placement on the front face of the saw’s main handle—specifically over the trigger area where maximum control is achieved. Here is the normalized bounding box for the index fingertip contact region:{index:[0.47,0.30,0.62,0.45]};{'index': [0.47, 0.3, 0.62, 0.45]};{'index': {'x_1': 0.408, 'y_1': 0.219, 'x_2': 0.454, 'y_2': 0.2715}};{'index': 0.0};1972;327
14;grasp_vlm_dataset/glue_1_jpg.rf.a220d443854a3ef9234dc726939df186.jpg;{index:[0.42,0.45,0.52,0.65]};{'index': [0.42, 0.45, 0.52, 0.65]};{'index': {'x_1': 0.395, 'y_1': 0.543, 'x_2': 0.464, 'y_2': 0.693}};{'index': 0.18360502300912582};1976;793
15;grasp_vlm_dataset/drill_0_jpg.rf.ba4c73b312f6c2ad5dd8cd418de04264.jpg;I’ve placed the fingertip pad contact region over the drill’s trigger area—the most ergonomically suitable spot for the index finger to grasp and actuate the drill. {index:[0.46,0.48,0.54,0.63]};{'index': [0.46, 0.48, 0.54, 0.63]};{'index': {'x_1': 0.437, 'y_1': 0.391, 'x_2': 0.53, 'y_2': 0.469}};{'index': 0.0};1973;571
16;grasp_vlm_dataset/scissors4_jpg.rf.dab0db500f754d58518140ff137bacbe.jpg;Here is the estimated contact region for the thumb and index finger on the scissor handles:{thumb:[0.82,0.58,0.94,0.75],index:[0.85,0.68,0.98,0.90]};{'thumb': [0.82, 0.58, 0.94, 0.75], 'index': [0.85, 0.68, 0.98, 0.9]};{'thumb': {'x_1': 0.783, 'y_1': 0.818, 'x_2': 0.8575, 'y_2': 0.9655}, 'index': {'x_1': 0.856, 'y_1': 0.691, 'x_2': 0.9725, 'y_2': 0.9045}};{'thumb': 0.0, 'index': 0.8360215284513772};1976;637
17;grasp_vlm_dataset/solder_7_jpg.rf.b5b50901e473147c08c467bc4f9123e2.jpg;I have identified the optimal grip region on the insulated handle of the soldering iron where the robotic hand should wrap. {hand:[0.25,0.10,0.50,0.45]};{'hand': [0.25, 0.1, 0.5, 0.45]};{'handle': {'x_1': 0.272, 'y_1': 0.217, 'x_2': 0.446, 'y_2': 0.515}};{'hand': 0.4103026009513207};1955;561
18;grasp_vlm_dataset/shovel13_cleanup_jpg.rf.099ffa836e56ab6a0a3339c1ac19477f.jpg;"I’ve placed hand1 on the D-grip at the top of the handle for secure control, and hand2 lower down on the shaft just above the blade for leverage. {""hand1"":[0.70,0.05,0.95,0.25],""hand2"":[0.35,0.30,0.55,0.45]}";{'hand1': [0.35, 0.3, 0.55, 0.45], 'hand2': [0.7, 0.05, 0.95, 0.25]};{'hand1': {'x_1': 0.416, 'y_1': 0.283, 'x_2': 0.697, 'y_2': 0.567}, 'hand2': {'x_1': 0.773, 'y_1': 0.03, 'x_2': 0.9465, 'y_2': 0.1285}};{'hand1': 0.22407027557299583, 'hand2': 0.2547175986534505};1954;786
