img_id, img_path                                                                , text_output                                                                , pred_bbox             , target_bbox                                         , iou
     0, data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg, "```json
                                                                                  [
                                                                                  28,
                                                                                  146,
                                                                                  123,
                                                                                  240
                                                                                  ]
                                                                                  ```"                                                                       , "[28, 146, 123, 240]" , "[213, 39, 254.85, 109]"                            , 0.0
     1, data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg       , "```json
                                                                                  [
                                                                                  [
                                                                                  432,
                                                                                  393,
                                                                                  471,
                                                                                  413
                                                                                  ]
                                                                                  ]
                                                                                  ```"                                                                       , "[432, 393, 471, 413]", "[249, 283, 317.33, 302.17]"                        , 0.0
     2, data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg        , "```json
                                                                                  [
                                                                                  303,
                                                                                  482,
                                                                                  326,
                                                                                  510
                                                                                  ]
                                                                                  ```"                                                                       , "[303, 482, 326, 510]", "[410, 213, 425.45, 241.18]"                        , 0.0
     3, data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg     , "```json
                                                                                  [
                                                                                  300,
                                                                                  420,
                                                                                  410,
                                                                                  470
                                                                                  ]
                                                                                  ```"                                                                       , "[300, 420, 410, 470]", "[123, 120, 221, 138]"                              , 0.0
     4, data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg      , "```json
                                                                                  [
                                                                                  339,
                                                                                  450,
                                                                                  375,
                                                                                  473
                                                                                  ]
                                                                                  ```"                                                                       , "[339, 450, 375, 473]", "[311, 237, 333.86, 249.14]"                        , 0.0
     5, data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg     , "```json
                                                                                  [
                                                                                  318,
                                                                                  556,
                                                                                  415,
                                                                                  678
                                                                                  ]
                                                                                  ```"                                                                       , "[318, 556, 415, 678]", "[329, 340, 592.12, 591.25]"                        , 0.040467805968117006
     6, data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg         , "```json
                                                                                  [
                                                                                  80,
                                                                                  370,
                                                                                  134,
                                                                                  434
                                                                                  ]
                                                                                  ```"                                                                       , "[80, 370, 134, 434]" , "[543, 184, 609.4300000000001, 214]"                , 0.0
     7, data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg     , "```json
                                                                                  [
                                                                                  393,
                                                                                  485,
                                                                                  452,
                                                                                  537
                                                                                  ]
                                                                                  ```"                                                                       , "[393, 485, 452, 537]", "[364, 76, 419.89, 147.76]"                         , 0.0
     8, data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg         , "```json
                                                                                  [
                                                                                  360,
                                                                                  362,
                                                                                  397,
                                                                                  386
                                                                                  ]
                                                                                  ```"                                                                       , "[360, 362, 397, 386]", "[511, 600, 549, 694]"                              , 0.0
     9, data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg, "```json
                                                                                  [
                                                                                  589,
                                                                                  764,
                                                                                  697,
                                                                                  905
                                                                                  ]
                                                                                  ```"                                                                       , "[589, 764, 697, 905]", "[864, 774, 1064, 949]"                             , 0.0
    10, data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg       , "```json
                                                                                  [
                                                                                  120,
                                                                                  379,
                                                                                  287,
                                                                                  433
                                                                                  ]
                                                                                  ```"                                                                       , "[120, 379, 287, 433]", "[271, 107, 426.83000000000004, 308.66999999999996]", 0.0
    11, data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg        , "```json
                                                                                  [
                                                                                  773,
                                                                                  406,
                                                                                  828,
                                                                                  460
                                                                                  ]
                                                                                  ```"                                                                       , "[773, 406, 828, 460]", "[331, 162, 343.19, 197.94]"                        , 0.0
