img_id;img_path;text_output;pred_bbox;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;```json [ 50, 426, 136, 585 ] ```;[50, 426, 136, 585];[213, 39, 254.85, 109];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;```json [ 461, 198, 519, 224 ] ```;[461, 198, 519, 224];[249, 283, 317.33, 302.17];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;```json [ 547, 678, 644, 702 ] ```;[547, 678, 644, 702];[410, 213, 425.45, 241.18];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;```json [ 57, 183, 98, 295 ] ```;[57, 183, 98, 295];[123, 120, 221, 138];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;```json [ 551, 52, 726, 167 ] ```;[551, 52, 726, 167];[311, 237, 333.86, 249.14];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;```json [ 380, 375, 701, 498 ] ```;[380, 375, 701, 498];[329, 340, 592.12, 591.25];0.32818095438631456
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;```json [ 222, 299, 320, 336 ] ```;[222, 299, 320, 336];[543, 184, 609.4300000000001, 214];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;```json [ 390, 499, 520, 599 ] ```;[390, 499, 520, 599];[364, 76, 419.89, 147.76];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;Here's the JSON bounding box for the best placement of the index finger pad: ```json [ 445, 591, 507, 624 ] ```;[445, 591, 507, 624];[511, 600, 549, 694];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;```json [ 712, 718, 882, 805 ] ```;[712, 718, 882, 805];[864, 774, 1064, 949];0.011334091647708808
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;```json [ 40, 456, 104, 533 ] ```;[40, 456, 104, 533];[271, 107, 426.83000000000004, 308.66999999999996];0.0
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;```json [ 320, 571, 389, 598 ] ```;[320, 571, 389, 598];[331, 162, 343.19, 197.94];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;```json [ 299, 341, 331, 368 ] ```;[299, 341, 331, 368];[114, 78, 125.62, 84.49];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;```json [ 504, 427, 789, 567 ] ```;[504, 427, 789, 567];[532, 695, 686, 1092];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;```json [ 324,428,397,453 ] ```;;[524, 279, 635.88, 334.63];No predicted bbox found.
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;```json [ 594, 676, 632, 705 ] ```;[594, 676, 632, 705];[317, 245, 335.85, 270.38];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;```json [ 267, 356, 294, 371 ] ```;[267, 356, 294, 371];[79, 71, 92.97, 81.73];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;```json [ 730, 320, 836, 358 ] ```;[730, 320, 836, 358];[283, 270, 316.89, 315];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;```json [ [ 73, 589, 151, 612 ] ] ```;[73, 589, 151, 612];[227, 114, 252, 136.63];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;Here's the bounding box for the index finger placement: ```json [ 753, 584, 834, 631 ] ```;[753, 584, 834, 631];[530, 359, 561.88, 405.25];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;```json [ 549, 249, 634, 288 ] ```;[549, 249, 634, 288];[589, 691, 610, 776];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;```json [ 50, 112, 308, 187 ] ```;[50, 112, 308, 187];[192, 182, 330.13, 259.82];0.019648177963819076
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;```json [ 381, 586, 618, 864 ] ```;[381, 586, 618, 864];[176, 162, 360.7, 256.40999999999997];0.0
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;```json [ 44, 179, 137, 266 ] ```;[44, 179, 137, 266];[181, 205, 309.34000000000003, 332];0.0
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;```json [ 33, 268, 100, 400 ] ```;[33, 268, 100, 400];[118, 115, 313.33000000000004, 281];0.0
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;```json [ 628, 687, 878, 869 ] ```;[628, 687, 878, 869];[437, 289, 626, 491];0.0
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;```json [ 495, 248, 692, 363 ] ```;[495, 248, 692, 363];[169, 469, 559, 739.8399999999999];0.0
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;```json [ 440, 355, 534, 730 ] ```;[440, 355, 534, 730];[184, 631, 1170, 722];0.07347408565391421
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;```json [ 51, 408, 148, 484 ] ```;[51, 408, 148, 484];[500, 62, 588.89, 299.78];0.0
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;```json [ 186, 167, 311, 228 ] ```;[186, 167, 311, 228];[93, 33, 125.82, 68.16];0.0
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;```json [ 219, 211, 471, 643 ] ```;[219, 211, 471, 643];[306, 403, 691, 700];0.21567570217146217
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;```json [ 458, 496, 476, 516 ] ```;[458, 496, 476, 516];[678, 620, 742, 646];0.0
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;```json [ 165, 440, 550, 489 ] ```;[165, 440, 550, 489];[129, 54, 195, 368];0.0
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;```json [ 1, 46, 203, 165 ] ```;[1, 46, 203, 165];[805, 195, 1862.5, 567.5];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;```json [ 398, 385, 471, 435 ] ```;[398, 385, 471, 435];[110, 97, 137.34, 123.1];0.0
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;```json [ [ 268, 285, 434, 320 ] ] ```;[268, 285, 434, 320];[140, 282, 222, 579];0.0
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;```json [ 600, 585, 750, 640 ] ```;[600, 585, 750, 640];[664, 104, 750.87, 354];0.0
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;```json [ 383, 459, 504, 575 ] ```;[383, 459, 504, 575];[1388, 1045, 2438, 1485];0.0
