img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[54.205352783203125, 32.65441131591797, 269.76861572265625, 191.72145080566406];grab on the screwdriver;[213, 116, 254.85, 186];0.08543553736312552
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[351.4740905761719, 305.29315185546875, 378.984130859375, 381.9395751953125];button on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[235.81349182128906, 66.0412826538086, 326.3030090332031, 143.60812377929688];button on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[96.89463806152344, 116.5270767211914, 126.46210479736328, 147.680419921875];grab on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[634.520751953125, 224.29336547851562, 664.4754028320312, 247.99595642089844];button on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[322.7185974121094, 158.8013916015625, 455.80615234375, 283.8847351074219];grab on the wrench;[329, 158.75, 592.12, 410];0.2371093898145088
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[326.3445739746094, 666.4881591796875, 379.5992431640625, 719.9179077148438];button on the circular saw;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[297.781982421875, 117.83837127685547, 364.6980285644531, 185.07376098632812];grab on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[279.62188720703125, 348.70684814453125, 356.21539306640625, 422.4182434082031];button on the circular saw;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[144.4607696533203, 106.86360931396484, 1085.00146484375, 970.0474243164062];grab on the screwdriver;[864, 251, 1064, 426];0.043110907448268086
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[279.34405517578125, 163.03115844726562, 372.6156311035156, 278.95782470703125];grab on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.1400388202217682
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[359.7152404785156, 48.34859085083008, 383.4353332519531, 82.34840393066406];button on the glue gun;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[40.625396728515625, 76.63634490966797, 137.37857055664062, 142.0717010498047];button on the drill;[114, 82.51, 125.62, 89];0.011911683190225621
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[511.5155029296875, 112.2653579711914, 590.7988891601562, 652.6560668945312];grab on the screwdriver;[532, 108, 686, 505];0.2854798138722553
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[822.7138671875, 234.52120971679688, 846.849365234375, 251.69992065429688];button on the drill;[524, 379.37, 635.88, 435];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[186.50064086914062, 191.85023498535156, 208.42233276367188, 215.60110473632812];button on the nail gun;[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[97.63414001464844, 46.19476318359375, 108.52958679199219, 56.282867431640625];button on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[29.128677368164062, 48.88911437988281, 706.3855590820312, 637.3685913085938];button on the drill;[283, 395, 316.89, 440];0.0038264790016225964
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[226.16587829589844, 112.24077606201172, 264.26458740234375, 146.57672119140625];button on the nail gun;[227, 183.37, 252, 206];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[687.0230712890625, 441.97174072265625, 709.0991821289062, 464.52880859375];button on the nail gun;[530, 314.75, 561.88, 361];0.0
