img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[58.550987243652344, 35.13011932373047, 268.7971496582031, 190.03671264648438];grasping area placement on the screwdriver;[213, 116, 254.85, 186];0.08994883064202273
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[118.93840026855469, 104.83291625976562, 485.3283996582031, 717.4639282226562];index finger placement on the glue gun;[249, 697.8299999999999, 317.33, 717];0.005835672955978149
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0, 0, 0, 0];index finger placement on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[54.04701614379883, 31.925540924072266, 242.67242431640625, 146.21202087402344];grasping area placement on the solder iron;[123, 65, 221, 83];0.08182830055868198
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[236.822265625, 103.12619018554688, 665.1881713867188, 260.29620361328125];index finger placement on the weed wacker;[311, 136.86, 333.86, 149];0.004122022187299046
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[322.86492919921875, 158.8029022216797, 455.37811279296875, 284.68011474609375];grasping area placement on the wrench;[329, 158.75, 592.12, 410];0.23785656869365962
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0, 0, 0, 0];index finger placement on the circular saw;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[106.8539047241211, 87.10407257080078, 221.38400268554688, 193.22991943359375];grasping area placement on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[0, 0, 0, 0];index finger placement on the circular saw;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[135.59788513183594, 158.2022247314453, 1088.6285400390625, 978.1116943359375];grasping area placement on the screwdriver;[864, 251, 1064, 426];0.04479146546817933
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[0, 0, 0, 0];grasping area placement on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.0
