img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[55.35768127441406, 36.258766174316406, 266.0415954589844, 188.89349365234375];grip on the screwdriver;[213, 116, 254.85, 186];0.09109798448440987
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[392.17291259765625, 85.35350799560547, 522.8408813476562, 155.90106201171875];lever on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[75.94955444335938, 54.89862060546875, 558.315673828125, 539.9966430664062];lever on the circular saw;[410, 318.82, 425.45, 347];0.0018606435092669341
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[60.49047088623047, 30.019947052001953, 242.12017822265625, 151.09092712402344];grip on the solder iron;[123, 65, 221, 83];0.0802179648437531
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[166.14459228515625, 61.21657180786133, 670.4412841796875, 370.0565490722656];lever on the weed wacker;[311, 136.86, 333.86, 149];0.0017818669872938515
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[146.49147033691406, 122.66252899169922, 694.0126953125, 682.2438354492188];grip on the wrench;[329, 158.75, 592.12, 410];0.21577234103528203
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[213.28192138671875, 3.8059613704681396, 1061.019287109375, 742.6864013671875];lever on the circular saw;[543, 686, 609.4300000000001, 716];0.0031816324784591874
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[119.72309875488281, 23.459867477416992, 498.9118957519531, 298.7506103515625];grip on the solder iron;[364, 212.24, 419.89, 284];0.03842106811096715
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[203.1466064453125, 238.2242889404297, 1089.9661865234375, 1120.12451171875];lever on the circular saw;[511, 506, 549, 600];0.004567270403161857
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[226.12625122070312, 199.84226989746094, 1116.17919921875, 1071.40625];grip on the screwdriver;[864, 251, 1064, 426];0.04511832080638679
