img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[58.3120002746582, 35.062255859375, 269.3174133300781, 190.32960510253906];grab on the screwdriver;[213, 116, 254.85, 186];0.08941693248114298
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[84.32767486572266, 90.69902801513672, 521.3880004882812, 709.0711059570312];button on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0028363477776299872
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[85.49464416503906, 25.436697006225586, 512.3270874023438, 534.5847778320312];button on the circular saw;[410, 318.82, 425.45, 347];0.0020034012435867898
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[3.446589469909668, 116.115234375, 235.95643615722656, 157.39984130859375];grab on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[5.112798690795898, 100.0076675415039, 670.1232299804688, 304.17431640625];button on the weed wacker;[311, 136.86, 333.86, 149];0.002044003592125272
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[323.1661376953125, 158.40760803222656, 455.3394470214844, 284.86676025390625];grab on the wrench;[329, 158.75, 592.12, 410];0.2382051858571737
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[56.7049560546875, 7.900857448577881, 1197.5294189453125, 888.3107299804688];button on the circular saw;[543, 686, 609.4300000000001, 716];0.0019841832449924495
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[120.0027084350586, 1.714976191520691, 497.9253845214844, 294.34552001953125];grab on the solder iron;[364, 212.24, 419.89, 284];0.03626552208663173
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[96.0999526977539, 51.60901641845703, 1102.935302734375, 1151.6436767578125];button on the circular saw;[511, 506, 549, 600];0.003225125548844881
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[117.68828582763672, 150.0240478515625, 1090.1124267578125, 982.567138671875];grab on the screwdriver;[864, 251, 1064, 426];0.04323202629157102
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[267.52447509765625, 104.91349029541016, 799.6066284179688, 317.4523620605469];grab on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.11295644133876206
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[225.58213806152344, 18.79043197631836, 602.6672973632812, 334.463134765625];button on the glue gun;[331, 142.06, 343.19, 178];0.003680487178900573
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[128.02830505371094, 37.55282974243164, 174.5867156982422, 131.72532653808594];button on the drill;[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[515.1383056640625, 112.28925323486328, 696.8689575195312, 1137.294921875];grab on the screwdriver;[532, 108, 686, 505];0.3235204504459641
