img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[58.56477355957031, 34.58955001831055, 269.4465637207031, 201.11453247070312];hold on the screwdriver;[213, 116, 254.85, 186];0.0834209298038504
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[288.2114562988281, 86.57540893554688, 524.8074951171875, 209.19090270996094];toggle on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0, 0, 0, 0];toggle on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[61.47968292236328, 16.87461280822754, 244.98599243164062, 149.41685485839844];hold on the solder iron;[123, 65, 221, 83];0.07252592338311926
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[234.00027465820312, 102.06814575195312, 676.1632690429688, 276.93304443359375];toggle on the weed wacker;[311, 136.86, 333.86, 149];0.0035893009965660954
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[145.227294921875, 122.78387451171875, 697.0879516601562, 683.0575561523438];hold on the wrench;[329, 158.75, 592.12, 410];0.2138111134244253
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0.8613108992576599, 14.27641773223877, 822.0653686523438, 856.4378051757812];toggle on the circular saw;[543, 686, 609.4300000000001, 716];0.0028816358273780016
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[112.64701080322266, 19.790035247802734, 496.1412658691406, 297.23052978515625];hold on the solder iron;[364, 212.24, 419.89, 284];0.03769535410224827
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[81.07783508300781, 56.0781364440918, 971.2174682617188, 940.1132202148438];toggle on the circular saw;[511, 506, 549, 600];0.0045392469578148095
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[816.3717651367188, 729.0097045898438, 1086.994384765625, 974.4393310546875];hold on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[60.62410354614258, 510.78057861328125, 319.6254577636719, 532.0];hold on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.0
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[211.11203002929688, 18.67171287536621, 581.8336791992188, 326.3064270019531];toggle on the glue gun;[331, 142.06, 343.19, 178];0.0038414792299874194
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[139.0447235107422, 167.0, 230.28836059570312, 167.0];toggle on the drill;[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[486.4973449707031, 86.51632690429688, 664.3054809570312, 971.0997924804688];hold on the screwdriver;[532, 108, 686, 505];0.31661022601655686
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[50.47685241699219, 8.176379203796387, 941.3099365234375, 599.4536743164062];toggle on the drill;[524, 379.37, 635.88, 435];0.011816095094077585
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[40.9664192199707, 45.59962463378906, 433.9170227050781, 429.0450439453125];toggle on the nail gun;[317, 209.62, 335.85, 235];0.0031751296111387577
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[58.991207122802734, 28.889541625976562, 160.6292266845703, 83.58373260498047];toggle on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[3.9117419719696045, 81.01249694824219, 438.0588073730469, 606.0289916992188];toggle on the drill;[283, 395, 316.89, 440];0.0066907417111618
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[118.7625961303711, 9.987325668334961, 462.1258239746094, 315.6985778808594];toggle on the nail gun;[227, 183.37, 252, 206];0.005389635013291
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[262.6012268066406, 37.407440185546875, 834.0908203125, 630.7974853515625];toggle on the nail gun;[530, 314.75, 561.88, 361];0.004347919222877193
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[335.1856384277344, 77.61656951904297, 1056.3465576171875, 968.1735229492188];toggle on the nail gun;[589, 424, 610, 509];0.0027793570238092316
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[120.4826889038086, 0.0, 266.2558898925781, 73.48808288574219];hold on the solder iron;[192, 89.18, 330.13, 167];0.0
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[167.13687133789062, 160.04725646972656, 391.9012145996094, 260.1628112792969];hold on the wrench;[176, 111.59000000000003, 360.7, 206];0.2698507886879276
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[44.638851165771484, 69.11492156982422, 332.8330078125, 359.00799560546875];hold on the screwdriver;[181, 68, 309.34000000000003, 195];0.19305012887305917
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[96.79199981689453, 27.149314880371094, 394.1123046875, 317.45025634765625];hold on the wrench;[118, 119, 313.33000000000004, 285];0.37566784570678396
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[199.29083251953125, 71.11033630371094, 664.7818603515625, 522.8221435546875];hold on the hammer;[437, 105, 626, 307];0.18156846265041768
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[99.96092224121094, 376.6920166015625, 679.5526733398438, 803.912841796875];hold on the screwdriver;[169, 252.16000000000008, 559, 523];0.1926527498925153
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[45.7110481262207, 172.20547485351562, 944.1809692382812, 781.588623046875];hold on the allen key;[184, 478, 1170, 569];0.1217762725972344
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[483.96087646484375, 38.80082702636719, 605.104736328125, 684.4542236328125];hold on the screwdriver;[500, 420.22, 588.89, 658];0.2702261550669129
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[82.00564575195312, 21.75864601135254, 203.95252990722656, 157.1493682861328];hold on the screwdriver;[93, 99.84, 125.82, 135];0.06989205818974276
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[52.255943298339844, 327.8548278808594, 782.665771484375, 871.1921997070312];hold on the wrench;[306, 500, 691, 797];0.28812503322716776
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[36.18083953857422, 331.5258483886719, 862.184326171875, 923.6153564453125];toggle on the circular saw;[678, 554, 742, 580];0.0034023898652575835
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[128.59527587890625, 69.4344482421875, 200.06187438964844, 525.1951293945312];hold on the hammer;[129, 244, 195, 558];0.5342715922165192
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[792.4927978515625, 158.3884735107422, 1920.8905029296875, 2397.526611328125];hold on the allen key;[805, 2696.5, 1862.5, 3069];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[72.08323669433594, 16.69466781616211, 203.39625549316406, 161.00181579589844];toggle on the glue gun;[110, 70.9, 137.34, 97];0.03765679797436482
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;[0.0, 766.1681518554688, 0.0, 1137.118408203125];hold on the solder iron;[140, 559, 222, 856];0.0
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;[97.7000732421875, 31.882959365844727, 758.541015625, 382.2342224121094];hold on the solder iron;[664, 414, 750.87, 664];0.0
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;[874.009033203125, 1845.176513671875, 2748.44921875, 2679.294677734375];hold on the solder iron;[1388, 1539, 2438, 1979];0.07454398416015456
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;[15.960592269897461, 3.8148880004882812, 647.6181640625, 709.9921264648438];hold on the allen key;[217, 894.34, 581.1700000000001, 986];0.0
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;[73.52537536621094, 16.889310836791992, 480.0181884765625, 377.9015808105469];toggle on the nail gun;[276, 243, 313.33, 264];0.005341982368415163
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;[17.454076766967773, 25.406566619873047, 757.2860717773438, 630.0638427734375];toggle on the circular saw;[407, 489.34000000000003, 423.67, 551];0.0022977180074403246
41;data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg;[53.350399017333984, 143.12564086914062, 776.5270385742188, 645.7095336914062];toggle on the glue gun;[290, 543, 424.15999999999997, 593];0.01845610699171007
42;data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg;[313.7170104980469, 291.2961730957031, 416.663818359375, 655.8570556640625];hold on the solder iron;[341, 207.87, 381.63, 421];0.12878466465214827
43;data/roboflow/hammer_5_jpg.rf.111cf96c55a3c37f56afe7dc3f6224ee.jpg;[122.738525390625, 147.38865661621094, 601.36279296875, 417.125732421875];hold on the hammer;[308, 115, 411, 594];0.1844119904872978
44;data/roboflow/saw_16_jpg.rf.08cb5bb3f895e6ddf476231d93cc87fc.jpg;[77.49929809570312, 4.814643383026123, 897.5875244140625, 743.5394287109375];toggle on the circular saw;[430, 902, 483, 970];0.0
45;data/roboflow/hammer_3_jpg.rf.d5d45780df9c29adadeb71cb01ef8fff.jpg;[417.50103759765625, 140.3282470703125, 518.310546875, 985.4297485351562];hold on the hammer;[432, 233, 518, 700];0.4714166939488296
46;data/roboflow/allen_15_jpg.rf.84eacc06d0a77038d94e690f48ed9b39.jpg;[846.2352905273438, 557.5247802734375, 998.3964233398438, 610.5904541015625];hold on the allen key;[143, 380.83000000000004, 855.5, 450];0.0
47;data/roboflow/drill_11_jpg.rf.2af05b31d23bbe92e005ce105e1800f0.jpg;[262.4373779296875, 111.23757934570312, 993.9012451171875, 896.0];toggle on the drill;[679, 389.14, 708.28, 467];0.00397149843644126
48;data/roboflow/allen_13_jpg.rf.a0f01b6dde96397f10899cc21473aa0e.jpg;[110.39456176757812, 105.58658599853516, 269.65966796875, 282.7864074707031];hold on the allen key;[33, 186.25, 119.25, 268];0.020953927295895677
49;data/roboflow/glue_2_jpg.rf.8a15037652e0c691b02a6e546d5a1bbf.jpg;[13.330020904541016, 138.25381469726562, 494.5721740722656, 885.99853515625];toggle on the glue gun;[138, 617.83, 180.5, 767];0.017617870087325557
50;data/roboflow/wrench_11_jpg.rf.89e651e4fa1e825d7ca9187a175200b6.jpg;[31.496728897094727, 36.939090728759766, 193.2376251220703, 185.38442993164062];hold on the wrench;[50, 130.93, 117.96, 170];0.11058860244546627
51;data/roboflow/wacker_16_jpg.rf.2147f7f6bf8bb1e498199e5d7b08b40a.jpg;[99.06661987304688, 338.57763671875, 1233.1182861328125, 851.26953125];toggle on the weed wacker;[935, 788.75, 986.25, 835];0.0040767709748877265
52;data/roboflow/wacker_15_jpg.rf.749dc2f49bd5654fdbe3747de8cf48bb.jpg;[296.5572509765625, 139.17694091796875, 550.4103393554688, 308.21343994140625];toggle on the weed wacker;[357, 217.57, 377.71, 229];0.0055164970285063175
53;data/roboflow/glue_6_jpg.rf.619ad5b67a361a53be56c8fbfdfc7b12.jpg;[37.40064239501953, 1.2029331922531128, 201.31259155273438, 140.12860107421875];toggle on the glue gun;[104, 139.74, 116.96000000000001, 159];0.00021881460832224447
54;data/roboflow/saw_19_jpg.rf.8f47d8dbf342a941d9de7a54cd7d4ef8.jpg;[91.40441131591797, 24.636281967163086, 380.9230041503906, 283.0183410644531];toggle on the circular saw;[244, 328.69, 267.12, 334];0.0
55;data/roboflow/drill_6_jpg.rf.3f895b36079933bf8e2e59fbbb0bcc0a.jpg;[259.6702575683594, 195.6386260986328, 1113.2232666015625, 821.9769287109375];toggle on the drill;[646, 386.85, 661, 459];0.0020243617638495233
56;data/roboflow/hammer_4_jpg.rf.be49520bcdc487c23b0f5cdfc8555d03.jpg;[111.23979187011719, 105.59972381591797, 219.04916381835938, 133.2372589111328];hold on the hammer;[112, 95.97, 218.48000000000002, 118];0.3296866812514284
57;data/roboflow/allen_6_jpg.rf.e32dab49b55efbfb4ef83c50b633003f.jpg;[102.96061706542969, 59.23904800415039, 288.4348449707031, 377.522705078125];hold on the allen key;[102, 336.23, 284.31, 412];0.1145740923180547
58;data/roboflow/nail_1_jpg.rf.ca3b1c00b4cee0fd6983ddacc4edd612.jpg;[135.3789520263672, 89.63459777832031, 752.9443969726562, 581.3524780273438];toggle on the nail gun;[335, 254, 364.5, 287];0.0032058040075097845
59;data/roboflow/screwdriver_6_jpg.rf.e8fbf1ef6ec0bca566d011cc989bcbc9.jpg;[316.55255126953125, 292.4054870605469, 1025.219482421875, 845.1741333007812];hold on the screwdriver;[545, 148, 898.5699999999999, 448];0.12424402226917441
60;data/roboflow/saw_10_jpg.rf.369ecf7a1cbcd7bee2dd4631e4e7cd77.jpg;[0.0, 76.95944213867188, 733.3451538085938, 574.6989135742188];toggle on the circular saw;[784, 501, 804.62, 541];0.0
61;data/roboflow/solder_18_jpg.rf.f3ae27d2c6d71f6cdae4c97a5da3103e.jpg;[0.15584170818328857, 21.038087844848633, 159.0216522216797, 184.72116088867188];hold on the solder iron;[44, 96.44, 115.48, 152];0.15272585603201821
62;data/roboflow/wrench_4_jpg.rf.1bc53859ca2ff1f67ea1c393537bae51.jpg;[153.67330932617188, 49.70000076293945, 611.5631713867188, 398.12677001953125];hold on the wrench;[597, 138.43000000000006, 914.86, 497];0.014021245561419978
63;data/roboflow/wacker_3_jpg.rf.43e9ae0cfc9d836d36e66e0220e97f1f.jpg;[21.187362670898438, 123.54503631591797, 720.3017578125, 623.9745483398438];toggle on the weed wacker;[217, 424.66999999999996, 252.82999999999998, 438];0.0013651670560069545
64;data/roboflow/allen_3_jpg.rf.f452a3b83561eb67c6141ea368168648.jpg;[91.30620574951172, 151.7159881591797, 689.3306884765625, 462.36907958984375];hold on the allen key;[142, 176.5, 555.5, 430];0.5642334556993824
65;data/roboflow/wacker_5_jpg.rf.534ac3f6e093b02ebc610cf9b31141c3.jpg;[5.321359157562256, 509.4078674316406, 631.2340698242188, 677.4979858398438];toggle on the weed wacker;[898, 603, 937, 618];0.0
66;data/roboflow/screwdriver_7_jpg.rf.fef662b242509997a0395209c9f8f941.jpg;[171.2657928466797, 12.976117134094238, 207.5249481201172, 92.71865844726562];hold on the screwdriver;[173, 331.67, 204.34, 383];0.0
67;data/roboflow/hammer_10_jpg.rf.295b81df7c4e3044a1fa86ecb6959009.jpg;[104.29175567626953, 357.5592346191406, 822.892333984375, 728.1065673828125];hold on the hammer;[523, 484.66999999999996, 976.3399999999999, 568];0.08954999028720957
68;data/roboflow/wrench_10_jpg.rf.dc0edb1bb8d02dc9c1059b588df7d8f0.jpg;[272.92852783203125, 252.602783203125, 1230.93701171875, 908.8284301757812];hold on the wrench;[913, 740, 1244, 980];0.08202033253014168
69;data/roboflow/hammer_18_jpg.rf.dfe188c41f795463dbcc7babd994c330.jpg;[95.6734619140625, 11.250677108764648, 188.32305908203125, 293.66436767578125];hold on the hammer;[127, 16.33000000000004, 168.32999999999998, 205];0.2980155827091755
70;data/roboflow/screwdriver_5_jpg.rf.575f3ba9ba3035af307fe1c80d0066f1.jpg;[1256.7459716796875, 741.4578857421875, 2493.3544921875, 1115.3192138671875];hold on the screwdriver;[1590, 609.5, 2378.75, 932];0.2653417940078073
71;data/roboflow/screwdriver_10_jpg.rf.e90b90d3657072e118d91fa1188f2e8e.jpg;[0.0, 357.8788757324219, 0.0, 444.5719299316406];hold on the screwdriver;[101, 267.78999999999996, 166.70999999999998, 436];0.0
72;data/roboflow/saw_5_jpg.rf.251577bb54d32d45d70b87498870b6c5.jpg;[66.8287124633789, 46.253326416015625, 941.5679321289062, 845.116943359375];toggle on the circular saw;[585, 709.4300000000001, 631.43, 743];0.0022304823125186613
