img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[236.4915771484375, 209.128173828125, 300.0, 225.0];handle on the screwdriver;[213, 116, 254.85, 186];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[0.0, 548.5053100585938, 514.39501953125, 1000.0];trigger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.005640065292843711
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[27.70126724243164, 0.0, 657.5731201171875, 477.1712646484375];trigger on the circular saw;[410, 318.82, 425.45, 347];0.0014485816805781284
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[0.0, 0.0, 134.31455993652344, 122.07566833496094];handle on the solder iron;[123, 65, 221, 83];0.011341731200661143
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[369.0972595214844, 89.88811492919922, 684.0, 386.0];trigger on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[84.92762756347656, 110.2977066040039, 378.72991943359375, 380.0366516113281];handle on the wrench;[329, 158.75, 592.12, 410];0.08190710096159648
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[407.4552001953125, 208.20472717285156, 1200.0, 900.0];trigger on the circular saw;[543, 686, 609.4300000000001, 716];0.0036348299373411496
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[0.0, 0.0, 291.26971435546875, 224.18898010253906];handle on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[0.0, 0.0, 887.2554321289062, 877.9922485351562];trigger on the circular saw;[511, 506, 549, 600];0.0045853458883921595
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[945.9810791015625, 986.5098266601562, 1200.0, 1200.0];handle on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[190.6003875732422, 0.0, 504.02996826171875, 171.89517211914062];handle on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.0
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[174.86500549316406, 48.22099304199219, 604.0, 340.0];trigger on the glue gun;[331, 142.06, 343.19, 178];0.0034989183282085924
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[0.0, 83.3175048828125, 134.85421752929688, 167.0];trigger on the drill;[114, 82.51, 125.62, 89];0.005846353717172515
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[945.865966796875, 836.5289916992188, 1200.0, 1200.0];handle on the screwdriver;[532, 108, 686, 505];0.0
