img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
0;grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg;{'hand': [0.0239565372467041, 0.4403526611328125, 0.976968994140625, 0.6239758911132812]};{'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}};{'hand': 0.45824964509502447};['Area to grab safely with entire hand on the allen key']
1;grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg;{'hand': [0.36971661376953124, 0.19719546508789063, 1.0, 0.5850908813476563]};{'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}};{'hand': 0.2734830121813333};['Area to grab safely with entire hand on the allen key']
2;grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg;{'index': [0.20285162353515626, 0.28890264892578127, 0.8341051635742187, 0.7377959594726563], 'thumb': [0.18479922485351563, 0.276677490234375, 0.2979144592285156, 0.4003739929199219]};{'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}};{'index': 0.1954689351762352, 'thumb': 0.0};['Placement for index finger on the syringe', 'Placement for thumb finger on the syringe']
3;grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg;{'hand': [0.10619586944580078, 0.21211602783203126, 0.8194009399414063, 0.8646776733398438]};{'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}};{'hand': 0.4608810663427364};['Area to grab safely with entire hand on the screwdriver']
4;grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg;{'hand': [0.2480281524658203, 0.006882205486297608, 1.0, 0.2964240417480469]};{'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}};{'hand': 0.28566700341929757};['Area to grab safely with entire hand on the allen key']
5;grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg;{'hand': [0.1976688232421875, 0.5790213012695312, 0.9454008178710938, 1.0]};{'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}};{'hand': 0.0};['Area to grab safely with entire hand on the top drawer with a horizontal bar handle']
6;grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg;{'index': [0.2144858856201172, 0.009649067878723145, 0.7620451049804687, 0.8905718383789063]};{'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}};{'index': 0.029417503401077058};['Pressable surface for index finger on the glue gun']
7;grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg;{'hand': [0.16625875854492186, 0.08935147857666016, 0.7780580444335937, 0.95307080078125]};{'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}};{'hand': 0.19448878830855174};['Area to grab safely with entire hand on the hammer']
8;grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg;{'index': [0.16054180908203125, 0.03308993530273437, 0.8764872436523438, 0.9108646850585937]};{'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}};{'index': 0.004349667609159222};['Pressable surface for index finger on the power drill']
9;grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg;{'hand': [0.7827730712890625, 0.05903658294677734, 0.8398735961914062, 0.94076416015625]};{'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}};{'hand': 0.0};['Area to grab safely with entire hand on the door with a vertical bar handle']
