img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[60.60013198852539, 35.886695861816406, 270.68267822265625, 190.0515899658203];['grasp on the screwdriver'];[213, 116, 254.85, 186];0.09045197226773867
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[121.4934310913086, 78.46033477783203, 505.6496887207031, 447.9345703125];['press on the glue gun tool'];[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[109.50225830078125, 29.051082611083984, 517.390869140625, 479.42645263671875];['press on the circular saw'];[410, 318.82, 425.45, 347];0.0023700268250085566
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[49.47955322265625, 32.82624053955078, 245.19955444335938, 136.97842407226562];['grasp on the solder iron tool'];[123, 65, 221, 83];0.08653563635981283
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0.0, 101.69975280761719, 677.3980102539062, 323.98248291015625];['press on the weed wacker'];[311, 136.86, 333.86, 149];0.0018430846152462299
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[38.823768615722656, 4.931285858154297, 669.4519653320312, 674.3768310546875];['grasp on the wrench tool'];[329, 158.75, 592.12, 410];0.15659261979792055
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[238.17239379882812, 3.729799270629883, 1086.4638671875, 748.2846069335938];['press on the circular saw'];[543, 686, 609.4300000000001, 716];0.00315532234647567
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[114.41233825683594, 9.120755195617676, 502.7073669433594, 292.3497314453125];['grasp on the solder iron tool'];[364, 212.24, 419.89, 284];0.036468426625185305
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[106.99932861328125, 62.18511962890625, 1190.6390380859375, 1157.8035888671875];['press on the circular saw'];[511, 506, 549, 600];0.0030086190035392025
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[137.35739135742188, 155.98648071289062, 1080.7291259765625, 971.305908203125];['grasp on the screwdriver'];[864, 251, 1064, 426];0.04550481926277626
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[263.82757568359375, 106.22216796875, 800.0, 308.106689453125];['grasp on the allen wrench tool'];[271, 223.33000000000004, 426.83000000000004, 425];0.10446552230570343
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[187.05189514160156, 18.22662925720215, 576.3162231445312, 328.6097717285156];['press on the glue gun tool'];[331, 142.06, 343.19, 178];0.0036260938943813346
