text_output
{bounding_box: [240, 180, 290, 240]}
{bbox: [155, 319, 203, 367]}
{bbox: [408, 234, 430, 256]}
{bbox: [55, 122, 127, 219]}
{bbox: [90, 165, 120, 185]}
{x_min:130, y_min:150, x_max:300, y_max:230}
{x_min:370, y_min:220, x_max:430, y_max:260}
{x_min:260, y_min:260, x_max:370, y_max:320}
{bbox: [221, 159, 250, 193]}
{x_min:405, y_min:480, x_max:540, y_max:530}
{bbox: [183, 262, 367, 297]}
{x_min:290, y_min:271, x_max:312, y_max:295}
{ bounding_box: [573, 300, 620, 340] }
{bbox: [326, 253, 374, 350]}
{bbox: [420, 370, 470, 410]}
{bounding_box: [273, 47, 306, 83]}
{bounding_box: [300, 350, 340, 400]}
{bbox: [377, 148, 416, 180]}
{x_min:441, y_min:189, x_max:475, y_max:211}
{bounding_box: [448, 301, 494, 341]}
{x_min:346, y_min:127, x_max:397, y_max:159}
{bbox: [70, 220, 280, 310]}
{x_min:22, y_min:122, x_max:76, y_max:172}
{x_min: 20, y_min: 230, x_max: 180, y_max: 400}
{x_min:630, y_min:390, x_max:750, y_max:470}
{bbox: [180, 160, 330, 280]}
{bbox: [134, 221, 266, 273]}
{x_min:35,y_min:250,x_max:195,y_max:280}
{bbox: [250, 280, 390, 440]}
{bbox: [165, 280, 275, 370]}
{bbox: [167, 183, 263, 211]}
{bbox: [328, 264, 382, 283]}
{bbox: [352, 51, 453, 567]}
{x_min:102, y_min:170, x_max:177, y_max:280}
{bounding_box: [370, 419, 399, 448]}
{x_min:139, y_min:165, x_max:214, y_max:192}
{bbox: [419, 347, 582, 429]}
{bbox: [342, 120, 430, 190]}
```json { bbox: [255, 255, 355, 335] } ```
{x_min:438, y_min:237, x_max:464, y_max:258}
{bbox: [370, 470, 420, 510]}
{bounding_box: [125, 170, 155, 200]}
{x_min:546, y_min:328, x_max:629, y_max:376}
{bbox: [147, 111, 297, 188]}
{x_min:644, y_min:159, x_max:701, y_max:199}
{bbox: [88, 183, 171, 340]}
{x_min:85, y_min:245, x_max:105, y_max:265}
{x_min:385, y_min:300, x_max:415, y_max:320}
{bbox: [50, 130, 180, 180]}
{bbox: [70, 78, 130, 122]}
{bbox: [112, 154, 205, 228]}
{bbox: [540, 480, 580, 510]}
{bbox: [270, 250, 370, 280]}
{bounding_box: [641, 321, 685, 359]}
{bbox: [127, 344, 157, 374]}
{bbox: [314, 164, 396, 199]}
{bbox: [70, 80, 150, 160]}
{x_min:85, y_min:180, x_max:280, y_max:430}
{x_min:557, y_min:371, x_max:607, y_max:386}
{x_min:274,y_min:320,x_max:374,y_max:370}
```json { bounding_box: [450, 320, 470, 340] } ```
{bbox: [260, 330, 380, 480]}
{x_min:105, y_min:90, x_max:155, y_max:130}
{bbox: [300, 250, 350, 280]}
{x_min:502,y_min:138,x_max:535,y_max:218}
{bounding_box: [800, 120, 850, 160]}
{x_min:328, y_min:155, x_max:380, y_max:219}
{x_min:10, y_min:110, x_max:210, y_max:160}
{bbox: [72, 132, 158, 162]}
{x_min:222, y_min:340, x_max:342, y_max:434}
{bbox: [385, 180, 595, 330]}
{x_min:114, y_min:119, x_max:180, y_max:229}
{bounding_box: [370, 271, 430, 301]}
{bbox: [355, 319, 383, 347]}
{ bbox: [410, 230, 470, 270] }
{x_min:180, y_min:150, x_max:280, y_max:250}
{x_min:270, y_min:260, x_max:370, y_max:330}
{bounding_box: [390, 370, 440, 420]}
{x_min:448, y_min:262, x_max:464, y_max:278}
{bbox: [342, 205, 444, 283]}
{ bounding_box: [596, 273, 644, 319] }
{ bounding_box: [120, 100, 180, 150] }
{bbox: [70, 220, 190, 310]}
{bbox: [149, 297, 277, 370]}
{ bounding_box: [150, 200, 300, 350] }
{bounding_box: [610, 247, 648, 285]}
{bbox: [169, 123, 375, 214]}
{bounding_box: [510, 380, 530, 400]}
{x_min:367, y_min:147, x_max:405, y_max:179}
{bbox: [75, 20, 345, 106]}
{x_min:116, y_min:99, x_max:221, y_max:151}
{bounding_box: [481, 222, 519, 258]}
{bounding_box: [430, 200, 470, 240]}
{ bounding_box: [620, 410, 680, 470] }
{x_min: 250, y_min: 250, x_max: 300, y_max: 300}
{bbox: [650, 200, 700, 240]}
{bounding_box: [200, 350, 250, 400]}
{x_min: 340, y_min: 150, x_max: 370, y_max: 180}
{bbox: [368, 226, 416, 268]}
{bbox: [285, 180, 310, 205]}
{x_min:140, y_min:100, x_max:240, y_max:160}
{x_min:480, y_min:365, x_max:580, y_max:385}
{bounding_box: [420, 160, 470, 210]}
{ bbox: [70, 80, 130, 150] }
{bounding_box: [157, 147, 250, 234]}
{bbox: [278, 356, 319, 387]}
{x_min:304, y_min:328, x_max:375, y_max:385}
[137, 168, 167, 203]
{bbox: [51, 144, 105, 172]}
{x_min:87, y_min:187, x_max:170, y_max:256}
[ 176, 50, 216, 80 ]
{bounding_box: [385, 245, 422, 278]}
{bounding_box: [90, 200, 180, 330]}
{bbox: [340, 235, 370, 265]}
{bbox: [80, 130, 240, 190]}
{bounding_box: [390, 540, 430, 580]}
{bbox: [210, 215, 380, 330]}
{bbox: [205, 380, 250, 430]}
{ bbox: [232, 230, 265, 262] }
{bbox: [140, 100, 310, 250]}
{bbox: [245, 232, 272, 259]}
{x_min:150, y_min:400, x_max:400, y_max:540}
{x_min:338, y_min:400, x_max:392, y_max:430}
{bbox: [121, 97, 377, 227]}
{bounding_box: [48, 80, 73, 105]}
{x_min:330,y_min:290,x_max:370,y_max:310}
{bbox: [448, 377, 480, 404]}
{bounding_box: [316, 16, 350, 50]}
{bbox: [133, 161, 191, 209]}
{ bounding_box: [250, 140, 300, 180] }
{bbox: [115, 90, 155, 120]}
{bbox: [33, 161, 115, 203]}
{ bbox: [262, 84, 319, 132] }
{x_min:380, y_min:180, x_max:520, y_max:250}
{bounding_box: [385, 348, 420, 373]}
{bbox: [160, 250, 290, 330]}
{bounding_box: [560, 390, 590, 410]}
{x_min:518,y_min:368,x_max:542,y_max:392}
{bounding_box: [580, 420, 620, 455]}
{x_min:585, y_min:278, x_max:610, y_max:294}
{bbox: [305, 210, 321, 250]}
{bbox: [55, 50, 90, 65]}
{bbox: [110, 20, 240, 80]}
{x_min:138, y_min:134, x_max:278, y_max:184}
{x_min:5, y_min:4, x_max:13, y_max:12}
{bounding_box: [280, 180, 420, 320]}
{bbox: [267, 393, 462, 468]}
```json [380, 320, 420, 360] ```
{bbox: [415, 250, 445, 280]}
{bbox: [76, 78, 243, 152]}
{bbox: [150, 60, 280, 130]}
{bounding_box: [229, 136, 310, 200]}
{bbox: [250, 90, 280, 120]}
{bbox: [523, 498, 583, 541]}
{bounding_box: [367, 119, 477, 199]}
{x_min:187, y_min:133, x_max:320, y_max:174}
{bbox: [560, 220, 600, 260]}
{x_min:488, y_min:422, x_max:517, y_max:448}
{bbox: [398, 220, 444, 258]}
{bbox: [36, 321, 459, 370]}
{x_min:749,y_min:434,x_max:817,y_max:490}
{x_min:278,y_min:250,x_max:393,y_max:289}
{bounding_box: [194, 275, 230, 304]}
{bounding_box: [250, 300, 350, 360]}
{bbox: [160, 130, 250, 250]}
{x_min:550, y_min:410, x_max:620, y_max:460}
