img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[0.3233671188354492, 2.215571641921997, 297.86102294921875, 225.0];grab;[213, 116, 254.85, 186];0.044194348186924456
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[353.4564208984375, 309.64385986328125, 378.2624206542969, 382.07025146484375];button;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[113.05701446533203, 31.579944610595703, 515.9533081054688, 478.11883544921875];button;[410, 318.82, 425.45, 347];0.0024200086094377025
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[49.93181228637695, 32.94478225708008, 245.28936767578125, 137.52529907226562];grab;[123, 65, 221, 83];0.08634110152722203
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0.0, 101.54920196533203, 677.82666015625, 324.0754699707031];button;[311, 136.86, 333.86, 149];0.0018399032305114625
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[38.777164459228516, 5.449846267700195, 669.573486328125, 674.939697265625];grab;[329, 158.75, 592.12, 410];0.15654052311800884
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[585.0819091796875, 22.149559020996094, 622.2877807617188, 59.46925354003906];button;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[122.52800750732422, 142.81881713867188, 211.84219360351562, 184.00038146972656];grab;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[557.0999145507812, 584.9100952148438, 593.5208740234375, 617.8851318359375];button;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[128.47543334960938, 151.84657287597656, 285.1429748535156, 288.0821228027344];grab;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[0.0, 1.417081356048584, 796.0496215820312, 154.492431640625];grab;[271, 223.33000000000004, 426.83000000000004, 425];0.0
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[408.91876220703125, 222.76475524902344, 437.9539489746094, 234.3338165283203];button;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[141.12452697753906, 93.99542999267578, 170.0361785888672, 114.68795776367188];button;[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[526.9957275390625, 627.0014038085938, 693.7844848632812, 1131.1534423828125];grab;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[15.641999244689941, 26.821170806884766, 1170.3143310546875, 581.5458984375];button;[524, 379.37, 635.88, 435];0.009716844051060672
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[40.48719787597656, 19.653011322021484, 497.2447204589844, 464.3054504394531];button;[317, 209.62, 335.85, 235];0.0023555730917574538
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[142.97132873535156, 166.43832397460938, 161.76194763183594, 180.0];button;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[202.657958984375, 171.04559326171875, 226.5228271484375, 201.41639709472656];button;[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[263.4079284667969, 100.00756072998047, 272.23687744140625, 107.99075317382812];button;[227, 183.37, 252, 206];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[508.33514404296875, 175.8624725341797, 618.97509765625, 274.2591247558594];button;[530, 314.75, 561.88, 361];0.0
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[130.5773162841797, 750.5255126953125, 174.43960571289062, 799.6489868164062];button;[589, 424, 610, 509];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[3.142993927001953, 0.9649121761322021, 448.2586364746094, 257.8792724609375];grab;[192, 89.18, 330.13, 167];0.09399786761376779
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[80.15613555908203, 123.52722930908203, 110.21959686279297, 177.3800506591797];grab;[176, 111.59000000000003, 360.7, 206];0.0
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[152.96099853515625, 182.10238647460938, 207.21621704101562, 233.38990783691406];grab;[181, 68, 309.34000000000003, 195];0.018039511619817896
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[12.567305564880371, 40.897010803222656, 382.4783935546875, 379.66015625];grab;[118, 119, 313.33000000000004, 285];0.25875189081150013
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[215.87786865234375, 74.63728332519531, 664.6661987304688, 514.6973266601562];grab;[437, 105, 626, 307];0.1933123859263066
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[78.6562728881836, 100.64513397216797, 1183.279541015625, 803.956298828125];grab;[169, 252.16000000000008, 559, 523];0.13596142673812425
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[20.679080963134766, 197.81875610351562, 1193.18359375, 743.507080078125];grab;[184, 478, 1170, 569];0.14023587318623282
