img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[162.16372680664062, 34.22189712524414, 270.66455078125, 121.79500579833984];grip;[213, 116, 254.85, 186];0.019897144648233493
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[353.4564208984375, 309.64385986328125, 378.2624206542969, 382.07025146484375];button;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[113.05701446533203, 31.579944610595703, 515.9533081054688, 478.11883544921875];button;[410, 318.82, 425.45, 347];0.0024200086094377025
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[2.432249069213867, 125.0105972290039, 100.77346801757812, 145.8032989501953];grip;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0.0, 101.54920196533203, 677.82666015625, 324.0754699707031];button;[311, 136.86, 333.86, 149];0.0018399032305114625
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[105.67950439453125, 40.05313491821289, 670.5735473632812, 669.5413208007812];grip;[329, 158.75, 592.12, 410];0.18591111355904388
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[585.0819091796875, 22.149559020996094, 622.2877807617188, 59.46925354003906];button;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[301.1303405761719, 41.4672737121582, 489.0709533691406, 180.27392578125];grip;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[557.0999145507812, 584.9100952148438, 593.5208740234375, 617.8851318359375];button;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[811.4712524414062, 725.8939208984375, 1081.0723876953125, 972.595947265625];grip;[864, 251, 1064, 426];0.0
