img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[58.184696197509766, 35.62972640991211, 265.4827575683594, 189.25326538085938];hold;[213, 116, 254.85, 186];0.09198997400397858
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[120.80323028564453, 78.3043212890625, 506.77691650390625, 449.0919494628906];toggle;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[361.02825927734375, 96.87147521972656, 628.7005004882812, 185.79246520996094];toggle;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[49.93181228637695, 32.94478225708008, 245.28936767578125, 137.52529907226562];hold;[123, 65, 221, 83];0.08634110152722203
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0.0, 101.54920196533203, 677.82666015625, 324.0754699707031];toggle;[311, 136.86, 333.86, 149];0.0018399032305114625
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[86.35346984863281, 26.139020919799805, 431.6822204589844, 283.8127746582031];hold;[329, 158.75, 592.12, 410];0.09027615957179208
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[236.75033569335938, 3.4597814083099365, 1087.140625, 750.3753051757812];toggle;[543, 686, 609.4300000000001, 716];0.003137586654116566
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[295.773681640625, 115.65322875976562, 364.3069763183594, 182.3804473876953];hold;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[109.47509765625, 74.798583984375, 525.6095581054688, 783.31884765625];toggle;[511, 506, 549, 600];0.004623302797591201
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[811.4712524414062, 725.8939208984375, 1081.0723876953125, 972.595947265625];hold;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[267.3891906738281, 102.29837799072266, 450.9398498535156, 310.1884460449219];hold;[271, 223.33000000000004, 426.83000000000004, 425];0.24148592397263538
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[187.6918487548828, 18.307600021362305, 578.8395385742188, 328.7472229003906];toggle;[331, 142.06, 343.19, 178];0.003607977841360013
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[42.107791900634766, 37.99638748168945, 174.67129516601562, 141.2427215576172];toggle;[114, 82.51, 125.62, 89];0.005510007777500658
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[526.9957275390625, 627.0014038085938, 693.7844848632812, 1131.1534423828125];hold;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[15.641999244689941, 26.821170806884766, 1170.3143310546875, 581.5458984375];toggle;[524, 379.37, 635.88, 435];0.009716844051060672
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[40.48719787597656, 19.653011322021484, 497.2447204589844, 464.3054504394531];toggle;[317, 209.62, 335.85, 235];0.0023555730917574538
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[36.89471435546875, 27.482009887695312, 172.50096130371094, 180.0];toggle;[79, 98.27, 92.97, 109];0.007247619053164385
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[26.99859046936035, 53.76677322387695, 676.9542846679688, 650.9092407226562];toggle;[283, 395, 316.89, 440];0.003929364989819264
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[225.7602996826172, 111.21690368652344, 264.6716613769531, 145.88409423828125];toggle;[227, 183.37, 252, 206];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[279.1775817871094, 44.173213958740234, 1099.9139404296875, 621.477783203125];toggle;[530, 314.75, 561.88, 361];0.003111869541516301
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[422.3621520996094, 76.89399719238281, 1127.350341796875, 987.6627197265625];toggle;[589, 424, 610, 509];0.0027800222458599744
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[3.142993927001953, 0.9649121761322021, 448.2586364746094, 257.8792724609375];hold;[192, 89.18, 330.13, 167];0.09399786761376779
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[174.0672607421875, 162.91648864746094, 393.3548889160156, 259.3348083496094];hold;[176, 111.59000000000003, 360.7, 206];0.25985156105248797
