img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[61.222354888916016, 35.40992736816406, 267.5032958984375, 188.64259338378906];bar on the screwdriver;[213, 116, 254.85, 186];0.09267936312387184
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[392.6994934082031, 85.440185546875, 522.7237548828125, 161.39222717285156];switch on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[84.0407943725586, 20.9821720123291, 508.35565185546875, 536.1969604492188];switch on the circular saw;[410, 318.82, 425.45, 347];0.001991557791105233
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[153.8202667236328, 116.8320541381836, 221.77137756347656, 140.36105346679688];bar on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0, 0, 0, 0];switch on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[137.42257690429688, 18.898380279541016, 682.1000366210938, 682.0570068359375];bar on the wrench;[329, 158.75, 592.12, 410];0.18302191879210983
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[244.0931396484375, 1.3182448148727417, 1097.3465576171875, 755.5576782226562];switch on the circular saw;[543, 686, 609.4300000000001, 716];0.0030966935954703447
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[298.4858703613281, 42.723976135253906, 485.1399230957031, 187.56051635742188];bar on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[115.57427978515625, 61.777034759521484, 1077.7159423828125, 1140.9205322265625];switch on the circular saw;[511, 506, 549, 600];0.0034402755680085894
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[819.9944458007812, 730.809814453125, 1086.585205078125, 971.5264282226562];bar on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[269.8735046386719, 109.912353515625, 799.6360473632812, 312.082275390625];bar on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.11091007679361453
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[223.74722290039062, 17.568702697753906, 564.65771484375, 339.6734313964844];switch on the glue gun;[331, 142.06, 343.19, 178];0.003989737386846238
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[42.1036491394043, 80.71182250976562, 83.72191619873047, 141.77159118652344];switch on the drill;[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[514.9212646484375, 110.21623992919922, 593.7239990234375, 645.75048828125];bar on the screwdriver;[532, 108, 686, 505];0.30856067725488395
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[0, 0, 0, 0];switch on the drill;[524, 379.37, 635.88, 435];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[0, 0, 0, 0];switch on the nail gun;[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[139.2615509033203, 151.86624145507812, 162.21511840820312, 179.4950408935547];switch on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[32.16923522949219, 47.323692321777344, 688.37060546875, 647.5165405273438];switch on the drill;[283, 395, 316.89, 440];0.0038721853146363935
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[226.1652374267578, 111.91519165039062, 264.1747131347656, 146.57540893554688];switch on the nail gun;[227, 183.37, 252, 206];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[282.470947265625, 347.0430908203125, 1102.5179443359375, 630.2820434570312];switch on the nail gun;[530, 314.75, 561.88, 361];0.0019071951848695968
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[910.8381958007812, 111.27115631103516, 975.7106323242188, 388.9794616699219];switch on the nail gun;[589, 424, 610, 509];0.0
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[32.200592041015625, 138.6814422607422, 408.60174560546875, 303.3376770019531];bar on the solder iron;[192, 89.18, 330.13, 167];0.05684334417013305
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[19.82596778869629, 200.73733520507812, 96.205078125, 238.50570678710938];bar on the wrench;[176, 111.59000000000003, 360.7, 206];0.0
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[136.58592224121094, 162.38487243652344, 328.3705139160156, 346.2371520996094];bar on the screwdriver;[181, 68, 309.34000000000003, 195];0.08835815987868313
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[17.168712615966797, 41.64894104003906, 393.4245910644531, 378.78277587890625];bar on the wrench;[118, 119, 313.33000000000004, 285];0.2556179829853074
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[194.29867553710938, 131.958740234375, 808.255859375, 267.4027099609375];bar on the hammer;[437, 105, 626, 307];0.26739095263427776
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[631.639892578125, 96.06913757324219, 1200.6051025390625, 469.669677734375];bar on the screwdriver;[169, 252.16000000000008, 559, 523];0.0
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[27.596223831176758, 510.7075500488281, 1184.64306640625, 750.7734985351562];bar on the allen key;[184, 478, 1170, 569];0.1853973170682627
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[487.0475769042969, 330.9257507324219, 600.7357177734375, 689.71533203125];bar on the screwdriver;[500, 420.22, 588.89, 658];0.5181711640240586
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[81.82671356201172, 20.342267990112305, 202.44895935058594, 159.568115234375];bar on the screwdriver;[93, 99.84, 125.82, 135];0.06871319831683136
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[58.89763641357422, 332.11761474609375, 779.600830078125, 883.4765014648438];bar on the wrench;[306, 500, 691, 797];0.2877573023331726
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[58.93466567993164, 277.3278503417969, 1135.3121337890625, 924.5484619140625];switch on the circular saw;[678, 554, 742, 580];0.0023885612609915994
