img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[54.205352783203125, 32.65441131591797, 269.76861572265625, 191.72145080566406];[['place to grip with entire hand on the screwdriver']];[213, 116, 254.85, 186];0.08543553736312552
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[393.06884765625, 85.18391418457031, 523.2587280273438, 162.08778381347656];[['place to put index finger on the glue gun tool']];[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[235.81349182128906, 66.0412826538086, 326.3030090332031, 143.60812377929688];[['place to put index finger on the circular saw']];[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[58.47816848754883, 30.17334747314453, 243.15084838867188, 137.59774780273438];[['place to grip with entire hand on the solder iron tool']];[123, 65, 221, 83];0.08891867677717732
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[40.36778259277344, 135.68592834472656, 107.94955444335938, 319.6200256347656];[['place to put index finger on the weed wacker']];[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[322.7185974121094, 158.8013916015625, 455.80615234375, 283.8847351074219];[['place to grip with entire hand on the wrench tool']];[329, 158.75, 592.12, 410];0.2371093898145088
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[244.01113891601562, 432.8484802246094, 463.1947326660156, 700.6743774414062];[['place to put index finger on the circular saw']];[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[122.76856994628906, 1.3639423847198486, 498.08966064453125, 292.3809814453125];[['place to grip with entire hand on the solder iron tool']];[364, 212.24, 419.89, 284];0.03671936415704337
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[112.02769470214844, 66.8356704711914, 1120.4825439453125, 1144.043212890625];[['place to put index finger on the circular saw']];[511, 506, 549, 600];0.0032881801702877283
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[144.4607696533203, 106.86360931396484, 1085.00146484375, 970.0474243164062];[['place to grip with entire hand on the screwdriver']];[864, 251, 1064, 426];0.043110907448268086
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[269.1476745605469, 105.38666534423828, 442.88983154296875, 311.27935791015625];[['place to grip with entire hand on the allen wrench tool']];[271, 223.33000000000004, 426.83000000000004, 425];0.2562029492638524
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[433.367919921875, 61.5533447265625, 564.5895385742188, 103.36466979980469];[['place to put index finger on the glue gun tool']];[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[40.625396728515625, 76.63634490966797, 137.37857055664062, 142.0717010498047];[['place to put index finger on the drill tool']];[114, 82.51, 125.62, 89];0.011911683190225621
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[502.94464111328125, 110.05742645263672, 700.4125366210938, 1140.827392578125];[['place to grip with entire hand on the screwdriver']];[532, 108, 686, 505];0.2983464720417801
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[1067.36083984375, 481.3693542480469, 1177.3919677734375, 576.6455078125];[['place to put index finger on the drill tool']];[524, 379.37, 635.88, 435];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[254.61669921875, 238.95465087890625, 352.2232360839844, 383.3329162597656];[['place to put index finger on the nail gun']];[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[53.917442321777344, 75.11631774902344, 77.61860656738281, 112.287841796875];[['place to put index finger on the glue gun tool']];[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[266.8278503417969, 700.1952514648438, 318.7891540527344, 710.0];[['place to put index finger on the drill tool']];[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[143.4864959716797, 231.83673095703125, 253.15516662597656, 318.95953369140625];[['place to put index finger on the nail gun']];[227, 183.37, 252, 206];0.0
