img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[53.49652099609375, 91.78324127197266, 195.39381408691406, 192.77748107910156];area to grab safely with entire hand on the screwdriver;[213, 116, 254.85, 186];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[395.1221923828125, 86.26261901855469, 522.5858764648438, 156.1056365966797];pressable surface for index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[96.03112030029297, 24.034177780151367, 509.7342224121094, 493.18145751953125];pressable surface for index finger on the circular saw;[410, 318.82, 425.45, 347];0.0022432180591723536
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[56.04104232788086, 30.071163177490234, 243.37391662597656, 107.58084106445312];area to grab safely with entire hand on the solder iron;[123, 65, 221, 83];0.1214866767231843
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[41.39133071899414, 136.046142578125, 107.23368835449219, 319.1565246582031];pressable surface for index finger on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[95.39510345458984, 38.28742599487305, 686.843017578125, 679.4662475585938];area to grab safely with entire hand on the wrench;[329, 158.75, 592.12, 410];0.1743268398439167
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[237.14981079101562, 426.0204162597656, 1064.5675048828125, 800.5283813476562];pressable surface for index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.006431312971419226
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[118.6650619506836, 31.973684310913086, 493.9967346191406, 291.42877197265625];area to grab safely with entire hand on the solder iron;[364, 212.24, 419.89, 284];0.041185006057218206
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[476.14093017578125, 357.07916259765625, 1110.6331787109375, 1149.8013916015625];pressable surface for index finger on the circular saw;[511, 506, 549, 600];0.007101728953359061
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[130.62171936035156, 154.6710662841797, 1121.560546875, 983.8952026367188];area to grab safely with entire hand on the screwdriver;[864, 251, 1064, 426];0.04259408214876837
