img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[61.222354888916016, 35.40992736816406, 267.5032958984375, 188.64259338378906];place to grab with four fingers on the screwdriver;[213, 116, 254.85, 186];0.09267936312387184
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[237.6537628173828, 268.5010070800781, 326.066650390625, 344.9870300292969];place to put pad of index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[84.0407943725586, 20.9821720123291, 508.35565185546875, 536.1969604492188];place to put pad of index finger on the circular saw;[410, 318.82, 425.45, 347];0.001991557791105233
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[8.987547874450684, 113.78721618652344, 227.12156677246094, 153.28636169433594];place to grab with four fingers on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[40.480308532714844, 135.91917419433594, 107.70205688476562, 319.2084045410156];place to put pad of index finger on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[326.2466735839844, 157.96636962890625, 455.5970764160156, 284.3455810546875];place to grab with four fingers on the wrench;[329, 158.75, 592.12, 410];0.23889682371907223
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0.1302051544189453, 0.0, 1197.8016357421875, 897.4755859375];place to put pad of index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.0018540659319657856
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[298.4858703613281, 42.723976135253906, 485.1399230957031, 187.56051635742188];place to grab with four fingers on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[319.0323181152344, 463.8503723144531, 441.182373046875, 578.1650390625];place to put pad of index finger on the circular saw;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[819.9944458007812, 730.809814453125, 1086.585205078125, 971.5264282226562];place to grab with four fingers on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[269.8735046386719, 109.912353515625, 799.6360473632812, 312.082275390625];place to grab with four fingers on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.11091007679361453
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[223.74722290039062, 17.568702697753906, 564.65771484375, 339.6734313964844];place to put pad of index finger on the glue gun;[331, 142.06, 343.19, 178];0.003989737386846238
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[41.894744873046875, 77.1384048461914, 137.9996337890625, 141.83731079101562];place to put pad of index finger on the drill;[114, 82.51, 125.62, 89];0.012128536707685485
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[514.9212646484375, 110.21623992919922, 593.7239990234375, 645.75048828125];place to grab with four fingers on the screwdriver;[532, 108, 686, 505];0.30856067725488395
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[29.6549015045166, 27.553688049316406, 1171.4664306640625, 570.8375854492188];place to put pad of index finger on the drill;[524, 379.37, 635.88, 435];0.010033218280454349
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[0, 0, 0, 0];place to put pad of index finger on the nail gun;[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[59.186302185058594, 25.25282859802246, 153.73956298828125, 81.79925537109375];place to put pad of index finger on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[32.16923522949219, 47.323692321777344, 688.37060546875, 647.5165405273438];place to put pad of index finger on the drill;[283, 395, 316.89, 440];0.0038721853146363935
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[226.1652374267578, 111.91519165039062, 264.1747131347656, 146.57540893554688];place to put pad of index finger on the nail gun;[227, 183.37, 252, 206];0.0
