img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[54.205352783203125, 32.65441131591797, 269.76861572265625, 191.72145080566406];grasp on the screwdriver;[213, 116, 254.85, 186];0.08543553736312552
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[393.06884765625, 85.18391418457031, 523.2587280273438, 162.08778381347656];press on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[85.48928833007812, 19.821714401245117, 508.1339111328125, 536.346435546875];press on the circular saw;[410, 318.82, 425.45, 347];0.0019943575090025263
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[6.463177680969238, 113.12385559082031, 227.50515747070312, 152.58767700195312];grasp on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[7.692338466644287, 101.37085723876953, 675.9682006835938, 298.2088928222656];press on the weed wacker;[311, 136.86, 333.86, 149];0.0021097457257758996
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[322.7185974121094, 158.8013916015625, 455.80615234375, 283.8847351074219];grasp on the wrench;[329, 158.75, 592.12, 410];0.2371093898145088
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[244.66197204589844, 1.6496943235397339, 1096.709716796875, 736.1600341796875];press on the circular saw;[543, 686, 609.4300000000001, 716];0.0031843710140258856
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[122.76856994628906, 1.3639423847198486, 498.08966064453125, 292.3809814453125];grasp on the solder iron;[364, 212.24, 419.89, 284];0.03671936415704337
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[279.62188720703125, 348.70684814453125, 356.21539306640625, 422.4182434082031];press on the circular saw;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[144.4607696533203, 106.86360931396484, 1085.00146484375, 970.0474243164062];grasp on the screwdriver;[864, 251, 1064, 426];0.043110907448268086
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[267.5118713378906, 105.95769500732422, 800.0, 313.59295654296875];grasp on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.10995349311755268
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[223.76673889160156, 17.412242889404297, 580.1141967773438, 336.9069519042969];press on the glue gun;[331, 142.06, 343.19, 178];0.003848083107634965
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[40.625396728515625, 76.63634490966797, 137.37857055664062, 142.0717010498047];press on the drill;[114, 82.51, 125.62, 89];0.011911683190225621
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[502.94464111328125, 110.05742645263672, 700.4125366210938, 1140.827392578125];grasp on the screwdriver;[532, 108, 686, 505];0.2983464720417801
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[1067.36083984375, 481.3693542480469, 1177.3919677734375, 576.6455078125];press on the drill;[524, 379.37, 635.88, 435];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[151.2520294189453, 95.40065002441406, 285.70245361328125, 190.8489227294922];press on the nail gun;[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[62.68692398071289, 28.590158462524414, 86.364013671875, 57.23894500732422];press on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[29.128677368164062, 48.88911437988281, 706.3855590820312, 637.3685913085938];press on the drill;[283, 395, 316.89, 440];0.0038264790016225964
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[41.81806182861328, 4.641090393066406, 232.22227478027344, 256.0238952636719];press on the nail gun;[227, 183.37, 252, 206];0.0024461890653189795
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[344.4769287109375, 348.2720947265625, 1103.0662841796875, 610.8512573242188];press on the nail gun;[530, 314.75, 561.88, 361];0.0020262098110500042
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[442.0987548828125, 64.4677963256836, 1109.63671875, 991.76806640625];press on the nail gun;[589, 424, 610, 509];0.002883645466720278
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[1.5759038925170898, 140.88217163085938, 409.47760009765625, 304.1119079589844];grasp on the solder iron;[192, 89.18, 330.13, 167];0.04893507583155785
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[118.08885192871094, 181.50570678710938, 160.1305694580078, 228.70645141601562];grasp on the wrench;[176, 111.59000000000003, 360.7, 206];0.0
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[44.070987701416016, 83.9870834350586, 331.0104675292969, 345.6639709472656];grasp on the screwdriver;[181, 68, 309.34000000000003, 195];0.18470200428524142
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[1.4291954040527344, 43.00457000732422, 388.3493347167969, 387.0784606933594];grasp on the wrench;[118, 119, 313.33000000000004, 285];0.24355888896262892
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[206.7660675048828, 68.98462677001953, 380.1604309082031, 240.19454956054688];grasp on the hammer;[437, 105, 626, 307];0.0
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[93.64447784423828, 93.57801818847656, 1193.92724609375, 801.6676635742188];grasp on the screwdriver;[169, 252.16000000000008, 559, 523];0.13557663704338596
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[25.264461517333984, 508.3677062988281, 1190.294921875, 753.8853149414062];grasp on the allen key;[184, 478, 1170, 569];0.18920124797855736
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[495.480224609375, 37.25840759277344, 589.4241333007812, 357.90667724609375];grasp on the screwdriver;[500, 420.22, 588.89, 658];0.0
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[80.6339111328125, 20.928674697875977, 203.9196014404297, 158.88209533691406];grasp on the screwdriver;[93, 99.84, 125.82, 135];0.06784881989960682
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[60.39066696166992, 688.4447021484375, 330.2447814941406, 882.1553344726562];grasp on the wrench;[306, 500, 691, 797];0.016049467968472463
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[402.3651123046875, 706.080810546875, 453.7704772949219, 762.4161987304688];press on the circular saw;[678, 554, 742, 580];0.0
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[50.22956848144531, 47.500770568847656, 256.7467956542969, 578.0916748046875];grasp on the hammer;[129, 244, 195, 558];0.18912872621092008
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[1858.0426025390625, 411.9288330078125, 2120.722900390625, 532.7425537109375];grasp on the allen key;[805, 2696.5, 1862.5, 3069];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[73.04314422607422, 14.95217227935791, 88.0113754272461, 32.025970458984375];press on the glue gun;[110, 70.9, 137.34, 97];0.0
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;[160.0584716796875, 69.63800048828125, 398.400146484375, 837.3362426757812];grasp on the solder iron;[140, 559, 222, 856];0.09069788830267013
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;[636.4298095703125, 192.651123046875, 749.9977416992188, 732.8720703125];grasp on the solder iron;[664, 414, 750.87, 664];0.34918777226096953
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;[960.4661865234375, 1855.757568359375, 1992.4554443359375, 2655.148681640625];grasp on the solder iron;[1388, 1539, 2438, 1979];0.0614404084129695
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;[212.00608825683594, 0.06323456764221191, 680.6301879882812, 296.5442810058594];grasp on the allen key;[217, 894.34, 581.1700000000001, 986];0.0
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;[56.46625518798828, 22.483373641967773, 533.0550537109375, 371.2415466308594];press on the nail gun;[276, 243, 313.33, 264];0.004716382942972033
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;[12.209129333496094, 24.0247802734375, 929.0025634765625, 645.6827392578125];press on the circular saw;[407, 489.34000000000003, 423.67, 551];0.0018034999211903142
41;data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg;[165.2499542236328, 232.02493286132812, 628.6340942382812, 787.8767700195312];press on the glue gun;[290, 543, 424.15999999999997, 593];0.026043109872715922
42;data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg;[315.5076904296875, 290.340087890625, 413.55841064453125, 651.8638305664062];grasp on the solder iron;[341, 207.87, 381.63, 421];0.13682804135969015
43;data/roboflow/hammer_5_jpg.rf.111cf96c55a3c37f56afe7dc3f6224ee.jpg;[130.18557739257812, 140.4197998046875, 607.8255004882812, 1268.020751953125];grasp on the hammer;[308, 115, 411, 594];0.08632351867255258
44;data/roboflow/saw_16_jpg.rf.08cb5bb3f895e6ddf476231d93cc87fc.jpg;[708.8749389648438, 72.085693359375, 814.1035766601562, 117.87140655517578];press on the circular saw;[430, 902, 483, 970];0.0
45;data/roboflow/hammer_3_jpg.rf.d5d45780df9c29adadeb71cb01ef8fff.jpg;[343.64453125, 111.00699615478516, 586.4608764648438, 972.281494140625];grasp on the hammer;[432, 233, 518, 700];0.19204182554998614
46;data/roboflow/allen_15_jpg.rf.84eacc06d0a77038d94e690f48ed9b39.jpg;[0.8592605590820312, 387.2250671386719, 997.199462890625, 616.4382934570312];grasp on the allen key;[143, 380.83000000000004, 855.5, 450];0.19201897060967915
47;data/roboflow/drill_11_jpg.rf.2af05b31d23bbe92e005ce105e1800f0.jpg;[272.0162658691406, 118.21863555908203, 1157.40283203125, 893.634033203125];press on the drill;[679, 389.14, 708.28, 467];0.00332061192258554
48;data/roboflow/allen_13_jpg.rf.a0f01b6dde96397f10899cc21473aa0e.jpg;[3.172802686691284, 2.5646064281463623, 287.85565185546875, 275.1976623535156];grasp on the allen key;[33, 186.25, 119.25, 268];0.09084625937983223
49;data/roboflow/glue_2_jpg.rf.8a15037652e0c691b02a6e546d5a1bbf.jpg;[4.43601131439209, 1.4276504516601562, 491.01568603515625, 985.9083251953125];press on the glue gun;[138, 617.83, 180.5, 767];0.01323455248647406
50;data/roboflow/wrench_11_jpg.rf.89e651e4fa1e825d7ca9187a175200b6.jpg;[33.48772048950195, 33.98748016357422, 193.85032653808594, 186.8491973876953];grasp on the wrench;[50, 130.93, 117.96, 170];0.10831658072628923
51;data/roboflow/wacker_16_jpg.rf.2147f7f6bf8bb1e498199e5d7b08b40a.jpg;[547.836181640625, 482.9665832519531, 1456.1988525390625, 1076.806884765625];press on the weed wacker;[935, 788.75, 986.25, 835];0.004394168031123915
52;data/roboflow/wacker_15_jpg.rf.749dc2f49bd5654fdbe3747de8cf48bb.jpg;[56.22315979003906, 156.69412231445312, 550.7802124023438, 298.8207092285156];press on the weed wacker;[357, 217.57, 377.71, 229];0.0033677093522408714
53;data/roboflow/glue_6_jpg.rf.619ad5b67a361a53be56c8fbfdfc7b12.jpg;[93.0632095336914, 35.217716217041016, 130.47402954101562, 46.22917938232422];press on the glue gun;[104, 139.74, 116.96000000000001, 159];0.0
