img_id; img_path                                                                     ; pred_bboxes                                                                                                                                                                                      ; target_bboxes                                                                                                                             ; ious                                                           ; prompts
     0; grasp_vlm_dataset/allen_1_jpg.rf.a73ee009d63cee3f706aae5f396f4180.jpg        ; {'hand': [0.0393591423034668, 0.42265625, 0.7871287231445312, 0.6284053955078125]}                                                                                                               ; {'handle': {'x_1': 0.144, 'y_1': 0.526, 'x_2': 0.975, 'y_2': 0.6225}}                                                                     ; {'hand': 0.3608617782220401}                                   ; [['Where an entire hand can grab the allen key safely']]
     1; grasp_vlm_dataset/allen_9_jpg.rf.569660de47c4a97e8756b98df51f7f1d.jpg        ; {'hand': [0.3396286926269531, 0.21330467224121094, 0.5556611328125, 0.5697061767578125]}                                                                                                         ; {'handle': {'x_1': 0.339, 'y_1': 0.194, 'x_2': 0.5535, 'y_2': 0.5795}}                                                                    ; {'hand': 0.9133006600327791}                                   ; [['Where an entire hand can grab the allen key safely']]
     2; grasp_vlm_dataset/syringe18_jpg.rf.e2aabf9a930932ecfa1a9fd7355ebde7.jpg      ; {'index': [0.19181900024414061, 0.2827618103027344, 0.8380072631835938, 0.7428629760742187], 'thumb': [0.18782101440429688, 0.2827651672363281, 0.8390510864257813, 0.7425772094726563]}         ; {'thumb': {'x_1': 0.738, 'y_1': 0.521, 'x_2': 0.8385, 'y_2': 0.7225}, 'index': {'x_1': 0.599, 'y_1': 0.39, 'x_2': 0.7585, 'y_2': 0.7405}} ; {'index': 0.18803396788791285, 'thumb': 0.06762796579574376}   ; [['Where the index finger goes on the syringe'], ['Where the thumb finger goes on the syringe']]
     3; grasp_vlm_dataset/screwdriver_4_jpg.rf.180cf6082a91a7edba8a259488d3f296.jpg  ; {'hand': [0.1395987091064453, 0.18188069152832032, 0.8372761840820313, 0.875482177734375]}                                                                                                       ; {'handle': {'x_1': 0.342, 'y_1': 0.414, 'x_2': 0.821, 'y_2': 0.864}}                                                                      ; {'hand': 0.44543394540044906}                                  ; [['Where an entire hand can grab the screwdriver safely']]
     4; grasp_vlm_dataset/allen_2_jpg.rf.851e7d438beb6948c97ea8ba54425aa1.jpg        ; {'hand': [0.11492893981933594, 0.012763881683349609, 0.860839111328125, 0.7608997192382813]}                                                                                                     ; {'handle': {'x_1': 0.317, 'y_1': 0.006, 'x_2': 0.8515, 'y_2': 0.1235}}                                                                    ; {'hand': 0.10538177283147929}                                  ; [['Where an entire hand can grab the allen key safely']]
     5; grasp_vlm_dataset/top_bar1_jpg.rf.b6d8cc374587cb39fecb210f9821107a.jpg       ; {'hand': [0.0004625201225280762, 0.44900827026367185, 0.07984501647949219, 0.4872984619140625]}                                                                                                  ; {'handle': {'x_1': 0.35, 'y_1': 0.047, 'x_2': 0.5945, 'y_2': 0.142}}                                                                      ; {'hand': 0.0}                                                  ; [['Where an entire hand can grab the top drawer with a horizontal bar handle safely']]
     6; grasp_vlm_dataset/glue_10_jpg.rf.24229314b8195dec5efb1d23248a1a10.jpg        ; {'index': [0.2177598114013672, 0.11509347534179687, 0.7773768310546875, 0.8615010375976563]}                                                                                                     ; {'index': {'x_1': 0.424, 'y_1': 0.501, 'x_2': 0.5295, 'y_2': 0.6355}}                                                                     ; {'index': 0.03397095835324767}                                 ; [['Where the index finger can press on the glue gun safely']]
     7; grasp_vlm_dataset/hammer_8_jpg.rf.57300b3805d2cf6dff509d041774b61f.jpg       ; {'hand': [0.3904942626953125, 0.11367097473144532, 0.59965478515625, 0.8514715576171875]}                                                                                                        ; {'handle': {'x_1': 0.392, 'y_1': 0.089, 'x_2': 0.5925, 'y_2': 0.602}}                                                                     ; {'hand': 0.6147602665640501}                                   ; [['Where an entire hand can grab the hammer safely']]
     8; grasp_vlm_dataset/drill_19_jpg.rf.920f264a0f04e7b90ea570a0dde84b9d.jpg       ; {'index': [0.14162232971191407, 0.0882437515258789, 0.8844127197265625, 0.8365596923828125]}                                                                                                     ; {'index': {'x_1': 0.549, 'y_1': 0.481, 'x_2': 0.62, 'y_2': 0.5195}}                                                                       ; {'index': 0.004917765377754425}                                ; [['Where the index finger can press on the power drill safely']]
     9; grasp_vlm_dataset/vertical_bar15_jpg.rf.a01cc5497dd771b5836fd436e47447ad.jpg ; {'hand': [0.7198012084960937, 0.5222283935546875, 0.7696296997070312, 0.653249267578125]}                                                                                                        ; {'handle': {'x_1': 0.74, 'y_1': 0.557, 'x_2': 0.7585, 'y_2': 0.6485}}                                                                     ; {'hand': 0.25928332845342333}                                  ; [['Where an entire hand can grab the door with a vertical bar handle safely']]
