img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[44.35237121582031, 31.116025924682617, 258.1920471191406, 195.13177490234375];place to grab with four fingers on the screwdriver;[213, 116, 254.85, 186];0.08352561139964994
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[130.7253875732422, 259.5364990234375, 409.41424560546875, 433.6314392089844];place to put pad of index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0, 0, 0, 0];place to put pad of index finger on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[40.66984939575195, 29.060163497924805, 226.92843627929688, 200.94654846191406];place to grab with four fingers on the solder iron;[123, 65, 221, 83];0.055098629851000634
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[112.22313690185547, 99.84703826904297, 623.4314575195312, 288.95989990234375];place to put pad of index finger on the weed wacker;[311, 136.86, 333.86, 149];0.0028706214949062777
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[325.31597900390625, 158.42520141601562, 456.4109802246094, 286.2803955078125];place to grab with four fingers on the wrench;[329, 158.75, 592.12, 410];0.2438975476896157
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[256.1527404785156, 1.420984148979187, 1137.8739013671875, 797.7600708007812];place to put pad of index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.0028382863637790015
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[109.77307891845703, 29.65184211730957, 501.4350891113281, 295.4210205078125];place to grab with four fingers on the solder iron;[364, 212.24, 419.89, 284];0.0385301302604901
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[107.60904693603516, 75.75630950927734, 1002.776123046875, 973.3519897460938];place to put pad of index finger on the circular saw;[511, 506, 549, 600];0.004445561224476026
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[814.093017578125, 725.7135620117188, 1088.367919921875, 974.449462890625];place to grab with four fingers on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[271.45550537109375, 107.44573211669922, 444.30645751953125, 312.4663391113281];place to grab with four fingers on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.26123897547898756
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[224.9096221923828, 19.285654067993164, 401.0337829589844, 202.43524169921875];place to put pad of index finger on the glue gun;[331, 142.06, 343.19, 178];0.013581786414304782
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[126.77804565429688, 24.152740478515625, 164.46768188476562, 84.7848129272461];place to put pad of index finger on the drill;[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[533.4796142578125, 731.4256591796875, 685.06591796875, 1127.076416015625];place to grab with four fingers on the screwdriver;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[196.41773986816406, 29.18402671813965, 1092.445556640625, 586.1207275390625];place to put pad of index finger on the drill;[524, 379.37, 635.88, 435];0.012471945013949244
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[0, 0, 0, 0];place to put pad of index finger on the nail gun;[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[52.59479522705078, 29.122465133666992, 99.24457550048828, 83.05728912353516];place to put pad of index finger on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[266.0447692871094, 699.4815063476562, 317.2066650390625, 709.82177734375];place to put pad of index finger on the drill;[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[0, 0, 0, 0];place to put pad of index finger on the nail gun;[227, 183.37, 252, 206];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[276.6959228515625, 409.9312744140625, 502.68719482421875, 621.5965576171875];place to put pad of index finger on the nail gun;[530, 314.75, 561.88, 361];0.0
