img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[59.6265754699707, 35.46736145019531, 268.5318908691406, 190.3056182861328];grab on the screwdriver;[213, 116, 254.85, 186];0.09056611506773785
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[128.30775451660156, 114.57071685791016, 410.2161560058594, 434.7496643066406];button on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0, 0, 0, 0];button on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[95.85436248779297, 116.13538360595703, 230.58590698242188, 153.9241180419922];grab on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0, 0, 0, 0];button on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[323.49468994140625, 158.90464782714844, 455.41729736328125, 284.77447509765625];grab on the wrench;[329, 158.75, 592.12, 410];0.2381988343917951
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0, 0, 0, 0];button on the circular saw;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[121.22337341308594, 15.209720611572266, 495.4693603515625, 293.9154052734375];grab on the solder iron;[364, 212.24, 419.89, 284];0.03845152428123579
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[0, 0, 0, 0];button on the circular saw;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[818.2107543945312, 728.9750366210938, 1086.8162841796875, 973.6697998046875];grab on the screwdriver;[864, 251, 1064, 426];0.0
