img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[11.91671085357666, 2.788080930709839, 235.71864318847656, 209.10671997070312];grasping area placement on the screwdriver;[213, 116, 254.85, 186];0.033470448596425145
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[391.821533203125, 85.13263702392578, 523.1124267578125, 156.63380432128906];index finger placement on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[75.39481353759766, 51.7377815246582, 573.47119140625, 540.355712890625];index finger placement on the circular saw;[410, 318.82, 425.45, 347];0.0017889744034583835
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[56.76578140258789, 30.306917190551758, 238.37757873535156, 152.45726013183594];grasping area placement on the solder iron;[123, 65, 221, 83];0.07951697198497329
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[452.3819274902344, 101.41337585449219, 675.0303344726562, 282.4994201660156];index finger placement on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[324.9342956542969, 158.74424743652344, 455.94561767578125, 284.7489929199219];grasping area placement on the wrench;[329, 158.75, 592.12, 410];0.24008641583828141
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[226.56044006347656, 50.376258850097656, 1121.1236572265625, 886.95068359375];index finger placement on the circular saw;[543, 686, 609.4300000000001, 716];0.002662992154240123
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[130.47080993652344, 15.056795120239258, 531.664306640625, 354.5298767089844];grasping area placement on the solder iron;[364, 212.24, 419.89, 284];0.029448102247615144
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[16.01740837097168, 258.4128112792969, 912.2109375, 1151.7822265625];index finger placement on the circular saw;[511, 506, 549, 600];0.004461476052398585
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[196.36705017089844, 170.55526733398438, 1093.656982421875, 1050.0640869140625];grasping area placement on the screwdriver;[864, 251, 1064, 426];0.04435014566470352
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[151.35369873046875, 119.94561767578125, 748.77197265625, 527.8875732421875];grasping area placement on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.12894826193842288
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[216.81362915039062, 19.487998962402344, 597.3013916015625, 331.4463195800781];index finger placement on the glue gun;[331, 142.06, 343.19, 178];0.003691003962785616
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[0.39054155349731445, 6.805821895599365, 176.52743530273438, 156.03707885742188];index finger placement on the drill;[114, 82.51, 125.62, 89];0.0028690670296133455
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[517.3696899414062, 639.0599365234375, 697.79833984375, 1140.193359375];grasping area placement on the screwdriver;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[49.217918395996094, 22.19169807434082, 941.5277099609375, 560.0062255859375];index finger placement on the drill;[524, 379.37, 635.88, 435];0.012969204243670325
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[38.58881378173828, 38.72934341430664, 453.2078857421875, 454.712158203125];index finger placement on the nail gun;[317, 209.62, 335.85, 235];0.0027738202080528555
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[21.703519821166992, 28.355545043945312, 166.75462341308594, 175.17283630371094];index finger placement on the glue gun;[79, 98.27, 92.97, 109];0.0070387879762438725
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[98.40511322021484, 31.845205307006836, 628.7373657226562, 528.0867919921875];index finger placement on the drill;[283, 395, 316.89, 440];0.005794859170805435
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[78.96915435791016, 10.236286163330078, 436.2314758300781, 316.40032958984375];index finger placement on the nail gun;[227, 183.37, 252, 206];0.00517229351239257
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[272.8825378417969, 37.18939208984375, 833.4237670898438, 626.09033203125];index finger placement on the nail gun;[530, 314.75, 561.88, 361];0.004466632696636115
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[263.687744140625, 106.42864990234375, 1125.1282958984375, 1002.8917236328125];index finger placement on the nail gun;[589, 424, 610, 509];0.0023114287094457924
