img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[58.30867385864258, 35.196067810058594, 269.075439453125, 190.34356689453125];bar on the screwdriver;[213, 116, 254.85, 186];0.08958732973503193
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[84.74910736083984, 89.47530364990234, 521.015869140625, 713.001220703125];switch on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0038070562958702507
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[83.69270324707031, 22.430803298950195, 517.219482421875, 535.9070434570312];switch on the circular saw;[410, 318.82, 425.45, 347];0.0019558394006465463
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[3.683971405029297, 115.88331604003906, 236.82371520996094, 157.9967041015625];bar on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[2.2782366275787354, 101.68385314941406, 669.2308349609375, 290.498779296875];switch on the weed wacker;[311, 136.86, 333.86, 149];0.002203756574359173
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[41.50310516357422, 8.592081069946289, 677.2636108398438, 677.8544311523438];bar on the wrench;[329, 158.75, 592.12, 410];0.15537101088184552
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[84.6458740234375, 9.82435131072998, 1197.5284423828125, 884.0476684570312];switch on the circular saw;[543, 686, 609.4300000000001, 716];0.0020483953511412937
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[117.57108306884766, 1.9618849754333496, 497.9059753417969, 293.83685302734375];bar on the solder iron;[364, 212.24, 419.89, 284];0.03612879854670519
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[108.04200744628906, 58.96579360961914, 1104.2630615234375, 1136.5667724609375];switch on the circular saw;[511, 506, 549, 600];0.00332734441449444
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[136.37774658203125, 161.30255126953125, 1089.0863037109375, 985.3905029296875];bar on the screwdriver;[864, 251, 1064, 426];0.04457941998151121
