img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[53.707763671875, 35.98273468017578, 270.1147766113281, 202.52688598632812];area to grab safely with entire hand on the screwdriver;[213, 116, 254.85, 186];0.08128170146119615
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[58.12614059448242, 87.51092529296875, 491.2710266113281, 786.6898803710938];pressable surface for index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0043252577662666915
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[73.9510269165039, 63.71604537963867, 536.2000122070312, 538.6213989257812];pressable surface for index finger on the circular saw;[410, 318.82, 425.45, 347];0.001983290998160546
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[47.30471420288086, 12.056548118591309, 225.7408447265625, 154.7329864501953];area to grab safely with entire hand on the solder iron;[123, 65, 221, 83];0.06928887732855227
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0.0, 386.0, 79.03395080566406, 386.0];pressable surface for index finger on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[145.24435424804688, 123.03113555908203, 697.4248046875, 682.904541015625];area to grab safely with entire hand on the wrench;[329, 158.75, 592.12, 410];0.21384005903929032
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0.8256625533103943, 14.325369834899902, 822.6615600585938, 870.2869873046875];pressable surface for index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.002832996964970977
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[108.74356842041016, 23.066640853881836, 495.80487060546875, 288.8536682128906];area to grab safely with entire hand on the solder iron;[364, 212.24, 419.89, 284];0.0389854908290622
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[104.12123107910156, 61.526580810546875, 941.1689453125, 815.1550903320312];pressable surface for index finger on the circular saw;[511, 506, 549, 600];0.005662443949452352
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[814.5194091796875, 725.8427124023438, 1086.041748046875, 974.195068359375];area to grab safely with entire hand on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[16.628875732421875, 512.862060546875, 182.30654907226562, 532.0];area to grab safely with entire hand on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.0
