img_id;img_path;image_dim;tool;bbox;bbox_area;annotation_type
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[300, 225];screwdriver;[39, 213, 109, 254.85];2929.5;four_finger
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[750, 1000];glue_gun;[283, 249, 302.17, 317.33];1309.886;index_finger
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[700, 560];circular_saw;[213, 410, 241.18, 425.45];435.381;index_finger
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[249, 203];solder_iron;[120, 123, 138, 221];1764.0;four_finger
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[684, 386];weed_wacker;[237, 311, 249.14, 333.86];277.52;index_finger
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[750, 750];wrench;[340, 329, 591.25, 592.12];66108.9;four_finger
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[1200, 900];circular_saw;[184, 543, 214, 609.4300000000001];1992.9;index_finger
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[540, 360];solder_iron;[76, 364, 147.76, 419.89];4010.666;four_finger
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[1200, 1200];circular_saw;[600, 511, 694, 549];3572.0;index_finger
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[1200, 1200];screwdriver;[774, 864, 949, 1064];35000.0;four_finger
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[800, 532];allen_key;[107, 271, 308.66999999999996, 426.83000000000004];31426.236;four_finger
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[604, 340];glue_gun;[162, 331, 197.94, 343.19];438.109;index_finger
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[250, 167];drill;[78, 114, 84.49, 125.62];75.414;index_finger
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[1200, 1200];screwdriver;[695, 532, 1092, 686];61138.0;four_finger
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[1200, 714];drill;[279, 524, 334.63, 635.88];6223.884;index_finger
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[561, 480];nail_gun;[245, 317, 270.38, 335.85];478.413;index_finger
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[200, 180];glue_gun;[71, 79, 81.73, 92.97];149.898;index_finger
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[710, 710];drill;[270, 283, 315, 316.89];1525.05;index_finger
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[480, 320];nail_gun;[114, 227, 136.63, 252];565.75;index_finger
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[1280, 720];nail_gun;[359, 530, 405.25, 561.88];1474.45;index_finger
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[1200, 1200];nail_gun;[691, 589, 776, 610];1785.0;index_finger
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[620, 349];solder_iron;[182, 192, 259.82, 330.13];10749.277;four_finger
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[400, 368];wrench;[162, 176, 256.40999999999997, 360.7];17437.527;four_finger
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[400, 400];screwdriver;[205, 181, 332, 309.34000000000003];16299.18;four_finger
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[400, 400];wrench;[115, 118, 281, 313.33000000000004];32424.78;four_finger
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[894, 596];hammer;[289, 437, 491, 626];38178.0;four_finger
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[1300, 992];screwdriver;[469, 169, 739.8399999999999, 559];105627.6;four_finger
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[1200, 1200];allen_key;[631, 184, 722, 1170];89726.0;four_finger
